year,premiers_ADJ ans_NOUN,premiers_ADJ chants_NOUN
1800,3.804439074883703e-07,2.829747942634242e-07
1801,2.881230898310605e-07,2.1430643926123594e-07
1802,2.842056971985585e-07,1.991677720525331e-07
1803,3.101039283137652e-07,1.696795073335977e-07
1804,4.968420626028092e-07,2.990939709235363e-07
1805,4.264316544322355e-07,3.7241699146761675e-07
1806,2.305335300434308e-07,4.466587233409314e-07
1807,3.046241943138739e-07,2.2490946083308927e-07
1808,3.172503681980743e-07,5.234630862105405e-07
1809,1.9427662323323602e-07,2.2364402241237258e-07
1810,3.5101902540191077e-07,3.159170995914451e-07
1811,2.8329966994533606e-07,6.317833580737897e-07
1812,3.2273220540446346e-07,6.374627901095664e-07
1813,3.077043686516845e-07,7.246869131449785e-07
1814,1.9824065589091333e-07,3.5872119497071253e-07
1815,2.2926400333744823e-07,2.3735567822313897e-07
1816,2.9201808615653135e-07,2.850652638386464e-07
1817,2.6778221240419953e-07,2.849078271083272e-07
1818,2.4319200520039885e-07,3.993594361872965e-07
1819,3.6332184549792146e-07,3.653920526147658e-07
1820,4.177001358129928e-07,3.856606269891927e-07
1821,3.0176153131833416e-07,3.3529059351167234e-07
1822,3.5089655625597516e-07,3.4488118672015844e-07
1823,3.4787058211804833e-07,4.32861694932285e-07
1824,3.8989750805740186e-07,4.833718776353635e-07
1825,2.9057960659883975e-07,4.0593093331153796e-07
1826,2.563123473464657e-07,2.853786895684607e-07
1827,2.1199727484599862e-07,2.949527413420583e-07
1828,2.2472137573004147e-07,1.8436325399662223e-07
1829,1.997550072019294e-07,2.914879747573096e-07
1830,2.3587249131651333e-07,4.143423950608849e-07
1831,2.1983601072861347e-07,2.9623290287439374e-07
1832,1.9618455837644433e-07,2.1242051673198148e-07
1833,2.8959070164091827e-07,2.884323541119116e-07
1834,2.4549817112529126e-07,3.2950893569250184e-07
1835,2.1706063080273452e-07,2.7983423933619633e-07
1836,2.8025527853969834e-07,2.6278132736479165e-07
1837,2.3100197665826272e-07,2.971019341657666e-07
1838,1.881024189742675e-07,2.619547103677178e-07
1839,1.4821927152297576e-07,3.048283248041628e-07
1840,1.5542040898708365e-07,3.0192325084499316e-07
1841,1.8105946253399452e-07,2.9919755206719856e-07
1842,1.9722298816304829e-07,1.965521705393769e-07
1843,1.1518476839000868e-07,3.053872915104172e-07
1844,1.51484286448067e-07,3.035174245269445e-07
1845,1.25555132513e-07,2.1372272707154139e-07
1846,1.5514429207996727e-07,2.997504704449483e-07
1847,8.359496916909848e-08,2.550994793182326e-07
1848,1.1906928421012708e-07,1.9791245620126574e-07
1849,1.340706319297169e-07,1.466397634430905e-07
1850,1.5954140053509036e-07,1.7311940325726027e-07
1851,1.1157528945204831e-07,1.5220675209093315e-07
1852,1.7578472011336999e-07,1.914100380417949e-07
1853,1.528814550511015e-07,2.6455657198276583e-07
1854,1.917200194156976e-07,3.3667904686396355e-07
1855,1.57085338514662e-07,2.871053119690714e-07
1856,1.7809530561407882e-07,2.5471771447627134e-07
1857,1.6206610098379315e-07,2.147863985557663e-07
1858,1.5757636617763637e-07,2.2364099550031824e-07
1859,1.537836311626961e-07,2.5002571923948835e-07
1860,1.5242022755046492e-07,2.137544896640975e-07
1861,1.4006411674927222e-07,2.0278643386717476e-07
1862,1.396057740521428e-07,2.620432014155405e-07
1863,1.423466926553374e-07,2.9717994776135015e-07
1864,1.5918496387712366e-07,1.601439123533055e-07
1865,1.1814179146085735e-07,1.7980145333718056e-07
1866,1.591055394101204e-07,1.8002768342739728e-07
1867,1.1258522647494829e-07,1.8100986665103846e-07
1868,1.3337660220713587e-07,2.2031837887404038e-07
1869,1.3185501757106977e-07,2.969179522249732e-07
1870,1.61126777697973e-07,3.3773546803672616e-07
1871,2.0605084216640535e-07,1.5719342627562582e-07
1872,1.30622524352475e-07,2.3342729349451474e-07
1873,1.1792428722401382e-07,1.7299552990124312e-07
