year,petits_ADJ arts_NOUN,petits_ADJ chars_NOUN
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,4.475680270843441e-09,2.6854081625060644e-08
1803,1.950339223455444e-09,5.851017448321727e-09
1804,4.943701892301533e-09,1.2359254952798437e-08
1805,0.0,6.254330742194725e-08
1806,2.881669125542885e-09,2.0171682990621775e-08
1807,0.0,1.4234775136401367e-08
1808,1.5862518409903714e-08,1.3596443970698147e-08
1809,0.0,2.25903047379461e-08
1810,4.680253518074551e-09,1.4040760554223652e-08
1811,0.0,7.521229861140455e-09
1812,0.0,5.3344166417446104e-08
1813,0.0,0.0
1814,0.0,1.5733386149463513e-08
1815,0.0,1.3486118000116676e-08
1816,2.3176038865813098e-09,1.8540831092650478e-08
1817,1.556873407970727e-09,1.8682481339737933e-08
1818,0.0,2.741870730460505e-08
1819,8.280840013696888e-09,2.794783426907088e-08
1820,5.933240565525466e-09,2.254631326081835e-08
1821,9.861488514673056e-09,3.94459531705138e-09
1822,8.02049271442229e-09,3.308453244699194e-08
1823,0.0,9.882686669016039e-09
1824,6.736890156844311e-09,1.1789557774477544e-08
1825,0.0,1.3208164340028361e-08
1826,0.0,3.5231937367541377e-09
1827,0.0,8.295545583791863e-09
1828,6.420610709767516e-09,2.384798314380987e-08
1829,8.573175946935407e-09,2.1432940755516938e-08
1830,2.0873671680021744e-09,3.235419043789989e-08
1831,0.0,4.677361609140007e-09
1832,8.117981842303834e-09,1.8941957335982806e-08
1833,1.0425265983826648e-08,4.054269808762001e-08
1834,2.8003592777992026e-09,2.14694217959277e-08
1835,2.2689263801112247e-09,1.5882484660778573e-08
1836,1.3441500135158435e-09,2.016225053580456e-08
1837,1.1828414692161004e-08,3.5485243188304594e-08
1838,3.787297142565649e-09,1.2624323808552163e-08
1839,6.9914749545318955e-09,4.894032734625853e-09
1840,1.5287252685958208e-08,1.6561189752906103e-08
1841,2.5682194149112547e-09,1.3483152372373297e-08
1842,0.0,5.366612043644636e-09
1843,7.678984559333912e-09,1.5357969118667825e-08
1844,1.0428266250528395e-08,2.5247381074677833e-08
1845,2.1204865419122143e-08,2.622707206967334e-08
1846,1.2294452567118697e-08,2.2832555401919308e-08
1847,8.629157832729106e-09,1.294373674909366e-08
1848,0.0,3.378993085334514e-08
1849,8.379414939696517e-10,8.379414495607307e-09
1850,6.788996032014438e-10,1.0862393651223101e-08
1851,4.514607354622058e-09,3.031236062156495e-08
1852,1.6276363368206148e-08,1.2370036550635177e-08
1853,0.0,1.0749477752369785e-08
1854,1.558699391779328e-09,1.1950028522278444e-08
1855,9.552486801567284e-09,9.552486801567284e-09
1856,2.0708756931497874e-09,1.346069211649592e-08
1857,1.4644527812635033e-09,1.5620829074691756e-08
1858,1.468102794888182e-08,1.0276719919488642e-08
1859,0.0,8.656694916453489e-09
1860,4.57718396518203e-09,1.785101666484934e-08
1861,1.3676294763342867e-08,2.4051415081771665e-08
1862,6.776979422085105e-09,4.292087041335435e-08
1863,8.990317823531768e-09,3.446288232566985e-08
1864,1.6302074357099627e-08,9.109982990196386e-09
1865,6.589582213223366e-09,1.1296426905005319e-08
1866,1.0704348518686402e-08,9.731225603104576e-09
1867,4.464586567110018e-08,1.3102591012170706e-08
1868,7.656804967837161e-08,1.679557115608077e-08
1869,1.953407657850903e-09,2.490594752657671e-08
1870,1.3761716655125156e-08,2.465641024684828e-08
1871,8.496941816815706e-09,1.3807530230280918e-08
1872,7.861541084785983e-09,2.2979889990892843e-08
1873,1.9155214303623325e-08,1.0176207432266438e-08
1874,1.1351757756017378e-08,1.7326366119618797e-08
