year,trois_DET chantiers_NOUN
1800,3.144164395507687e-08
1801,0.0
1802,8.951360541686881e-09
1803,1.1702034896643454e-08
1804,1.4831105232815389e-08
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,7.020380277111826e-09
1811,2.5070767684098882e-09
1812,4.267533171287141e-08
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,7.784366928831332e-09
1818,2.384235475716423e-09
1819,2.070210003424222e-09
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,1.6842225392110777e-09
1825,1.7610886082763955e-09
1826,0.0
1827,9.217273055917019e-10
1828,6.420610709767516e-09
1829,8.57317605795771e-10
1830,2.0873671680021744e-09
1831,0.0
1832,1.8941957335982806e-08
1833,1.1583628500844156e-09
1834,9.334531370086552e-09
1835,1.5126175867408165e-09
1836,3.36037508930076e-09
1837,1.3915782304252389e-08
1838,0.0
1839,1.3982950353153001e-08
1840,1.2739377330817092e-09
1841,1.2841097074556274e-09
1842,5.366612043644636e-09
1843,5.906911071384968e-10
1844,5.488561161115513e-09
1845,0.0
1846,2.9272506640865004e-09
1847,6.47186837454683e-09
1848,2.091757650424242e-08
1849,4.1897072478036534e-09
1850,6.788996032014438e-10
1851,5.159551008659946e-09
1852,0.0
1853,2.388772735173461e-09
1854,3.117398617025202e-09
1855,4.2455496895854594e-09
1856,1.760244283666168e-08
1857,1.0739319655783675e-08
1858,4.893676019968041e-10
1859,0.0
1860,3.2040287090140396e-09
1861,2.4051415081771665e-08
1862,4.066187830886747e-09
1863,4.994620717013731e-09
1864,6.712619349258375e-09
1865,1.364984902885169e-08
1866,1.1190910087499617e-08
1867,3.396968040192405e-09
1868,3.457911734727759e-09
1869,7.325278605918584e-09
1870,3.4404292748035914e-09
1871,5.3105884134652115e-09
1872,6.0473394070115205e-09
1873,2.3944017324417644e-09
1874,7.169530746864439e-09
1875,8.010138330405425e-09
1876,1.0278225381910033e-08
1877,1.9791411176584006e-08
1878,6.6429974854287366e-09
1879,1.2829582729523281e-08
1880,1.2193907883428778e-08
1881,9.761510710859511e-09
1882,9.983077697839349e-09
1883,1.7694148368718743e-08
1884,1.3203393933736152e-08
1885,8.379326565943757e-09
1886,9.034849313138693e-09
1887,7.834709769838355e-09
1888,6.340614699951175e-09
1889,1.2530273485467092e-09
1890,4.588070645628051e-09
1891,8.92390783491237e-09
1892,5.014809900671935e-09
1893,1.8475249885518963e-08
1894,3.465846631911518e-08
1895,1.3240952334570011e-08
1896,3.5382172747233653e-09
1897,1.2236098578810584e-08
1898,1.1882545614128048e-08
1899,1.6029977345510815e-08
1900,2.6993476454073573e-08
1901,1.3412973176585297e-08
1902,1.2766738444192072e-08
1903,1.3500550455347593e-08
1904,1.1824175416563776e-08
1905,1.4966201611343877e-08
1906,1.0288368990085672e-08
1907,1.3885676608538233e-08
1908,8.349361646509124e-09
1909,7.151278569317299e-09
1910,1.7635696902829068e-08
1911,1.755723388896513e-08
1912,7.293189607793238e-09
1913,1.6969566696278804e-08
1914,2.8795997586428257e-08
1915,2.9451904026700504e-08
1916,2.197492410260793e-09
1917,1.973956464951243e-08
1918,2.2972752589112133e-09
1919,1.289098744416961e-08
1920,1.0601124422748853e-08
1921,2.0446417503539038e-08
1922,1.1066903393697203e-08
1923,1.0615948120573648e-08
1924,7.734974438733389e-09
1925,1.3197813286680571e-08
1926,3.343841648018042e-09
1927,5.574612549352764e-09
1928,2.2852082448565625e-09
1929,1.5596568481157647e-08
1930,2.7309369543537798e-08
1931,1.4826963656844327e-08
1932,2.4110980323399644e-08
1933,2.294132506186486e-08
1934,1.5576054224197833e-08
1935,1.6755596909945325e-08
1936,2.7886843056990074e-08
1937,3.021868355546076e-08
1938,5.315738027533712e-08
1939,3.058810094103137e-08
1940,3.296517903095264e-08
1941,8.854508237732261e-09
1942,9.102635090130207e-09
1943,1.1612940831184915e-08
1944,9.639558484764166e-09
1945,8.714016175304096e-09
1946,1.2528993842408909e-08
1947,1.4305045148432782e-08
1948,1.4133454406817236e-08
1949,2.846932423139492e-08
1950,1.1698897406375863e-08
1951,9.595261696304647e-09
1952,2.1089607726842985e-08
1953,6.464296653518886e-09
1954,1.9545072227344917e-08
1955,2.4402579956728232e-08
1956,1.3953826982771034e-08
1957,9.718541194025931e-09
1958,1.6544486891589827e-08
1959,1.7826720766223048e-08
1960,1.5225833704946012e-08
1961,3.1961532753754796e-08
1962,2.4733629200301976e-08
1963,2.7157423865276087e-08
1964,1.5209921100378665e-08
1965,2.954903388641128e-08
1966,2.658755837714466e-08
1967,2.6130779318123132e-08
1968,1.8414804736632817e-08
1969,2.7250545819867966e-08
1970,2.4833114453670646e-08
1971,2.980270563668341e-08
1972,3.1806910882892225e-08
1973,3.418186422798897e-08
1974,3.8816444281053464e-08
1975,4.11226563912237e-08
1976,3.370980783401478e-08
1977,4.4663542198009054e-08
1978,4.039602163885547e-08
1979,2.5163485517509798e-08
1980,2.61516928112826e-08
1981,2.2139422961586774e-08
1982,2.1105508229979364e-08
1983,3.915495749851061e-08
1984,2.3775934554493006e-08
1985,2.285912081845254e-08
1986,2.2779044872578424e-08
1987,3.6053818597281406e-08
1988,2.4585870672666488e-08
1989,2.4696550138259e-08
1990,1.961514373149953e-08
1991,2.5204300424519488e-08
1992,1.8182816252654277e-08
1993,4.154405708334252e-08
1994,3.586950070300077e-08
1995,3.199246023655178e-08
1996,3.790045255414043e-08
1997,4.123609231854175e-08
1998,4.1959536734026415e-08
1999,2.970630763599047e-08
2000,3.446064544831984e-08
2001,3.7240300621022016e-08
2002,3.680225990621011e-08
2003,4.2502614761019686e-08
2004,3.259545522382723e-08
2005,3.963299732845371e-08
2006,4.4885000605177083e-08
2007,3.515141910881425e-08
2008,3.746546983762755e-08
2009,3.051643204798893e-08
2010,3.212179322531483e-08
2011,2.026705181457089e-08
2012,1.9063814971076454e-08
2013,1.980278718782813e-08
2014,2.013864053296288e-08
2015,1.6402658120640012e-08
2016,1.4292246053315694e-08
2017,1.660303472483804e-08
2018,1.6263240754099684e-08
2019,1.19896426120647e-08
