year,plusieurs_DET ans_NOUN,plusieurs_DET champs_NOUN
1800,9.432493897065797e-09,3.552905782910898e-07
1801,7.143547753329926e-09,3.643209467441011e-07
1802,2.2378401354217203e-08,7.384872446891677e-08
1803,1.5602713787643552e-08,8.776526527753958e-08
1804,2.4718509461507665e-09,3.2134061411781545e-08
1805,5.685755422035754e-09,1.421438877713399e-08
1806,2.881669125542885e-09,3.1698359492793315e-08
1807,8.540865792383556e-09,1.7081731584767113e-08
1808,0.0,1.6768947475043205e-07
1809,4.518061036407062e-09,1.0617443457761055e-07
1810,1.4040760554223652e-08,6.552355191757897e-08
1811,5.0141535368197765e-09,4.763445815569867e-08
1812,1.8670458068470452e-08,4.5342538612658245e-08
1813,5.751483289628823e-09,4.888760862797881e-08
1814,3.1466771410748606e-09,1.195737269199526e-07
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,2.0858434979231788e-08
1817,9.341240669868967e-09,4.3592454090912724e-08
1818,1.7881766067873173e-08,1.7881765401739358e-08
1819,3.1053151161586356e-09,3.622867339458935e-08
1820,2.610625848831205e-08,3.322614716694261e-08
1821,4.2404398215012407e-08,2.465372128668264e-08
1822,4.411270992932259e-08,3.308453244699194e-08
1823,9.882687224127551e-09,5.534304681198421e-08
1824,8.252690264498597e-08,3.536867154707579e-08
1825,6.163809906922779e-09,3.874394849390228e-08
1826,4.4039921931471326e-08,6.077509340229881e-08
1827,3.133872894522938e-08,2.7651818612639545e-08
1828,8.346794067026764e-08,3.118582370120748e-08
1829,1.2859763920403111e-08,6.344150360604317e-08
1830,1.6698937344017395e-08,7.201416862834265e-08
1831,3.274153215215847e-08,6.860130952190957e-08
1832,1.2176972319366541e-08,2.705993829010822e-08
1833,4.6334514003376626e-09,6.139323183163015e-08
1834,3.547121618652227e-08,4.387229446400909e-08
1835,2.647080776796429e-08,4.235329242874286e-08
1836,2.352262562510532e-08,3.4947900906523444e-08
1837,4.0355768504696243e-08,6.053365253499976e-08
1838,2.3354999711955315e-08,5.428459193268509e-08
1839,1.677954131196202e-08,3.0063342482122835e-08
1840,1.6561189752906103e-08,5.223144583510475e-08
1841,1.6051371787284552e-08,6.998398038859932e-08
1842,5.366612043644636e-08,2.884554062276834e-08
1843,5.906910960362666e-09,3.18973185642335e-08
1844,3.0735943568060975e-08,5.92764615170438e-08
1845,1.5066614622583074e-08,3.961961914100698e-08
1846,2.2247105491146613e-08,7.903576548784486e-08
1847,1.1325769655456952e-08,4.2067142658197554e-08
1848,3.218088684420195e-09,3.942158599556933e-08
1849,1.005529792763582e-08,3.5193544078993e-08
1850,1.2899092460827433e-08,4.480737381129529e-08
1851,1.0319102239364497e-08,3.3537082666512674e-08
1852,1.4323199959420663e-08,4.4922762398869054e-08
1853,3.1651239851271384e-08,4.777545448142462e-08
1854,2.6497887994914038e-08,5.715230938507787e-08
1855,3.8209947206269135e-08,6.156047049898916e-08
1856,1.5531567587601103e-08,2.9509978460851016e-08
1857,3.807577053649425e-08,3.4658715009072694e-08
1858,1.761723389392955e-08,3.914940971405656e-08
1859,2.6988518975201714e-08,3.615443211479885e-08
1860,1.7393299245327398e-08,2.883625879745999e-08
1861,8.488734437595014e-09,3.536972875695099e-08
1862,7.6805766469068e-09,5.783022416494532e-08
1863,9.989241933627824e-09,5.3442442138340596e-08
1864,3.548098703731739e-08,4.2193605054308136e-08
1865,2.3534221293974866e-08,4.518570684286516e-08
1866,2.238181906477621e-08,2.7247432754506917e-08
1867,9.220341823379385e-09,2.814630661873707e-08
1868,1.7289560005906424e-08,2.8651268690893517e-08
