year,quelques_DET airs_NOUN,quelques_DET chers_ADJ
1800,3.4585809238762977e-07,3.144164484325529e-09
1801,2.809795489611133e-07,2.3811825844433088e-09
1802,2.0140561218795483e-07,0.0
1803,1.8918289867997373e-07,0.0
1804,4.202146612897195e-07,0.0
1805,3.041879172993589e-07,0.0
1806,3.429186392622796e-07,0.0
1807,1.992868590150465e-07,0.0
1808,1.450287356874469e-07,2.2660739951163578e-09
1809,1.8524050737767084e-07,0.0
1810,2.948559623128233e-07,0.0
1811,1.5293167621166504e-07,0.0
1812,5.521121124729689e-07,0.0
1813,5.665210984773239e-07,0.0
1814,2.6117418938653714e-07,3.1466771410748606e-09
1815,1.8071397800412115e-07,0.0
1816,1.2515060632267705e-07,0.0
1817,2.6933909857973504e-07,0.0
1818,2.0266001610202977e-07,0.0
1819,1.9977527188075328e-07,1.035105001712111e-09
1820,2.254631459308598e-07,0.0
1821,2.1004970562898961e-07,0.0
1822,1.9148926355683216e-07,1.0025615893027862e-09
1823,1.8381797417532653e-07,1.1859224713361982e-08
1824,1.1957980028398651e-07,0.0
1825,2.932212508355292e-07,8.805443041381977e-10
1826,1.1186140369545683e-07,0.0
1827,1.4931982822430356e-07,0.0
1828,1.6051527040872315e-07,2.7516904310687096e-09
1829,1.8603791507310063e-07,0.0
1830,3.1832348135196753e-07,0.0
1831,1.38761739654214e-07,0.0
1832,1.4882965615470312e-07,0.0
1833,3.104412300558579e-07,0.0
1834,2.2962945855908856e-07,0.0
1835,2.1101014624491654e-07,7.563087933704082e-10
1836,1.8885307717653177e-07,1.3441500135158435e-09
1837,2.0456199401053254e-07,6.957890930081589e-10
1838,1.6979716122023092e-07,0.0
1839,1.7059198764712846e-07,6.9914751765765e-10
1840,1.7389249640231697e-07,3.1848443882154243e-09
1841,1.489567313939233e-07,6.420548537278137e-10
1842,1.2678621041928295e-07,6.708265054555795e-10
1843,1.5417037246834298e-07,5.906911071384968e-10
1844,1.1306436009661525e-07,1.097712254427563e-09
1845,6.807878349945895e-08,2.2320911785556063e-09
1846,8.313391930414582e-08,1.7563503984519002e-09
1847,8.41342897572872e-08,0.0
1848,7.642960653253539e-08,0.0
1849,7.122502498901895e-08,0.0
1850,7.53578577317171e-08,6.788996032014438e-10
1851,6.90089914101577e-08,1.9348316282474798e-09
1852,1.2109614822009007e-07,5.208436348880241e-09
1853,1.260077588938202e-07,5.971931837933653e-09
1854,1.1534374833033212e-07,3.117398783558656e-09
