year,les_DET armes_NOUN,les_DET charmes_NOUN
1800,3.8462564816654776e-05,7.061793439788744e-06
1801,4.068250632371928e-05,8.538920752698687e-06
1802,3.6769950838788645e-05,7.313261477293054e-06
1803,4.467837084121129e-05,6.642855254312963e-06
1804,3.7799545452799066e-05,8.671252800240836e-06
1805,4.2782465129675984e-05,7.223752191976018e-06
1806,4.693662572208268e-05,7.377072904546367e-06
1807,4.945730381678004e-05,6.7956818554648635e-06
1808,4.5783757855133445e-05,7.215179522290782e-06
1809,5.4282244263959e-05,6.2575145989285375e-06
1810,4.022209998311155e-05,8.62804739654166e-06
1811,5.027691850045812e-05,6.548484435597857e-06
1812,4.027217664770433e-05,6.427971840139435e-06
1813,4.298370947708463e-05,7.781757005886902e-06
1814,5.686989698006073e-05,5.648285394954655e-06
1815,5.113126837841264e-05,4.884671838567556e-06
1816,3.96912843143582e-05,5.15898619823929e-06
1817,4.903217188712006e-05,5.799353630209225e-06
1818,6.0309236005196e-05,5.605337833003432e-06
1819,6.226881180282362e-05,5.862834797198957e-06
1820,6.06270394882813e-05,5.253291277540484e-06
1821,5.07965266933752e-05,5.863640751613275e-06
1822,6.09567464380234e-05,5.65745492053793e-06
1823,6.963637474655116e-05,5.402864871939528e-06
1824,5.962905777323613e-05,5.0240358149267195e-06
1825,5.820133821998752e-05,5.218105627591285e-06
1826,6.374778536155645e-05,4.788901264873857e-06
1827,5.556540929774201e-05,4.2178239993972966e-06
1828,4.604587138601346e-05,4.241271966520799e-06
1829,4.4702253831019334e-05,4.022534270120559e-06
1830,4.718075967957702e-05,4.688226624693925e-06
1831,4.477794573176652e-05,3.097972552268402e-06
1832,4.1375999217052595e-05,3.592206951452681e-06
1833,4.1610710923123406e-05,3.8585067017038455e-06
1834,4.735034258374071e-05,3.567657785197298e-06
1835,5.1441099458315875e-05,3.57809685169741e-06
1836,5.8664081620918296e-05,3.383225589459471e-06
1837,4.9836589369078865e-05,2.877783785493193e-06
1838,6.188317229316453e-05,3.0222630726939315e-06
1839,5.2809406838605355e-05,2.9538983099541838e-06
1840,5.7560964819458604e-05,2.8650860741663564e-06
1841,4.306262007958139e-05,3.163404215911214e-06
1842,5.0487745056670974e-05,2.7215430549176745e-06
1843,4.144170600284269e-05,2.975311126363067e-06
1844,4.983009932857385e-05,3.2009288872814068e-06
