year,deux_DET airs_NOUN,deux_DET chers_ADJ
1800,1.131899196593622e-07,3.772997558826319e-08
1801,4.286128785224719e-08,4.524246932646747e-08
1802,3.1329761895904085e-08,2.4616241489638924e-08
1803,9.166594594489652e-08,1.950339223455444e-09
1804,6.921182338359699e-08,4.943701892301533e-09
1805,1.2224374312808095e-07,0.0
1806,4.8988376022407465e-08,1.729001475325731e-08
1807,6.547996633798903e-08,1.9928686256776018e-08
1808,1.1556977064230978e-07,9.064295980465431e-09
1809,6.09938268780752e-08,1.129515236897305e-08
1810,3.97821557918121e-08,7.020380277111826e-09
1811,8.77476873384353e-08,0.0
1812,5.3344166417446104e-08,2.1337665856435706e-08
1813,1.5241430628698538e-07,5.751483289628823e-09
1814,8.81069599500961e-08,1.2586708564299443e-08
1815,5.664169400176888e-08,2.697223555614414e-09
1816,4.6352077731626196e-09,0.0
1817,3.42512151974006e-08,1.5568734412774177e-08
1818,6.079800130009971e-08,9.536941902865692e-09
1819,4.5544620519422097e-08,1.0351050239165716e-08
1820,5.3399165977907614e-08,1.3053129244156025e-08
1821,1.4792232327920374e-08,1.8736827200882544e-08
1822,5.514088741165324e-08,6.015369535816717e-09
1823,1.680056804787e-08,6.917880934764753e-09
1824,6.06320114115988e-08,2.0210670470532932e-08
1825,3.78634048558979e-08,2.3774695989686734e-08
1826,2.9947145208097936e-08,1.2331177856594877e-08
1827,5.7147091836462494e-08,1.1982455028203276e-08
1828,7.888178754633657e-08,5.503380751115117e-09
1829,6.086954873474326e-08,6.858540846366168e-09
1830,4.5922077696047836e-08,8.349468672008697e-09
1831,5.145097770054008e-08,6.236482441579483e-09
1832,2.8412935559885e-08,5.411987746839486e-09
1833,4.865123881536704e-08,4.6334514003376626e-09
1834,4.853956059314157e-08,9.334530925997342e-10
1835,4.0840674842002045e-08,4.5378527602224494e-09
1836,5.578222345148376e-08,6.7207500675792176e-09
1837,6.88831186534955e-08,2.7831562610103333e-09
1838,4.229148320433751e-08,3.1560809521380406e-09
1839,3.2859933885021064e-08,4.894032845648155e-09
1840,4.33138822586443e-08,1.6561189752906103e-08
1841,7.512042010660025e-08,1.926164561183441e-09
1842,3.8237111255057243e-08,2.683306021822318e-09
1843,6.143187425422525e-08,1.7720733769266417e-09
1844,3.45779343491337e-08,1.6465684371524958e-09
1845,4.7431936656128215e-08,5.580227835366713e-09
1846,2.2832555401919308e-08,9.367202125076801e-09
1847,1.941560512364049e-08,2.1572894581822766e-09
1848,3.298541073615269e-08,4.8271330266302925e-09
1849,3.686942506853086e-08,1.1731180693530519e-08
1850,5.838536765168101e-08,6.788996032014438e-09
