year,ayez_VERB eu_VERB
1800,5.0306631749208464e-08
1801,1.3334621939975477e-07
1802,1.1860552717735118e-07
1803,7.216254971353919e-08
1804,9.39303390623536e-08
1805,1.4214388954769674e-07
1806,2.2765186713513685e-07
1807,7.117387923472052e-08
1808,8.611080914988634e-08
1809,1.3102376783535874e-07
1810,1.942305232205399e-07
1811,8.273353557797236e-08
1812,9.068507722531649e-08
1813,1.2653262615458516e-07
1814,9.125363931161701e-08
1815,7.821948599939788e-08
1816,1.367386346373678e-07
1817,1.3389110620209976e-07
1818,1.513989502655022e-07
1819,1.2524770909294602e-07
1820,1.4358441546846734e-07
1821,1.9821591479285416e-07
1822,1.303330066093622e-07
1823,1.7294702558956487e-07
1824,1.4905369027928828e-07
1825,1.3736490700466675e-07
1826,1.2243097557984584e-07
1827,2.037017310385636e-07
1828,1.1098484264948638e-07
1829,9.087566610332942e-08
1830,1.49246758951449e-07
1831,6.392394169552063e-08
1832,1.1229874274931717e-07
1833,1.2973663388038403e-07
1834,1.1761508744712046e-07
1835,1.4899282518854307e-07
1836,1.290383977448073e-07
1837,1.0436836106464398e-07
1838,8.458297173774554e-08
1839,1.3913034990764572e-07
1840,1.2038711361128662e-07
1841,1.3097918838411715e-07
1842,1.395319202401879e-07
1843,1.0455232768435962e-07
1844,1.2074835353814706e-07
1845,1.0379223880363497e-07
1846,1.0538102657164927e-07
1847,9.761734531821276e-08
1848,7.321151684891447e-08
1849,8.798385664476882e-08
1850,1.2966982865236787e-07
1851,8.126292527776968e-08
1852,1.0481978307552708e-07
1853,8.539862506040663e-08
1854,8.832629561084104e-08
1855,8.119613426060823e-08
1856,8.179959110066193e-08
1857,1.2154957573784486e-07
1858,1.1206518024664547e-07
1859,1.31887290422128e-07
1860,1.1809134292661838e-07
1861,1.150695183582684e-07
1862,1.3870217685507669e-07
1863,1.1287843193485969e-07
1864,8.630509995555258e-08
1865,1.289675424231973e-07
1866,1.1336877747680774e-07
1867,9.899735431417866e-08
1868,8.644779825317528e-08
1869,1.2111127034586389e-07
1870,7.97032768673489e-08
1871,1.2639200974717824e-07
1872,1.2699412366146134e-07
1873,1.0535367778174987e-07
1874,1.105302658288565e-07
1875,1.109976253133027e-07
1876,1.1789728660005494e-07
1877,9.339072448710795e-08
1878,7.669642343444139e-08
1879,1.1180065229154934e-07
1880,8.920806493506461e-08
1881,1.0040410813871858e-07
1882,1.1114493503328049e-07
1883,9.794975142085605e-08
1884,6.337629088193353e-08
1885,7.154655889962669e-08
1886,6.582533274013258e-08
1887,9.009915657998135e-08
1888,6.150396103521416e-08
1889,6.453090861668898e-08
1890,7.537544632896243e-08
1891,4.780665108228277e-08
1892,6.017771880806322e-08
1893,1.0038218789532038e-07
1894,7.561847326087445e-08
1895,6.680662067992671e-08
1896,7.371286159241208e-08
1897,8.79833734757085e-08
1898,6.450524381307332e-08
1899,6.190887802404177e-08
1900,7.059832540790012e-08
1901,7.544797853142882e-08
1902,5.646826295446772e-08
1903,7.506306332061286e-08
1904,8.545654139879844e-08
1905,7.121847289681682e-08
1906,7.047533046034005e-08
1907,5.502842270743713e-08
1908,6.826830656336824e-08
1909,1.0176819387197611e-07
1910,8.283433317046729e-08
1911,6.70367157340479e-08
1912,9.064392969548862e-08
1913,5.674198888527826e-08
1914,5.826166926681253e-08
1915,2.9451904026700504e-08
1916,3.625862632361532e-08
1917,6.360526327853222e-08
1918,5.054005569604669e-08
1919,8.194984957299312e-08
1920,7.2693424613135e-08
1921,6.361107551811074e-08
1922,5.82856891639949e-08
1923,6.475728042687479e-08
1924,6.703644572780831e-08
1925,7.478760721824074e-08
1926,6.464760105018286e-08
1927,8.138934504131612e-08
1928,6.627104198742018e-08
1929,1.0583386256257654e-07
1930,7.247486166761519e-08
1931,7.071321306284517e-08
1932,7.123698964051073e-08
1933,4.817677989876756e-08
1934,3.714289675826876e-08
1935,5.864459140525469e-08
1936,5.577368611398015e-08
1937,4.5328025777280345e-08
1938,4.148868626430158e-08
1939,7.035263394072899e-08
1940,5.325144059042941e-08
1941,5.017554371988808e-08
1942,7.58552971547033e-08
1943,9.00002916637277e-08
1944,4.4984606262232774e-08
1945,4.574858536443571e-08
1946,9.744773166175946e-08
1947,6.556479092978407e-08
1948,6.414413888933268e-08
1949,5.890204946013e-08
1950,6.593923984610228e-08
1951,8.635735326834038e-08
1952,3.4797853487589236e-08
1953,6.033343424860504e-08
1954,6.645324646115114e-08
1955,8.25933454962069e-08
1956,6.802490304380626e-08
1957,7.068030072332476e-08
1958,5.4596807075313336e-08
1959,6.820658171591276e-08
1960,7.059249895746689e-08
1961,5.211119358250471e-08
1962,8.371382165250907e-08
1963,4.978861056770256e-08
1964,8.51755572739421e-08
1965,6.621172587983892e-08
