year,plusieurs_DET chantiers_NOUN
1800,2.829747991484055e-08
1801,1.4287095950749062e-08
1802,1.5664880947952042e-08
1803,5.655983770225248e-08
1804,1.4831105898949204e-08
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,5.124519120158766e-08
1808,4.758755522971114e-08
1809,3.840352036377226e-08
1810,5.148278692246322e-08
1811,6.016984377410495e-08
1812,1.0668832928217853e-08
1813,8.627225156487839e-09
1814,0.0
1815,2.1577788444915313e-08
1816,1.1588019432906549e-08
1817,3.113746815941454e-09
1818,4.768470951432846e-09
1819,1.6561680027393777e-08
1820,1.0679833017945839e-08
1821,1.2819934891439289e-08
1822,1.2030739071633434e-08
1823,1.581229902569703e-08
1824,2.105278085196005e-08
1825,2.905796225860513e-08
1826,9.688783109140786e-09
1827,1.3825909306319772e-08
1828,1.559291185060374e-08
1829,6.001223351592699e-09
1830,1.982998831806526e-08
1831,1.5591206103948707e-09
1832,3.2471927369215337e-08
1833,5.3284690437749305e-08
1834,3.733812548034621e-08
1835,1.8151411040889798e-08
1836,1.3441499802091528e-08
1837,6.957891152126194e-09
1838,1.64116205070286e-08
1839,2.866504811294135e-08
1840,2.5478754384078428e-08
1841,2.8250413119934592e-08
1842,1.3416529665022381e-08
1843,9.451057714215949e-09
1844,3.9517641825526084e-08
1845,1.5624637417221976e-08
1846,1.3465353498887112e-08
1847,2.642679497455447e-08
1848,2.1722098120235955e-08
1849,3.016589289472904e-08
1850,1.968808938102029e-08
1851,4.514607354622058e-09
1852,6.510545214055696e-09
1853,1.134667093616315e-08
1854,1.4547860249791711e-08
1855,3.1841622671890946e-09
1856,7.765783571755946e-09
1857,1.9037885934380938e-08
1858,1.0276719808466339e-08
1859,1.1202780925145817e-08
1860,1.1442959635399319e-08
1861,8.488734826173072e-09
1862,1.6716549255946234e-08
1863,1.498386242859695e-08
1864,6.712618905169165e-09
1865,8.943004559114343e-09
1866,1.1190909532388105e-08
1867,1.6984840200962026e-08
1868,1.2843672791973404e-08
1869,1.0743741896135361e-08
1870,1.0321287824410774e-08
1871,1.0621176826930423e-08
1872,9.071008943983827e-09
