year,quelques_DET arts_NOUN,quelques_DET chars_NOUN
1800,6.759953361523685e-07,6.288328968651058e-09
1801,5.381472782950425e-07,0.0
1802,2.618272958443413e-07,0.0
1803,2.632958018278231e-07,0.0
1804,3.4358727729610905e-07,1.2359254952798437e-08
1805,2.672305021711452e-07,0.0
1806,1.671368083933089e-07,0.0
1807,4.953701684407008e-07,0.0
1808,3.7616828940656433e-07,0.0
1809,4.992457434127573e-07,4.518061036407062e-09
1810,2.3167255225331473e-07,0.0
1811,2.206227520673565e-07,0.0
1812,2.453831555726538e-07,0.0
1813,2.760711899085777e-07,1.4378708002027452e-08
1814,3.8074792207964947e-07,0.0
1815,8.631115377966125e-08,0.0
1816,1.4832664874120383e-07,4.6352077731626196e-09
1817,1.588010860587019e-07,0.0
1818,1.4186200480992284e-07,0.0
1819,1.697572156178495e-07,1.1386155129855524e-08
1820,2.4326286052200885e-07,0.0
1821,1.3313008950799343e-07,9.86148829262845e-10
1822,1.373509377344817e-07,2.0051231786055723e-08
1823,1.7097048399250525e-07,0.0
1824,2.366332712000485e-07,0.0
1825,1.7258668361108676e-07,7.924898959288385e-09
1826,1.4885493593297383e-07,8.807984341885344e-10
1827,2.6822263876624675e-07,9.217273055917019e-10
1828,2.1371461400576663e-07,2.7516904310687096e-09
1829,2.0318427251808657e-07,9.430493719264632e-09
1830,1.868193655329975e-07,1.0436835395921662e-08
1831,1.34084368497156e-07,1.4032085715598441e-08
1832,1.975375509832844e-07,1.6235963684607668e-08
1833,1.2394482951094687e-07,4.6334514003376626e-09
1834,2.0722659233030072e-07,1.5868701908061666e-08
1835,2.01934447829899e-07,6.050470346963266e-09
1836,9.946710344266307e-08,6.720750067579218e-10
1837,1.2037151164712157e-07,1.3219993100221927e-08
1838,1.1740621319589195e-07,7.574594285131298e-09
1839,1.202533725930266e-07,6.9914751765765e-10
1840,1.1401742766592449e-07,2.547875410652267e-09
1841,9.951850543643559e-08,8.988767952189392e-09
1842,7.110761002238064e-08,1.341653010911159e-09
1843,1.0337094646928335e-07,1.1813822142769936e-09
1844,1.1855292081364155e-07,1.097712254427563e-09
1845,6.752075681903946e-08,7.254296274794569e-09
1846,1.0186832199998719e-07,1.1709002656346001e-09
1847,7.712309546548113e-08,2.1572894581822766e-09
1848,5.068489528081699e-08,3.218088684420195e-09
1849,7.625267928190738e-08,5.865590679832167e-09
1850,5.838536676350259e-08,1.3577992064028876e-09
1851,4.708090317606661e-08,2.579775504329973e-09
