year,as_VERB eu_VERB
1800,2.200915076855381e-07
1801,1.619204113012529e-07
1802,1.7231369042747247e-07
1803,1.2677205063482688e-07
1804,1.3842365831351344e-07
1805,2.5301611117356515e-07
1806,6.916005901302924e-08
1807,1.537355700520493e-07
1808,1.0423940466353088e-07
1809,9.93973401364201e-08
1810,1.591286178381779e-07
1811,1.3287507272252697e-07
1812,1.6269970615212515e-07
1813,1.0352670187785407e-07
1814,7.552024783308298e-08
1815,8.091670622434322e-08
1816,7.879853569647821e-08
1817,1.214361304846534e-07
1818,1.2755660350194375e-07
1819,1.35598753558952e-07
1820,1.3053129066520341e-07
1821,2.169527419937367e-07
1822,2.546506436829077e-07
1823,2.174191138237802e-07
1824,2.450543661325355e-07
1825,3.10832149352791e-07
1826,1.418085417981274e-07
1827,1.1798109511573784e-07
1828,1.2657775982916064e-07
1829,1.2002446680980938e-07
1830,1.5655253093882493e-07
1831,2.1204040479005926e-07
1832,2.1512651926514081e-07
1833,1.6796261093077192e-07
1834,2.4549817112529126e-07
1835,3.0327981903610635e-07
1836,3.0646620530205837e-07
1837,2.1708619613036717e-07
1838,1.988331064239901e-07
1839,1.8247750688260567e-07
1840,1.840840013755951e-07
1841,2.221509731725746e-07
1842,2.743680340699939e-07
1843,2.658109963249444e-07
1844,2.1130961158633e-07
1845,2.1539679551096924e-07
1846,1.6978053452021413e-07
1847,1.5316754797822796e-07
1848,1.4240042389701557e-07
1849,1.0055298105271504e-07
1850,1.575047008373076e-07
1851,1.5672135589284153e-07
1852,2.0963956615105417e-07
1853,1.9767094272538088e-07
1854,1.7041779187820794e-07
1855,2.069705544727185e-07
1856,2.2727860482518736e-07
1857,2.5969629291466845e-07
1858,2.6915216722045443e-07
1859,2.6021007215604186e-07
1860,2.842431285898783e-07
1861,2.664519627160189e-07
1862,2.3041729946271516e-07
1863,2.9068692697364895e-07
1864,3.5624827887659194e-07
1865,2.574643929165177e-07
1866,2.875577251870709e-07
1867,2.7563970661503845e-07
1868,2.5341554987790005e-07
1869,2.6517508899814857e-07
1870,2.322289702760827e-07
1871,3.1544897183266585e-07
1872,3.0962377195464796e-07
1873,2.2986256453805254e-07
1874,2.820015652105212e-07
1875,3.15828287966724e-07
1876,2.110059114102114e-07
1877,2.4058934400272847e-07
1878,2.11972007946315e-07
1879,3.4090035683220776e-07
1880,2.2462461402028566e-07
1881,2.2660650245143188e-07
1882,2.7353632958693197e-07
1883,2.4961389044619864e-07
1884,2.970763546272792e-07
1885,2.507352405700658e-07
1886,1.981213415547245e-07
1887,2.428759842132422e-07
1888,2.4918614371927106e-07
1889,2.2930400689347152e-07
1890,2.7856142992277455e-07
1891,1.905891764408807e-07
1892,2.137562660209369e-07
1893,1.866000189920669e-07
1894,2.2370464591858763e-07
1895,2.8106930471949454e-07
1896,2.8954411845916184e-07
1897,2.2316312708881014e-07
1898,2.682060085135163e-07
1899,2.7306236916047055e-07
1900,1.9777912996232772e-07
1901,2.0734221095608518e-07
1902,2.131063183696824e-07
1903,1.9602799739004695e-07
1904,2.2519679987453856e-07
1905,2.069464386522668e-07
1906,2.0525295951756561e-07
1907,2.4994218961182924e-07
1908,2.9861246275686426e-07
1909,2.8770145377166045e-07
1910,3.1797696919966256e-07
1911,2.5112166213148157e-07
1912,2.484893855125847e-07
1913,2.2060437743220973e-07
1914,2.089384025794061e-07
1915,1.9673872486691835e-07
1916,2.0766303521213558e-07
1917,2.1055535626146593e-07
1918,1.9526839878380997e-07
1919,2.384832669122261e-07
1920,2.6351366955168487e-07
1921,2.506579335204151e-07
1922,3.2905592206589063e-07
1923,2.8450742206587165e-07
1924,3.416280378587544e-07
1925,3.134480834887654e-07
1926,3.5444719514998724e-07
1927,4.6269283870969957e-07
1928,3.6906112654833123e-07
1929,3.219577422441944e-07
1930,3.770793739477085e-07
1931,2.7144747605234443e-07
1932,3.6276065884521813e-07
1933,3.0167842623995966e-07
1934,3.258989806909085e-07
1935,2.9920710176156717e-07
