year,des_DET oies_NOUN,des_DET choix_NOUN
1800,3.772997354545282e-07,2.766864728442897e-07
1801,4.643306181772999e-07,3.024101928872369e-07
1802,4.1400042505301826e-07,2.7973001692771504e-07
1803,4.5442904728076883e-07,2.418420654848319e-07
1804,3.3617172467970136e-07,1.9774808279748868e-07
1805,4.0368864784312564e-07,2.643876371166698e-07
1806,1.9595349609602408e-07,2.679952331163804e-07
1807,2.9893028363758845e-07,1.3380689267705748e-07
1808,2.809931678449118e-07,8.384473915157287e-08
1809,5.195770000909761e-07,1.378008573915679e-07
1810,3.9314129374190543e-07,3.1591710225598035e-07
1811,3.183987451471637e-07,8.774768645025688e-08
1812,1.520308643421231e-07,1.2269157556588084e-07
1813,2.0705340375570813e-07,1.207811497483391e-07
1814,3.27254436438551e-07,2.5488084531843924e-07
1815,2.751168040049379e-07,4.369502164536243e-07
1816,2.2248996955909206e-07,3.2446454234502653e-07
1817,1.9149542329621738e-07,3.7832024379902407e-07
1818,3.31408723130977e-07,4.208175710118667e-07
1819,2.1944226169523517e-07,5.837992347323961e-07
1820,2.385162769513727e-07,5.458581249229155e-07
1821,2.790801291174816e-07,3.392351972664187e-07
1822,2.1254305693219067e-07,3.2382739334479993e-07
1823,2.15442573114899e-07,1.7591182521758952e-07
1824,1.5158002586446173e-07,2.4589649960660154e-07
1825,2.4391076713925486e-07,2.3334424348320226e-07
1826,2.3164998708136153e-07,3.100410523870778e-07
1827,2.2582319425534791e-07,3.2813490946637103e-07
1828,2.1830077412410276e-07,2.614105718556914e-07
1829,2.3490502504275312e-07,4.175136734119178e-07
1830,2.536151120224872e-07,4.1121131899579666e-07
1831,3.3053355763534853e-07,4.4279025601667854e-07
1832,2.1783250325757564e-07,4.140170530853027e-07
1833,3.475088590221276e-07,3.498255889411439e-07
1834,2.623003139134994e-07,3.239082193573495e-07
1835,2.6243915129953166e-07,2.2159846935210226e-07
1836,2.473235943822871e-07,3.104986632251894e-07
1837,2.9710193816256947e-07,2.9710195148524576e-07
1838,2.1650715620324945e-07,2.083013441733783e-07
1839,2.481973737644694e-07,3.097223384429526e-07
1840,1.9427551034567614e-07,2.694378373746531e-07
1841,2.2471919214339664e-07,1.7656508077834587e-07
1842,2.508891068231378e-07,2.7839301042220654e-07
1843,1.8665839540688012e-07,2.3863921350120165e-07
1844,2.3820356265247256e-07,2.6509749639913593e-07
1845,2.985421990731041e-07,3.4709018148504356e-07
1846,1.8266044810033577e-07,2.6637981953570034e-07
1847,2.3244794267185398e-07,2.809869421582789e-07
1848,2.260707319123867e-07,3.9984753108512905e-07
1849,1.9188860278518405e-07,4.0975340365179136e-07
1850,1.8058729089887038e-07,2.376148549032564e-07
1851,2.4636856132964624e-07,2.3862924081186065e-07
1852,1.5950836518285882e-07,2.4479651372644184e-07
1853,2.573902571079145e-07,1.7975514299273243e-07
1854,1.8860262152031737e-07,1.7509389005354592e-07
1855,2.2819829226250476e-07,2.0697054381457747e-07
1856,1.8948512314764798e-07,1.6204602548697267e-07
1857,1.6694761151292425e-07,2.084404351343494e-07
1858,1.942789422115787e-07,2.1287490770127704e-07
1859,2.2762014584287726e-07,2.1387127424610242e-07
1860,2.1970482655397916e-07,2.0460012173373343e-07
1861,2.5371885348235423e-07,2.490028805368638e-07
1862,2.4442305335270476e-07,2.7966334673057425e-07
1863,2.3075147836948418e-07,2.202627724656736e-07
1864,2.1672170014142011e-07,1.7692546627756656e-07
1865,2.1557346707723468e-07,2.249871664528058e-07
1866,1.761351877682671e-07,1.7516205819134711e-07
1867,2.4167001555497336e-07,1.8343626706496252e-07
1868,2.4402978426874e-07,2.0549875934250394e-07
1869,2.1389813420480408e-07,2.749421152969944e-07
1870,2.2534811972008129e-07,3.0562479347295834e-07
1871,2.2729319937297987e-07,4.365303947206911e-07
1872,2.2737995664101618e-07,3.7312082445950523e-07
1873,2.789478137366075e-07,3.2084983381253096e-07
1874,2.168783148626119e-07,3.578790801483933e-07
1875,2.2428386659001376e-07,3.936410593041728e-07
1876,2.4788660191177314e-07,2.3700377926871852e-07
1877,2.5172201389978e-07,1.5894977689612233e-07
1878,2.451869884900759e-07,2.0230947495036844e-07
1879,2.107717258503783e-07,2.1016078710633934e-07
1880,2.2205747929326947e-07,2.0216216078949856e-07
1881,2.175422397776572e-07,2.433405126289756e-07
1882,2.549012436681153e-07,2.4558372357930125e-07
1883,2.6414836507004935e-07,2.8247445121865056e-07
1884,2.983967073433291e-07,1.9408988727320775e-07
1885,1.946581920653223e-07,2.404222156915381e-07
1886,2.110282685263698e-07,2.4200490056358603e-07
1887,2.5136359083077764e-07,2.0239666453925054e-07
1888,2.390411708574902e-07,2.2128745946758954e-07
1889,2.1802676442028712e-07,2.462198818165007e-07
1890,2.3005895988248426e-07,1.7500211946241961e-07
1891,2.2692223011766544e-07,2.3329645770786556e-07
1892,2.0811460554881478e-07,1.4542948845175374e-07
1893,2.1492873392148226e-07,1.3794853270798768e-07
1894,2.0290956026514095e-07,2.0921110888139083e-07
1895,1.7273423869035298e-07,2.2088315532187153e-07
1896,1.8929463729833174e-07,1.6039918193655467e-07
1897,2.1442305975227782e-07,1.4391982161576777e-07
1898,1.8559404235674037e-07,1.6239478950463848e-07
1899,2.2884174910586808e-07,1.4648082391488515e-07
1900,2.2944454647344514e-07,1.676710094100642e-07
1901,1.5201369540918108e-07,2.1572531583302634e-07
1902,1.5663804786569813e-07,1.1882886852276897e-07
1903,1.8900771436847208e-07,1.425658195941537e-07
1904,1.795124813241955e-07,1.9509888726787494e-07
1905,2.1417150541935825e-07,2.0539821621312626e-07
1906,2.1142598782830646e-07,1.9753669078248492e-07
1907,2.0571374115263552e-07,1.8205665730519627e-07
1908,2.3329098497448797e-07,1.753365950207808e-07
1909,2.06286882686868e-07,1.408251856238607e-07
1910,2.3353938516379458e-07,1.3681025734513241e-07
1911,1.5961122912244718e-07,1.4152195770833487e-07
1912,1.963951848926726e-07,1.84413512682724e-07
1913,2.0310450832283777e-07,1.4477162468828908e-07
1914,2.05590032109626e-07,1.8215142871813583e-07
1915,2.2265640298169131e-07,1.166295464649636e-07
1916,2.0326804528458808e-07,1.0218339641099305e-07
1917,2.006855638336802e-07,2.2371505403739889e-07
1918,1.780388352301543e-07,8.499918635607173e-08
1919,1.556126307811212e-07,1.298306596120291e-07
1920,2.0672191913817528e-07,1.0298235064709615e-07
1921,1.8098865894877747e-07,1.4842584583618645e-07
1922,1.9403969986342418e-07,1.217359398841822e-07
1923,1.7940952901085438e-07,1.7091676607350337e-07
1924,1.753260949755031e-07,1.6114530465571875e-07
1925,2.144644692947395e-07,1.2867867549282153e-07
1926,1.905989606143521e-07,1.5047287149627664e-07
1927,1.97341287533348e-07,1.5051452906256202e-07
1928,1.999557204257485e-07,1.5539416153842467e-07
1929,1.7267630436634818e-07,1.7267629459638556e-07
1930,1.2709360419638216e-07,1.4810081339078351e-07
1931,1.6081552534075172e-07,1.482696374566217e-07
