year,deux_DET airs_NOUN,deux_DET chairs_NOUN
1800,1.131899196593622e-07,0.0
1801,4.286128785224719e-08,9.524730337773235e-09
1802,3.1329761895904085e-08,4.475680270843441e-09
1803,9.166594594489652e-08,0.0
1804,6.921182338359699e-08,7.4155526164076946e-09
1805,1.2224374312808095e-07,0.0
1806,4.8988376022407465e-08,0.0
1807,6.547996633798903e-08,0.0
1808,1.1556977064230978e-07,2.2660739951163578e-09
1809,6.09938268780752e-08,4.518061036407062e-09
1810,3.97821557918121e-08,4.680253518074551e-09
1811,8.77476873384353e-08,0.0
1812,5.3344166417446104e-08,0.0
1813,1.5241430628698538e-07,0.0
1814,8.81069599500961e-08,0.0
1815,5.664169400176888e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,3.42512151974006e-08,3.113746815941454e-09
1818,6.079800130009971e-08,1.1921177378582115e-09
1819,4.5544620519422097e-08,1.035105001712111e-09
1820,5.3399165977907614e-08,0.0
1821,1.4792232327920374e-08,0.0
1822,5.514088741165324e-08,0.0
1823,1.680056804787e-08,1.9765373782121287e-09
1824,6.06320114115988e-08,8.421112696055388e-10
1825,3.78634048558979e-08,5.283265824829186e-09
1826,2.9947145208097936e-08,0.0
1827,5.7147091836462494e-08,6.452091305675367e-09
1828,7.888178754633657e-08,0.0
1829,6.086954873474326e-08,0.0
1830,4.5922077696047836e-08,3.1310507520032616e-09
1831,5.145097770054008e-08,7.795603274018958e-09
1832,2.8412935559885e-08,0.0
1833,4.865123881536704e-08,2.3167257001688313e-09
1834,4.853956059314157e-08,1.0267983796552471e-08
1835,4.0840674842002045e-08,1.5126175867408165e-09
1836,5.578222345148376e-08,6.720750067579218e-10
1837,6.88831186534955e-08,1.3915781860163179e-09
1838,4.229148320433751e-08,1.8936485712828244e-09
1839,3.2859933885021064e-08,1.3982950131108396e-08
1840,4.33138822586443e-08,1.2739377330817092e-09
1841,7.512042010660025e-08,2.5682194149112547e-09
1842,3.8237111255057243e-08,7.379091560011375e-09
1843,6.143187425422525e-08,5.906911071384968e-10
1844,3.45779343491337e-08,1.6465684371524958e-09
1845,4.7431936656128215e-08,4.464182357111213e-09
1846,2.2832555401919308e-08,0.0
1847,1.941560512364049e-08,0.0
1848,3.298541073615269e-08,8.045221711050488e-10
1849,3.686942506853086e-08,0.0
1850,5.838536765168101e-08,3.394498016007219e-09
1851,3.353708155628965e-08,7.094382858952031e-09
1852,6.445439737490233e-08,9.114764054629632e-09
1853,4.598387448595531e-08,4.777545470346922e-09
1854,7.118060402211412e-08,2.5978321716024766e-09
1855,6.156047405170284e-08,4.2455496895854594e-09
1856,5.694908311593139e-08,5.177189232874468e-10
1857,7.175818117488575e-08,1.9526036343364694e-09
1858,8.172439253106845e-08,1.468102750479261e-09
1859,3.97189512391094e-08,1.5276520048956854e-09
1860,5.8130236957332215e-08,1.373155145145688e-09
1861,5.847795042646098e-08,9.431927461278633e-10
1862,8.177555432808958e-08,1.3553959066214816e-09
1863,2.2975256364077268e-08,9.989241656072068e-10
1864,7.096197229827794e-08,2.3973640850272204e-09
1865,4.2832282387550435e-08,1.882737743486018e-09
1866,5.1088934416299026e-08,1.4596839292835284e-09
1867,6.939520247328801e-08,1.94112459439566e-09
1868,4.6434817546625595e-08,1.975949626142892e-09
1869,8.399653195212409e-08,2.9301114867763545e-09
1870,4.587238944253613e-08,6.880858549607183e-09
1871,2.1242353653860846e-08,1.0621176826930423e-08
1872,5.019291648977742e-08,3.0236697590169115e-09
1873,6.105724315030869e-08,2.9930022904522957e-09
1874,4.779687134970345e-08,0.0
1875,5.893172794202428e-08,2.8607636259891933e-09
1876,6.287855258690911e-08,1.209202959984168e-09
1877,7.050690165044671e-08,6.184815992682502e-10
1878,1.316521327510145e-07,0.0
1879,3.6655949942066e-08,7.94212251520321e-09
1880,5.005920211686998e-08,3.3372799634889816e-08
1881,9.41288524902717e-08,6.972507571312292e-10
1882,7.587138917131142e-08,5.324308105514319e-09
1883,7.140853064413477e-08,2.5277355764075082e-09
1884,4.291103117282091e-08,2.6406787867472303e-09
1885,4.318576085626802e-08,1.933690763067375e-09
1886,4.9046325889534614e-08,3.2267319927115068e-09
1887,5.35371814103236e-08,3.9173548849191775e-09
1888,4.755461202599065e-08,5.07249175996094e-09
1889,5.889228527067303e-08,1.8795409673089125e-09
1890,2.9494738484903138e-08,1.9663159989136147e-09
1891,4.653180718516836e-08,1.9122659011827636e-09
1892,2.820830502514582e-08,0.0
1893,5.4194064402768305e-08,2.463366621796581e-09
1894,4.2850465620247746e-08,1.8904617871129403e-09
1895,6.43991759918805e-08,3.611168697403855e-09
1896,4.0099797649073565e-08,2.948514543632541e-09
1897,4.3700353113962365e-08,5.826713556089658e-10
1898,4.413516951906615e-08,1.6975064687230201e-09
1899,4.5878900678530954e-08,6.080336234504102e-09
1900,4.412395127051383e-08,1.5573159428683425e-09
1901,3.5767929285057676e-08,7.265360757457984e-09
1902,2.995273185035785e-08,1.9641135384773634e-09
1903,4.6981915247101824e-08,4.860198243861191e-09
1904,4.568431410945095e-08,2.6873125946735854e-09
1905,4.4898605056076235e-08,5.676835002077496e-09
1906,3.9610220603503166e-08,6.173021205313489e-09
1907,7.611407992769159e-08,6.1714118260169926e-09
1908,6.041008471235898e-08,1.5716445034286153e-08
1909,3.960708294670212e-08,5.500983557560346e-10
1910,5.0235016701982715e-08,2.1911017000775246e-08
1911,3.724261854465283e-08,2.128149656499545e-09
1912,6.668059038261731e-08,1.5628263128064646e-09
1913,7.848425115364321e-08,5.302989602995467e-09
1914,8.906668824693043e-08,1.3393487430235496e-09
1915,2.8273827723523937e-08,1.1780761921542648e-09
1916,1.0987461607214755e-08,1.0987462051303964e-09
1917,3.947912752266802e-08,1.0966424435210342e-09
1918,1.8378202071289707e-08,2.2972752589112133e-09
1919,5.5247090680055067e-08,3.6831393490643904e-09
1920,7.04217537617069e-08,6.815008557481406e-09
1921,6.739745078698789e-08,1.5145494858259667e-09
1922,5.459672369756419e-08,2.2133805899215986e-09
1923,7.006525715169687e-08,5.307974060286824e-09
1924,3.867487285980076e-08,1.0313299547703991e-08
1925,5.27912540349007e-08,2.1996355847875293e-09
1926,3.901148493135054e-08,3.343841648018042e-09
1927,6.801026863900717e-08,7.804457524684949e-09
