year,premiers_ADJ ans_NOUN,premiers_ADJ champs_NOUN
1800,3.804439074883703e-07,0.0
1801,2.881230898310605e-07,1.0000967165524344e-07
1802,2.842056971985585e-07,0.0
1803,3.101039283137652e-07,5.851017448321727e-09
1804,4.968420626028092e-07,3.213406074564773e-08
1805,4.264316544322355e-07,5.970043304159844e-08
1806,2.305335300434308e-07,0.0
1807,3.046241943138739e-07,0.0
1808,3.172503681980743e-07,0.0
1809,1.9427662323323602e-07,1.8072244145628247e-08
1810,3.5101902540191077e-07,1.1700633351097167e-08
1811,2.8329966994533606e-07,2.5070767684098882e-09
1812,3.2273220540446346e-07,8.00162425207418e-09
1813,3.077043686516845e-07,4.601186631703058e-08
1814,1.9824065589091333e-07,3.776012391654149e-08
1815,2.2926400333744823e-07,5.394447111228828e-09
1816,2.9201808615653135e-07,0.0
1817,2.6778221240419953e-07,4.670620334934483e-09
1818,2.4319200520039885e-07,1.1921177378582115e-09
1819,3.6332184549792146e-07,1.035105001712111e-09
1820,4.177001358129928e-07,0.0
1821,3.0176153131833416e-07,0.0
1822,3.5089655625597516e-07,6.015369535816717e-09
1823,3.4787058211804833e-07,0.0
1824,3.8989750805740186e-07,1.1789557774477544e-08
1825,2.9057960659883975e-07,3.522177216552791e-09
1826,2.563123473464657e-07,8.807984341885344e-10
1827,2.1199727484599862e-07,7.373818444733615e-09
1828,2.2472137573004147e-07,2.7516904310687096e-09
1829,1.997550072019294e-07,5.143905745796928e-09
1830,2.3587249131651333e-07,4.174734336004349e-09
1831,2.1983601072861347e-07,3.1182412207897414e-09
1832,1.9618455837644433e-07,4.058990921151917e-09
1833,2.8959070164091827e-07,6.950177322551099e-09
1834,2.4549817112529126e-07,9.334531370086552e-09
1835,2.1706063080273452e-07,2.193295500774184e-08
1836,2.8025527853969834e-07,1.344150035720304e-08
1837,2.3100197665826272e-07,2.2265250976261086e-08
1838,1.881024189742675e-07,1.64116205070286e-08
1839,1.4821927152297576e-07,1.7478688718597368e-08
1840,1.5542040898708365e-07,8.917564464638872e-09
1841,1.8105946253399452e-07,7.704658244733764e-09
1842,1.9722298816304829e-07,8.720745015011744e-09
1843,1.1518476839000868e-07,4.7255288571079745e-09
1844,1.51484286448067e-07,2.140538946093784e-08
1845,1.25555132513e-07,1.562463758375543e-08
1846,1.5514429207996727e-07,5.854501328173001e-10
1847,8.359496916909848e-08,4.314578916364553e-09
1848,1.1906928421012708e-07,1.206783295515379e-08
1849,1.340706319297169e-07,6.703531951757213e-09
1850,1.5954140053509036e-07,2.0366988096043315e-09
1851,1.1157528945204831e-07,7.094382858952031e-09
1852,1.7578472011336999e-07,3.906327261660181e-09
1853,1.528814550511015e-07,7.166318205520383e-09
1854,1.917200194156976e-07,7.27393034694046e-09
1855,1.57085338514662e-07,9.021793090369101e-09
1856,1.7809530561407882e-07,8.801221973442352e-09
1857,1.6206610098379315e-07,2.0990489346672803e-08
1858,1.5757636617763637e-07,9.787352261980686e-09
1859,1.537836311626961e-07,1.323965115318515e-08
1860,1.5242022755046492e-07,2.5174511364411956e-08
1861,1.4006411674927222e-07,2.1221836732365773e-08
1862,1.396057740521428e-07,8.132375661773494e-09
1863,1.423466926553374e-07,1.1987090431375691e-08
1864,1.5918496387712366e-07,6.233146443435089e-09
1865,1.1814179146085735e-07,1.6473954644879996e-08
1866,1.591055394101204e-07,9.731225825149181e-10
1867,1.1258522647494829e-07,1.649955905236311e-08
1868,1.3337660220713587e-07,9.87974857480367e-09
1869,1.3185501757106977e-07,1.12320943657096e-08
1870,1.61126777697973e-07,1.9495765002375265e-08
1871,2.0605084216640535e-07,2.1242353653860846e-08
1872,1.30622524352475e-07,1.269941218851045e-08
1873,1.1792428722401382e-07,5.387403856360606e-09
1874,1.2666171755881805e-07,1.8521287614703397e-08
1875,9.898241870587299e-08,1.602027666081085e-08
1876,1.0217765122888522e-07,9.673623679873344e-09
1877,2.1461310950599e-07,4.9478527941460015e-09
1878,1.5218503790492832e-07,8.4547240319921e-09
