year,leurs_DET armes_NOUN,leurs_DET charmes_NOUN
1800,6.816548648203025e-06,1.1947825093727715e-06
1801,8.365094089413105e-06,1.6358724579390582e-06
1802,8.541835427422484e-06,1.1636769272627134e-06
1803,7.920327789179282e-06,1.4042442870731975e-06
1804,7.830823619769944e-06,8.453730515611824e-07
1805,6.5983192882868025e-06,1.0831364134489263e-06
1806,6.812265837652376e-06,1.1930110161983976e-06
1807,7.020591112905095e-06,9.508829919013806e-07
1808,8.611081369735984e-06,1.0786512305571705e-06
1809,9.33205498654388e-06,7.97437792243727e-07
1810,7.104624785370106e-06,9.407309793374452e-07
1811,8.51403243018467e-06,8.975334822025616e-07
1812,7.417505884177444e-06,1.0002030457201272e-06
1813,6.709105036861729e-06,9.662491700090925e-07
1814,1.055710141883992e-05,5.569618712897295e-07
1815,8.412640688959527e-06,7.821948448949456e-07
1816,7.928523203304394e-06,5.353665049057099e-07
1817,8.917770429661687e-06,6.616711774043438e-07
1818,9.28898181484783e-06,7.021573482646204e-07
1819,9.805549495922605e-06,6.169226072216816e-07
1820,9.92987116887889e-06,9.81358017071443e-07
1821,8.801378442058194e-06,6.85373425568514e-07
1822,1.0165974586584525e-05,6.646983337077472e-07
1823,1.0956934829664533e-05,6.809171004817927e-07
1824,1.1921769583977948e-05,7.957951426718068e-07
1825,1.2022071047113059e-05,9.668376037552662e-07
1826,1.084262862605101e-05,6.74691603030908e-07
1827,8.900198878336596e-06,6.507394796351207e-07
1828,8.23305768449245e-06,8.016591266368778e-07
1829,7.696997414541329e-06,5.74402819530917e-07
1830,8.55924906772998e-06,7.138795830030631e-07
1831,6.833625775470864e-06,4.31876401307818e-07
1832,6.58368308847912e-06,6.250845894228974e-07
1833,8.544084209916036e-06,7.147098948223629e-07
1834,8.273194850971777e-06,6.300808106374234e-07
1835,9.128647008083135e-06,5.452986684417738e-07
1836,9.905041139290915e-06,4.818777985526879e-07
1837,8.395391603244207e-06,4.3138923366825566e-07
1838,1.0431479140038391e-05,5.561014786437113e-07
1839,9.161628781839681e-06,3.621584259150268e-07
1840,9.612497109401374e-06,4.242212749971941e-07
1841,7.53772388861762e-06,4.693421082890836e-07
1842,7.740667228972598e-06,4.803117761298381e-07
1843,6.322757812426971e-06,4.2293484225908173e-07
1844,7.688376825853993e-06,4.423780524120957e-07
1845,6.7978339046703695e-06,3.805715507176899e-07
1846,7.277730503574276e-06,4.0571695603119906e-07
1847,7.627636406937199e-06,3.796829499691512e-07
1848,6.45065894389063e-06,3.4353097383421627e-07
1849,6.468070210985388e-06,2.815483561846577e-07
1850,7.267620063089453e-06,3.1840392633597503e-07
1851,6.548760296709588e-06,4.4178654512450066e-07
1852,6.0046762655474595e-06,3.320378048066175e-07
1853,5.951627429112705e-06,4.467005130237567e-07
1854,5.854474821376243e-06,4.291618775909001e-07
1855,5.7909297339620025e-06,4.90361006910689e-07
1856,6.010199143702266e-06,3.152908115700015e-07
1857,6.3318052099248234e-06,3.7392358942511805e-07
1858,6.33388486903641e-06,4.1889865609601173e-07
1859,6.7267610717181014e-06,3.040027392042788e-07
1860,6.701454978497168e-06,3.442042177947968e-07
1861,6.512274239867111e-06,2.9238976506640313e-07
1862,6.105154923830014e-06,3.6911948431139763e-07
1863,5.827723427387355e-06,2.9967725478918794e-07
1864,5.795387608031888e-06,2.613126837136548e-07
1865,6.10995481054033e-06,2.7911588063034287e-07
1866,6.6031230687713105e-06,2.6176996925642015e-07
1867,5.064394230203106e-06,2.6593407120856227e-07
1868,5.623058527248759e-06,2.4155983702200956e-07
1869,4.858613351643726e-06,2.827557674667247e-07
1870,4.988049099097225e-06,2.586055973807788e-07
1871,7.154424991995256e-06,2.5384613877577067e-07
1872,6.202151361378583e-06,2.497551179203583e-07
1873,5.528673526100647e-06,2.1908776726142776e-07
1874,5.602390913850286e-06,1.6967890059671475e-07
1875,4.9771565784340055e-06,2.111243446734079e-07
1876,4.8029540238303525e-06,2.636062479410839e-07
1877,4.717158986977665e-06,2.492480966065358e-07
1878,5.192408536913717e-06,1.9506255788392934e-07
1879,4.552058058493458e-06,3.164630457686002e-07
1880,6.718843380326689e-06,2.3681853034140943e-07
1881,4.876571878753566e-06,2.6425803367757794e-07
1882,3.881420504114885e-06,2.3293847872807305e-07
1883,4.257338773072661e-06,2.5530130720596844e-07
1884,4.153787756422389e-06,2.3502040580325456e-07
1885,3.6056886330015914e-06,1.617854544777586e-07
1886,4.131507637339382e-06,1.7811560482083877e-07
1887,3.7541317681188957e-06,1.7366940130436603e-07
1888,3.790419405902412e-06,1.8007346436199612e-07
1889,4.0823633185027575e-06,1.8983364213909226e-07
1890,3.935909177243957e-06,2.1301756297775754e-07
1891,3.5051837059540958e-06,1.6955425996556528e-07
1892,3.561768643578489e-06,1.736377868155614e-07
1893,3.252875679038425e-06,2.0445942561231334e-07
1894,3.407872355865038e-06,1.720320190745639e-07
1895,3.5124634791827702e-06,1.6069700214949023e-07
