year,autres_ADJ ans_NOUN,autres_ADJ chants_NOUN
1800,2.5153315874604232e-08,3.458580977167003e-08
1801,9.524730337773235e-09,1.6668277424969347e-08
1802,4.475680270843441e-09,2.9091921760482364e-08
1803,1.950339223455444e-09,6.046051481689574e-08
1804,2.4718509461507665e-09,5.190887142347833e-08
1805,5.685755422035754e-09,8.52863308864471e-08
1806,8.645007376628655e-09,8.933174200365102e-08
1807,2.8469551160981155e-09,1.1103124819555887e-07
1808,4.5321479902327155e-09,4.758755522971114e-08
1809,6.7770917766551975e-09,1.0617443280125372e-07
1810,0.0,4.44624070894406e-08
1811,2.5070767684098882e-09,4.512738271955641e-08
1812,0.0,1.7336853375127248e-07
1813,5.751483289628823e-09,3.163315653864629e-08
1814,6.293354282149721e-09,1.0384034254684593e-07
1815,5.394447111228828e-09,4.315557688983063e-08
1816,0.0,5.3304887615013286e-08
1817,4.670620334934483e-09,6.227493543065066e-08
1818,4.768470951432846e-09,4.053200441944682e-08
1819,1.3456364911235141e-08,6.210630232317271e-08
1820,1.4239777357261119e-08,7.238553223487543e-08
1821,1.3806083387635226e-08,9.368413600441272e-08
1822,2.105379337535851e-08,6.416394171537831e-08
1823,4.941343334508019e-09,9.981513660051178e-08
1824,3.3684450784221553e-09,1.0947446327236321e-07
1825,1.6730341556581152e-08,1.0654585902436509e-07
1826,4.403992281964975e-09,1.1362299545680798e-07
1827,5.530363722527909e-09,6.636436467033491e-08
1828,2.2930752408001354e-08,8.071624790773058e-08
1829,6.001223074036943e-09,4.886710414098161e-08
1830,7.305785310052215e-09,8.55820516676431e-08
1831,2.182768810143898e-08,7.327867024287116e-08
1832,6.764984683549358e-09,9.8768779821512e-08
1833,4.6334514003376626e-09,9.266902678550792e-08
1834,9.334531148041947e-09,8.961149577935146e-08
1835,1.9664028627630614e-08,1.096647750387092e-07
1836,3.36037508930076e-09,7.258410050781094e-08
1837,3.4789454650407947e-09,6.609996461293122e-08
1838,3.1560809521380406e-09,7.195864526465812e-08
1839,2.09744255297295e-09,3.985140750728533e-08
1840,8.280595042986505e-09,6.11490094115652e-08
1841,5.1364388298225094e-09,5.97110982880622e-08
1842,1.0062397137744483e-08,8.385331540239349e-08
1843,1.1813822142769936e-09,9.096643083239542e-08
1844,1.6465684371524958e-09,9.440325499099345e-08
1845,3.348136878855712e-09,7.254296008341043e-08
1846,2.9272506640865004e-09,1.3875168747290445e-07
1847,8.089835468183537e-09,1.0786447290911383e-07
1848,4.022610855525244e-09,7.401604307233356e-08
1849,8.379414495607307e-09,6.954914200107964e-08
1850,2.0366988096043315e-09,8.146795149599484e-08
1851,1.096404611544699e-08,8.9002251568715e-08
1852,1.2370036550635177e-08,1.6862312368637333e-07
1853,2.9859659189668264e-09,1.1466109128832613e-07
1854,9.352195906586758e-09,1.0495242008801142e-07
1855,1.3798036491152743e-08,1.3108135021866474e-07
1856,3.624032518523279e-09,1.1803991384340407e-07
1857,7.322263795295214e-09,1.6401871083537856e-07
1858,1.468102750479261e-09,8.417122976389635e-08
1859,8.147477359443656e-09,1.2526746218100016e-07
1860,8.238931398230065e-09,1.1534503130405938e-07
1861,7.545542080045209e-09,7.922819289518657e-08
1862,1.445755604123633e-08,9.03597268120393e-08
1863,6.493007298491449e-09,1.0488703594546678e-07
1864,9.109982990196386e-09,6.952355846578939e-08
1865,6.589581991178761e-09,1.0166783681597735e-07
1866,4.865612801552288e-09,8.466166434573097e-08
1867,9.220341823379385e-09,8.346835755901338e-08
1868,6.9158236915001225e-09,8.496583348005515e-08
1869,9.767038733343725e-09,8.594993516908289e-08
1870,4.013834153937523e-09,1.1238735453389381e-07
1871,3.18635318130589e-09,6.691341525311145e-08
1872,3.0236697590169115e-09,1.1187577797500126e-07
1873,4.1902030178953e-09,8.919146665675726e-08
1874,9.559374625212058e-09,1.296490239610648e-07
1875,5.149374426860476e-09,7.266339707712177e-08
1876,9.06902175579205e-09,1.0761906188427872e-07
1877,1.0514186854493346e-08,7.854716377320159e-08
1878,6.039088784604019e-09,8.333942136395933e-08
1879,1.649517855639715e-08,6.720257772485638e-08
1880,1.4761046163158653e-08,9.755126217925181e-08
1881,6.275256869692214e-09,1.0807386985334233e-07
1882,5.324307883469714e-09,6.122954232523625e-08
1883,6.319339107552224e-09,7.393626444418544e-08
1884,3.9610181801208455e-09,8.120087269247733e-08
1885,7.734762830224895e-09,7.090199005688191e-08
1886,3.2267319372003556e-09,7.550552538759803e-08
1887,5.223139754040318e-09,1.1556196710671429e-07
1888,2.53624587998047e-09,1.2617823585969745e-07
1889,3.132568371366773e-09,1.0901337788027377e-07
1890,3.2771931834929546e-09,8.324070943643846e-08
1891,3.1871101313640793e-09,8.413970675746896e-08
1892,1.0656470816883257e-08,8.713232091395184e-08
1893,8.621783287310336e-09,8.375446469699455e-08
1894,6.301539290376468e-09,1.0964678409663975e-07
1895,3.611168697403855e-09,1.0171458342256301e-07
1896,4.717623180994224e-09,7.48922701632182e-08
1897,5.244042311502994e-09,6.817254671886985e-08
1898,2.26334195829736e-09,1.1033792379766538e-07
1899,4.9748205555033564e-09,7.351679442990644e-08
1900,3.6337372000261325e-09,6.229263915802363e-08
1901,2.794369402536745e-09,5.7005138387467014e-08
1902,1.178468167495339e-08,6.776191696644673e-08
1903,4.860198243861191e-09,5.940242475688251e-08
1904,7.524475265086039e-09,9.728071859171905e-08
1905,6.708986810544104e-09,7.328277717988385e-08
1906,5.144184633820714e-09,7.150416792001124e-08
1907,4.6285588695127444e-09,9.308546822239805e-08
1908,3.929111258571538e-09,7.612653019073434e-08
1909,5.5009836685826485e-09,7.426327641724129e-08
1910,6.412980702030779e-09,9.993562055665706e-08
1911,7.44852390877071e-09,6.490856208074547e-08
1912,1.5107321338359014e-08,6.928530105199115e-08
1913,9.015082513830208e-09,8.909022852776616e-08
1914,5.357394972094198e-09,5.424362470307642e-08
1915,2.3561523843085297e-09,7.068457064107747e-08
1916,1.0987462051303964e-09,5.383856382934482e-08
1917,6.579854550103903e-09,7.018511427592244e-08
1918,2.2972752589112133e-09,6.317507228459363e-08
1919,5.524709134618888e-09,9.115770183143468e-08
1920,1.514446346106979e-09,8.405176998849129e-08
1921,3.7863738810983705e-09,8.254294631138137e-08
1922,5.902348387820666e-09,5.3121134158118366e-08
