year,meilleurs_ADJ ans_NOUN,meilleurs_ADJ chants_NOUN
1800,3.144164484325529e-09,0.0
1801,3.095537337571841e-08,2.3811825844433088e-09
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,1.730295728918918e-08,0.0
1805,0.0,0.0
1806,0.0,2.0171682990621775e-08
1807,1.4234775136401367e-08,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,2.8757416004054903e-08
1814,0.0,2.5173417128598885e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,5.960588467246453e-09,0.0
1819,1.035105001712111e-09,6.210630232317271e-09
1820,5.933240565525466e-09,0.0
1821,9.86148829262845e-10,0.0
1822,2.8071724500478012e-08,0.0
1823,8.894418535021487e-09,0.0
1824,2.863178316658832e-08,0.0
1825,1.6730341556581152e-08,1.7610886082763955e-09
1826,4.403992281964975e-09,0.0
1827,3.6869092223668076e-09,9.217273055917019e-10
1828,2.109629271274116e-08,1.8344602503717056e-09
1829,0.0,5.143905745796928e-09
1830,0.0,1.3567886369969528e-08
1831,2.0268567268999504e-08,1.5591206103948707e-09
1832,0.0,0.0
1833,2.3167257001688313e-09,3.4750886612755494e-09
1834,2.8003592777992026e-09,1.8669061851994684e-09
1835,1.5126175867408165e-09,0.0
1836,1.2097349788575684e-08,0.0
1837,5.5663127440652715e-09,6.957891152126194e-09
1838,1.830527018853445e-08,0.0
1839,3.4957374772659477e-09,0.0
1840,1.2102408852854296e-08,0.0
1841,1.1556987367100646e-08,1.5409316489467528e-08
1842,1.341653010911159e-08,4.024959032733477e-09
1843,9.451057714215949e-09,4.134837805480629e-09
1844,1.6465684371524958e-09,7.683985892015244e-09
1845,0.0,0.0
1846,7.610851504580296e-09,0.0
1847,8.089835468183537e-09,0.0
1848,6.43617736884039e-09,1.6090443422100975e-09
1849,0.0,8.379414939696517e-10
1850,2.0366988096043315e-09,5.431196825611551e-09
1851,6.449438760824933e-09,2.579775504329973e-09
1852,2.6042181744401205e-09,6.510545436100301e-09
1853,7.763511611358354e-09,4.180352064508952e-09
1854,7.27393034694046e-09,1.610655964157104e-08
1855,5.306937111981824e-10,7.960405667972736e-09
1856,1.5531567143511893e-09,4.659470143053568e-09
1857,1.3180074809326925e-08,3.4170564155999728e-09
1858,5.872411001917044e-09,8.808616946964776e-09
1859,1.2221216039165483e-08,0.0
1860,2.746310290291376e-09,2.746310290291376e-09
1861,1.131831339762357e-08,1.8863854922557266e-09
1862,8.132375661773494e-09,6.325180823552046e-09
1863,7.991393324857654e-09,1.0988165932701577e-08
1864,9.109982990196386e-09,4.794727948009836e-10
1865,4.706844247692743e-09,9.88437331983505e-09
1866,1.9462451650298362e-09,9.244664589402873e-09
1867,5.82337378318698e-09,5.82337378318698e-09
1868,2.9639244392143382e-09,1.333765986544222e-08
1869,2.441759683335931e-09,2.441759683335931e-09
1870,8.601073631098188e-09,2.2936195165357276e-09
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,1.1489944995446422e-08,4.23313739617015e-09
1873,1.0774807712721213e-08,4.788803575905831e-09
1874,6.572069999322139e-09,9.559374625212058e-09
1875,1.1443054281912168e-09,6.293679799540541e-09
1876,7.859819461941697e-09,3.02300739996042e-09
1877,1.2369631985365004e-09,4.9478527941460015e-09
1878,6.039088784604019e-09,1.268208649207736e-08
1879,8.55305515301552e-09,1.221865053580018e-09
1880,2.5671385017744797e-09,6.417846254436199e-09
1881,1.3945015142624584e-09,0.0
1882,2.6621540527571597e-09,8.652000893505374e-09
1883,6.319338829996468e-09,0.0
1884,6.601696966868076e-10,3.300848483434038e-09
1885,1.353583467533781e-08,1.2891271383708158e-09
1886,7.098810428374236e-09,4.5174246565693466e-09
1887,1.9586774424595887e-09,6.528924512139156e-09
1888,1.268122939990235e-09,3.804368819970705e-09
1889,3.759081934617825e-09,5.012109394186837e-09
1890,8.520702365899524e-09,6.554386478008212e-10
1891,1.9122659011827636e-09,1.9122659011827636e-09
1892,1.2537024751679837e-09,3.761107425503951e-09
1893,3.079208221734575e-09,1.847525021858587e-09
1894,5.671385139294216e-09,6.301539290376468e-10
1895,3.0093072478365457e-09,1.1435367319734269e-08
1896,5.307326134129653e-09,5.307326134129653e-09
1897,5.2440420894583895e-09,1.7480140668268973e-09
1898,0.0,3.3950129374460403e-09
1899,6.080336234504102e-09,5.527578395003729e-09
