year,longs_ADJ ans_NOUN,longs_ADJ chants_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,1.4287095950749062e-08
1802,1.3427040812530322e-08,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,5.175524897538253e-09,0.0
1820,3.322614716694261e-08,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,9.882686891060644e-10
1824,1.2631669044083083e-08,0.0
1825,7.924898959288385e-09,0.0
1826,1.76159691278599e-08,0.0
1827,2.1199728195142598e-08,9.217273055917019e-10
1828,0.0,9.172301251858528e-10
1829,8.57317605795771e-10,8.57317605795771e-10
1830,0.0,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,0.0,2.3167257001688313e-09
1834,3.733812370398937e-09,9.334530925997342e-10
1835,1.5126175867408165e-09,7.563087933704082e-10
1836,5.376600054063374e-09,4.032449929525228e-09
1837,9.810626266926192e-08,0.0
1838,4.418513555037862e-09,0.0
1839,0.0,6.9914751765765e-10
1840,2.5478754661634184e-09,6.369688665408546e-10
1841,0.0,0.0
1842,3.3541325272778977e-09,6.708265054555795e-10
1843,5.31621990873532e-09,1.1813822142769936e-09
1844,0.0,0.0
1845,0.0,0.0
1846,5.269050973311096e-09,0.0
1847,0.0,0.0
1848,0.0,3.218088684420195e-09
1849,8.379414939696517e-10,0.0
1850,8.82569484161877e-09,0.0
1851,5.8044946626978344e-09,2.579775504329973e-09
1852,0.0,2.6042181744401205e-09
1853,1.1943863675867306e-09,5.971931837933653e-10
1854,3.63696517347023e-09,8.832629738719788e-09
1855,1.5920811335945473e-09,4.2455496895854594e-09
1856,5.694908100650764e-09,2.5885946719483854e-09
1857,8.78671624349181e-09,1.4644527812635033e-09
1858,4.893676019968041e-10,0.0
1859,6.110608019582742e-09,0.0
1860,5.950338888283113e-09,2.746310290291376e-09
1861,6.13075279431996e-09,0.0
1862,5.873382225018986e-09,2.710791813242963e-09
1863,5.4441368746438457e-08,4.994620828036034e-10
1864,7.719511785353461e-08,2.8768367688059016e-09
1865,2.0710114512212385e-08,3.765475486972036e-09
1866,9.731225603104576e-09,4.865612912574591e-10
1867,3.396968040192405e-09,3.88224918879132e-09
1868,1.975949626142892e-09,4.93987406535723e-10
1869,2.441759683335931e-09,9.767038289254515e-10
1870,5.734048791339319e-10,1.1468097582678638e-09
1871,3.18635318130589e-09,1.0621177271019633e-09
1872,3.628403577593531e-09,7.861540751719076e-09
1873,3.591602570907071e-09,4.788803575905831e-09
1874,0.0,4.182226565063729e-09
1875,3.432916173551348e-09,2.8607636259891933e-09
1876,4.232210137899983e-09,1.209202959984168e-09
1877,1.2369631985365004e-09,0.0
1878,3.6234530931267273e-09,7.2469061862534545e-09
1879,6.109325489944695e-09,0.0
1880,1.1552122813895949e-08,5.134277003548959e-09
1881,6.9725074602899895e-09,3.4862537301449947e-09
1882,1.9966155395678697e-09,0.0
1883,3.791603475633565e-09,2.5277355764075082e-09
1884,2.6406787867472303e-09,6.601696966868076e-10
1885,4.511945039809007e-09,0.0
1886,5.808117542471791e-09,1.936039106809062e-09
1887,4.570247291724172e-09,1.3057849246322917e-09
1888,6.340614699951175e-09,6.340614699951175e-10
1889,1.8795409673089125e-09,1.2530273485467092e-09
