year,six_DET ans_NOUN,six_DET chants_NOUN
1800,6.759953720347767e-06,1.446315693875988e-07
1801,7.886476510066132e-06,1.3096504614118487e-07
1802,7.107380127990837e-06,4.4756802708434407e-08
1803,7.389835104731901e-06,1.0531832117521844e-07
1804,7.1930861622604425e-06,2.0269178291343337e-07
1805,7.68145565643863e-06,7.391482181873243e-08
1806,6.962112436781354e-06,2.9104859411432926e-07
1807,6.9693459607833574e-06,1.6512339584551228e-07
1808,8.413932434336857e-06,2.5153421434609413e-07
1809,9.476632953919761e-06,6.777091643428435e-08
1810,7.1186657208954784e-06,1.4274773407763064e-07
1811,9.504328119191996e-06,1.353821472704908e-07
1812,7.758908907362638e-06,4.054156561572597e-07
1813,8.233248465217002e-06,5.291364786330632e-07
1814,8.341840668890654e-06,1.132803779668734e-07
1815,8.078184919213527e-06,1.618334157793555e-07
1816,7.103455928358926e-06,1.4369143741532753e-07
1817,7.508800294431239e-06,1.1053801074467628e-07
1818,9.274676045833985e-06,1.0490635959925498e-07
1819,8.741461670069839e-06,1.2317749531476352e-07
1820,9.78510053073478e-06,1.6375744227303812e-07
1821,9.401943003695123e-06,2.1596659627309833e-07
1822,8.174887526024577e-06,1.2832788343075663e-07
1823,8.049448595670583e-06,1.264983908733086e-07
1824,8.182794758226919e-06,1.658959263295401e-07
1825,8.92431688725992e-06,1.9548083685094753e-07
1826,8.252200728975367e-06,8.896064396246572e-08
1827,8.277110993049064e-06,1.4378945767390405e-07
1828,8.341290694602321e-06,1.302466803854152e-07
1829,8.215674355938063e-06,1.200244632570957e-07
1830,7.826583114933783e-06,2.588335181741286e-07
1831,8.09495422515738e-06,8.419251029678776e-08
1832,8.316872239788609e-06,1.5153565247061351e-07
1833,8.112014782568622e-06,1.9344659019093768e-07
1834,8.397344146260366e-06,8.2143871926732e-08
1835,7.983595736504867e-06,9.378229037793062e-08
1836,9.062259721304144e-06,9.476257556428891e-08
1837,9.680513755938591e-06,8.697363718113138e-08
1838,8.56118555248031e-06,1.2813688976542892e-07
1839,8.098225379171708e-06,9.438491277435901e-08
1840,8.282506257728528e-06,6.624476078798125e-08
1841,8.23692136009413e-06,8.860357203488434e-08
1842,8.677811962343185e-06,6.64118249282808e-08
1843,9.178749195370983e-06,9.805472100943291e-08
1844,8.18783567524406e-06,1.1635750141181234e-07
1845,8.483620376864565e-06,5.803436953222274e-08
1846,8.659393159859974e-06,7.142491731393363e-08
1847,8.745651399522103e-06,1.0085328128184301e-07
1848,9.116845689050024e-06,6.033916122305527e-08
1849,7.959606250551587e-06,1.2150151307288581e-07
1850,8.359969399407419e-06,6.381656447729256e-08
1851,7.934099699014041e-06,8.771236537086224e-08
1852,8.295086217913195e-06,6.640756500253531e-08
1853,8.6885632697431e-06,5.792773882795643e-08
1854,8.29332003604577e-06,9.715892668182846e-08
1855,8.936351576949164e-06,9.658625899078288e-08
1856,8.318707813259607e-06,8.697678199887093e-08
1857,8.520673929979239e-06,6.248331574365551e-08
1858,8.792957231662513e-06,5.8724113960462176e-08
1859,8.425509747667093e-06,8.351164382247589e-08
1860,8.256781939053326e-06,7.323494582989198e-08
1861,8.391113908601255e-06,6.602349300610655e-08
1862,8.504657046159991e-06,8.132375620140131e-08
1863,9.00729875752404e-06,1.0838327091367006e-07
1864,8.913879014471604e-06,7.287986558690562e-08
1865,8.438900920282322e-06,5.459939433904992e-08
1866,8.401940647217998e-06,6.568577193277747e-08
1867,9.219371634117124e-06,7.667442147862857e-08
1868,8.474848101513999e-06,7.261614776155056e-08
1869,8.290750784567535e-06,6.250904416305048e-08
1870,9.004749870200612e-06,1.1582778602914345e-07
1871,7.561216136764415e-06,5.2043767073683966e-08
1872,8.254617711145329e-06,4.837871403484684e-08
1873,8.536042628293217e-06,3.4718827257584906e-08
1874,8.848395907534723e-06,6.452577955284866e-08
1875,9.37243396492704e-06,4.348360727046696e-08
1876,1.0109541591418747e-05,6.590156109709255e-08
1877,8.723682753952744e-06,7.731019802115213e-08
1878,9.005488635693837e-06,1.425224922524393e-07
1879,9.308778459171663e-06,8.00321576788221e-08
1880,9.038252812842984e-06,1.1744658401369179e-07
1881,8.993837383286518e-06,5.299105576561658e-08
1882,9.235012072394966e-06,7.587138917131142e-08
1883,9.712824123653263e-06,5.8137916703060455e-08
1884,9.60612931066862e-06,1.0892799906514483e-07
1885,9.295251317098518e-06,5.02759576193057e-08
1886,8.962570746007259e-06,7.679622116008034e-08
1887,9.25409787555509e-06,3.19917308200246e-08
1888,9.33401850033988e-06,4.057993407968752e-08
1889,8.90589154778354e-06,6.453090867220013e-08
1890,8.727821324328033e-06,5.3745967676377404e-08
1891,8.660015652139919e-06,5.099376121364685e-08
1892,9.039194992510602e-06,5.014809811854093e-08
1893,8.597765742024421e-06,5.173069794750518e-08
1894,8.841059724318256e-06,8.381047567063149e-08
1895,8.795001605221842e-06,3.7917270878651266e-08
1896,8.83846732335769e-06,2.240870955461105e-08
