year,leurs_DET ans_NOUN,leurs_DET chants_NOUN
1800,3.458580977167003e-08,9.80979342202204e-07
1801,2.6193008650921e-08,1.1715417933544359e-06
1802,2.2378401354217203e-08,1.0003145121117996e-06
1803,4.290746247193056e-08,1.131196782466759e-06
1804,2.2246657849223084e-08,1.4138986834666412e-06
1805,3.980028751016107e-08,1.0660791271988046e-06
1806,4.610670600868616e-08,8.933174235892238e-07
1807,5.693910054560547e-08,1.1814864251391555e-06
1808,6.798221763304468e-08,1.0129350513921054e-06
1809,3.162642681076022e-08,1.3305689350318062e-06
1810,1.6380887757350138e-08,1.368974196225281e-06
1811,3.5099073869560016e-08,1.7073192566385842e-06
1812,2.6672083208723052e-08,1.1175602665502993e-06
1813,2.300593315851529e-08,1.2940837876840305e-06
1814,3.776012391654149e-08,1.2618174913825442e-06
1815,3.506390555685357e-08,9.925782222808266e-07
1816,9.502176112619054e-08,9.293591674008894e-07
1817,1.71256075987003e-08,1.1240625710229324e-06
1818,3.695565098382758e-08,9.6561534590478e-07
1819,4.968504185853817e-08,7.970308288918204e-07
1820,4.746592452420373e-08,1.4156711785062726e-06
1821,4.043210211079895e-08,9.526197928266811e-07
1822,3.208197085768916e-08,1.067728106818322e-06
1823,6.621399961659336e-08,9.546675698857143e-07
1824,7.494790565942822e-08,1.2547458396738875e-06
1825,1.6730341556581152e-08,1.2494924064299084e-06
1826,2.290075862276808e-08,1.2736345809116756e-06
1827,3.3182182335167454e-08,9.604398698570549e-07
1828,6.604057034564903e-08,1.073159275222224e-06
1829,2.2290258194779256e-08,9.893445209741003e-07
1830,2.1917355041978226e-08,1.129265683630365e-06
1831,3.1182413096075834e-08,1.0789114419651469e-06
1832,1.2176972319366541e-08,1.2853470998663852e-06
1833,3.4750886612755494e-08,1.3680265595894525e-06
1834,4.293884248163238e-08,1.934114834512002e-06
1835,1.3613558280667348e-08,1.1730349811500673e-06
1836,3.6964125260663394e-08,1.213767486518691e-06
1837,2.6439985201243132e-08,1.1508351391853466e-06
1838,2.335499815764308e-08,1.1828990977846843e-06
1839,1.747868827450816e-08,1.1871525060769272e-06
1840,1.9746034474188434e-08,1.1019561760861052e-06
1841,3.146068650039524e-08,1.1345109811600196e-06
1842,2.951636579595629e-08,1.0773473206882045e-06
1843,1.0041748876865597e-08,1.141215207667301e-06
1844,2.0856533611279815e-08,1.1333879150754456e-06
1845,1.1718478298838875e-08,1.1216257860269252e-06
1846,2.5759806732139623e-08,1.1785111091455747e-06
1847,8.089835468183537e-09,9.901958328839555e-07
1848,2.494018680465615e-08,1.041856158678911e-06
1849,3.603148401865042e-08,8.086135689922003e-07
1850,1.2220192857625989e-08,8.119639289816405e-07
1851,1.1608989769484879e-08,8.964719793169706e-07
1852,3.7761164861649377e-08,8.945489646805527e-07
1853,1.7318602996141408e-08,1.1221259867966182e-06
1854,2.701745477340367e-08,1.0214676571251857e-06
1855,2.4411910715116392e-08,1.0396290299752309e-06
1856,1.9673318418789165e-08,7.574227645079645e-07
1857,4.3445430475408386e-08,1.0363443756489232e-06
1858,3.523446845399292e-08,1.0492041475629321e-06
1859,2.698851964133553e-08,1.0556075480394611e-06
1860,2.1055045262841077e-08,9.305415051841237e-07
1861,2.5937799741360124e-08,9.163117695720757e-07
1862,2.078273733663316e-08,9.429037568509102e-07
1863,2.0477945228414285e-08,9.599661403569826e-07
1864,2.8288894005079612e-08,9.167519969821569e-07
1865,1.5532586550293104e-08,8.679421128476861e-07
1866,3.795178094012641e-08,8.913802709287211e-07
1867,2.232293283555009e-08,8.754471725325175e-07
1868,2.5193357400254968e-08,8.012475518626161e-07
1869,1.4162205408396744e-08,9.547279837818223e-07
1870,2.5229814681893004e-08,8.687083763447845e-07
1871,1.805600113868877e-08,6.255873650218291e-07
1872,1.7537283514279522e-08,1.0183719734158103e-06
1873,1.7359413795325906e-08,7.344827288591205e-07
1874,1.911874852877915e-08,8.412249634659474e-07
1875,1.0870901512305409e-08,8.15889755756416e-07
1876,2.5997864083748823e-08,7.805405246585906e-07
1877,1.9172929910382663e-08,6.846591578124617e-07
1878,4.589707236490881e-08,8.207121258152483e-07
1879,2.260450293611882e-08,7.807717512520185e-07
1880,3.2731015897624616e-08,7.207241488060845e-07
1881,2.161477419271307e-08,7.620950626119338e-07
1882,1.6638463051776853e-08,6.622108319476183e-07
1883,1.7694149478941767e-08,6.843843891601864e-07
1884,2.442627877741188e-08,7.255264939942663e-07
1885,1.5469525438405185e-08,6.464972468478436e-07
1886,2.5168509276696227e-08,6.382476023247818e-07
1887,2.4157020495074732e-08,6.111073176384707e-07
1888,7.60873763994141e-09,5.827024960325389e-07
1889,1.9421923069806724e-08,6.735022051174155e-07
1890,2.4906667839275087e-08,5.433586558467596e-07
1891,1.7847816891070067e-08,5.335222397206962e-07
1892,1.2537024973724442e-08,6.193290360556603e-07
1893,1.4164357742263434e-08,6.066040363350567e-07
1894,1.7014155417882648e-08,6.742647009616576e-07
1895,1.444467478961542e-08,5.091747965479954e-07
1896,3.125425407368709e-08,5.867543890758498e-07
1897,1.5149455467877715e-08,5.593644729628977e-07
1898,1.0750874412934763e-08,6.144973134780685e-07
1899,8.844125432005967e-09,5.328585572783595e-07
1900,1.2458527431924438e-08,4.0230660758311387e-07
1901,1.0059729993461275e-08,4.823081560800802e-07
1902,8.838510812125833e-09,4.12954875628202e-07
1903,1.8900770726304472e-08,4.979003023208861e-07
1904,1.5048950530172078e-08,4.5953045102464785e-07
1905,2.0126960542654615e-08,4.856274227194035e-07
1906,9.773950260250075e-09,4.2233754982134997e-07
1907,1.645709940545359e-08,4.4999878490159517e-07
1908,2.7503779254089977e-08,4.822984145391729e-07
1909,1.4852655993990993e-08,4.961887114518504e-07
1910,9.085056040802897e-09,5.72892952632742e-07
1911,6.916486383623521e-09,4.804297901728205e-07
1912,1.9274858487072777e-08,5.417797979134775e-07
1913,1.6969566696278804e-08,5.679501953181898e-07
1914,2.6117300322425763e-08,4.922106668914239e-07
1915,2.1205371458776767e-08,4.547373988472714e-07
1916,5.493731025651982e-09,4.6586838919893125e-07
1917,6.57985488317081e-09,5.757373049419812e-07
1918,1.2635013924011673e-08,5.08846472513369e-07
1919,1.4732557174212957e-08,5.09194013176284e-07
1920,2.8017257402979112e-08,4.921950598202329e-07
