year,avez_VERB assez_ADV,avez_VERB chassé_VERB
1800,2.6096566330124915e-07,2.2009151834367913e-08
1801,2.905042890688492e-07,3.809892135109294e-08
1802,2.4840025503181096e-07,3.1329761895904085e-08
1803,3.842168325718376e-07,3.1205427575287104e-08
1804,3.6583392670763715e-07,9.145848167690929e-08
1805,3.411453235457884e-07,3.1271653710973624e-08
1806,3.9478865687669895e-07,8.645007376628655e-09
1807,2.0213381901612593e-07,3.131650672116848e-08
1808,2.5606635745134554e-07,1.3596443970698147e-08
1809,2.439753075123008e-07,2.9367397402779716e-08
1810,5.171680186322192e-07,6.552355102940055e-08
1811,2.2563691004506836e-07,2.5070768572277302e-08
1812,3.7340916492212273e-07,4.267533171287141e-08
1813,2.70319702622146e-07,2.8757416448144113e-09
1814,2.926409763404081e-07,5.664018942752591e-08
1815,2.8590568490471924e-07,3.776112933451259e-08
1816,3.383701709935849e-07,4.4034472068688046e-08
1817,2.6778221240419953e-07,3.113746771532533e-08
1818,2.777634335870971e-07,4.530047448270125e-08
1819,2.7637304356176173e-07,3.519356894798875e-08
1820,4.260066646111227e-07,3.9159388620646496e-08
1821,6.222599040484056e-07,1.311577904061778e-07
1822,4.822321102437854e-07,6.215881853677274e-08
1823,3.755421005280368e-07,3.656594316225892e-08
1824,3.9831863318795513e-07,9.347434826167955e-08
1825,3.0114614446574706e-07,2.3774695989686734e-08
1826,2.536699525990116e-07,2.9947145208097936e-08
1827,2.912658203513274e-07,5.2538457140371975e-08
1828,3.3754068340385857e-07,5.870272801189458e-08
1829,3.000611741299508e-07,4.886710414098161e-08
1830,3.1101771469366213e-07,4.4878394334091354e-08
1831,2.307498476739056e-07,2.6505050598757407e-08
1832,3.030713173757249e-07,4.19429042608499e-08
1833,3.3013341749210667e-07,4.170106393530659e-08
1834,2.202949360707862e-07,5.0406466556296436e-08
1835,3.6832238947681617e-07,8.773182003096736e-08
1836,3.299888362562342e-07,6.58633538819231e-08
1837,2.783156389796204e-07,5.5663129217009555e-08
1838,2.840472745901934e-07,7.258986300939796e-08
1839,3.544678008893243e-07,5.173691519644308e-08
1840,2.5287664584539016e-07,9.93671420701503e-08
1841,3.280900386926078e-07,5.264849889385914e-08
1842,2.978469808567752e-07,8.184083100104544e-08
1843,2.3686713745973975e-07,7.50177733266355e-08
1844,2.8101433713345614e-07,7.244901212288823e-08
1845,2.7566326821215625e-07,5.524425716885162e-08
1846,2.0256574373433978e-07,5.093416177714971e-08
1847,2.2651539666185272e-07,3.937053350000497e-08
1848,2.252662056889676e-07,4.746680914990975e-08
1849,1.835091865132199e-07,3.854530916669319e-08
1850,2.1860567755993543e-07,2.7834882843080777e-08
1851,2.0315732740527892e-07,3.8696633453128015e-08
1852,2.3763490730743797e-07,6.380334838240742e-08
1853,2.645565757575241e-07,7.405195390219887e-08
1854,3.704508628743497e-07,4.2084881357595805e-08
1855,2.573864605892595e-07,6.739810487488285e-08
1856,2.3763298884205142e-07,6.160855292591805e-08
1857,2.7434080607235956e-07,4.5886185517929334e-08
1858,3.303231324025546e-07,6.214968806261822e-08
1859,3.3710188063196256e-07,7.281808223069675e-08
1860,3.2040287578638527e-07,5.40107691904268e-08
1861,3.636008045759809e-07,6.130753149591328e-08
1862,2.493928548119584e-07,3.7047488632424574e-08
1863,3.046718575205887e-07,7.292146619874984e-08
1864,3.548098561623192e-07,5.9454627887589595e-08
1865,2.8711750132970337e-07,4.047886292823932e-08
1866,2.598237358597544e-07,6.373952743388145e-08
1867,2.717574432153924e-07,4.0278337110066786e-08
1868,2.277281936358122e-07,4.9398739321304674e-08
1869,2.4515264840374584e-07,6.202069613436834e-08
1870,1.9209063850667008e-07,6.250112960515253e-08
1871,2.2623108009156567e-07,3.611200227737754e-08
1872,2.2979889990892843e-07,4.233137573805834e-08
1873,2.2986256453805254e-07,3.412022664406322e-08
1874,2.2345038530602324e-07,4.958925714504403e-08
1875,3.0038017939659767e-07,4.3483606049221635e-08
1876,3.0048693133721827e-07,2.7207066821688386e-08
1877,2.6347316861574654e-07,4.329371350308975e-08
1878,1.9204301793251943e-07,4.891661831152305e-08
1879,2.4620581484668946e-07,5.315112971970848e-08
1880,2.0601287076260633e-07,4.941741593711413e-08
1881,2.440377784296288e-07,6.763332294212887e-08
1882,2.51573567311425e-07,3.261138559196297e-08
1883,1.6493474674916797e-07,2.0853818227806187e-08
1884,1.676830976293786e-07,3.895001299270007e-08
1885,2.4300047130054736e-07,3.222817923642651e-08
