year,belles_ADJ eaux_NOUN
1800,1.1004575384276905e-07
1801,2.0001934331048687e-07
1802,2.0811913259422e-07
1803,1.560271414291492e-07
1804,2.1999473176492756e-07
1805,2.3595885068061762e-07
1806,2.7664023605211696e-07
1807,1.195721210933698e-07
1808,1.9714843801921234e-07
1809,8.584316191218022e-08
1810,1.3338723192646285e-07
1811,1.9805906958936248e-07
1812,1.7070132685148565e-07
1813,1.00650957790549e-07
1814,1.1328037885505182e-07
1815,7.552225866902518e-08
1816,1.5296186006708012e-07
1817,3.0826092256575066e-07
1818,1.7524131123991538e-07
1819,1.635465878280229e-07
1820,1.6375743427943235e-07
1821,1.2129630988511053e-07
1822,1.6442010064565693e-07
1823,1.591112521737159e-07
1824,1.8947503122035414e-07
1825,1.9548083685094753e-07
1826,1.2859656806085695e-07
1827,1.2258972503786936e-07
1828,1.5226019911551703e-07
1829,1.4488666977285902e-07
1830,1.6594569274275273e-07
1831,2.47900175054383e-07
1832,1.1906372776593344e-07
1833,2.189305803312891e-07
1834,1.941582468134584e-07
1835,2.6546439357844065e-07
1836,1.8952515290493466e-07
1837,1.4333255649034982e-07
1838,2.3228756163007347e-07
1839,2.0694766078577231e-07
1840,1.4650284185790952e-07
1841,2.3049769026783906e-07
1842,1.448985216256915e-07
1843,1.9374668625005143e-07
1844,1.981370587600395e-07
1845,1.8526357337123045e-07
1846,1.399225766363088e-07
1847,1.2296550266910344e-07
1848,1.0861049304367043e-07
1849,1.2233945767547993e-07
1850,1.5003681141934067e-07
1851,1.3672810439402383e-07
1852,1.386746220077839e-07
1853,2.01851293013533e-07
1854,1.9639611537058954e-07
1855,2.0590915994489478e-07
1856,1.8171934357269492e-07
1857,1.723172715628607e-07
1858,2.1189616461469996e-07
1859,2.1539892713917652e-07
1860,1.6157459015175846e-07
1861,1.93354509292476e-07
1862,1.6355110687982233e-07
1863,1.2686336958722677e-07
1864,1.778844023192505e-07
1865,1.445001203137508e-07
1866,1.5472649295134033e-07
1867,1.5917221674044413e-07
1868,1.941370442182233e-07
1869,1.6359788901354477e-07
1870,1.353235461465374e-07
1871,1.2957836759142083e-07
1872,1.3666986831140093e-07
1873,1.1552988610219472e-07
1874,1.3741600923822261e-07
1875,1.6535213376300817e-07
1876,1.4752275490081956e-07
1877,1.8307055427158048e-07
1878,1.5943193432121916e-07
1879,1.4418007765470975e-07
1880,1.4696867367547384e-07
1881,1.2341338617716247e-07
1882,1.3443877833196893e-07
1883,1.750456846139059e-07
1884,1.3599495218841184e-07
1885,1.3858117142717674e-07
1886,1.503657074408693e-07
1887,1.8280988456353953e-07
1888,9.827952851537702e-08
1889,1.497367634328839e-07
1890,1.1142456912693888e-07
1891,1.0453720733494265e-07
1892,1.385341192872147e-07
1893,1.4964952299578727e-07
1894,1.3548309141242498e-07
1895,1.2458532694381574e-07
1896,1.0732592414797182e-07
1897,1.2003029326024262e-07
1898,9.732370642723254e-08
1899,1.1939569333208055e-07
1900,1.1524137732976669e-07
1901,9.892067964756279e-08
1902,8.642099658118241e-08
1903,1.0314420961776705e-07
1904,1.0802996541769971e-07
1905,8.463644718403884e-08
1906,9.105206544290922e-08
1907,1.0285686613542566e-07
1908,9.233411191189589e-08
1909,9.241652065838935e-08
1910,1.0474535372395621e-07
1911,7.661338941034046e-08
1912,9.793711797101423e-08
1913,9.757501118201617e-08
1914,7.835190274363413e-08
1915,8.010918151057922e-08
1916,7.361599330124591e-08
1917,8.334482259897413e-08
1918,1.1371512442792664e-07
1919,9.57616208552281e-08
1920,7.420786829470671e-08
1921,9.39020665668977e-08
1922,1.0624226831623673e-07
1923,1.1783702547063513e-07
1924,1.3794037556635885e-07
1925,1.2097996204829542e-07
1926,8.025219955243301e-08
1927,9.476841000832792e-08
1928,9.940655587570291e-08
1929,7.464072382390441e-08
1930,6.19712636762415e-08
1931,7.299428261831054e-08
1932,1.0082773371777876e-07
1933,7.11181087353907e-08
1934,8.147474517272713e-08
1935,5.2660450222674626e-08
1936,7.517323297179246e-08
1937,8.184226629737168e-08
1938,5.4453899167583586e-08
1939,6.882322622914216e-08
1940,3.0429394115571995e-08
1941,5.312704587367989e-08
1942,5.158160121254696e-08
1943,6.387117679196308e-08
1944,5.462416652335378e-08
1945,5.8819608739213436e-08
1946,5.0115975369635635e-08
1947,8.821444197337769e-08
1948,4.4574740343250596e-08
1949,6.773736060949886e-08
1950,5.317680873417885e-08
1951,5.650542789226165e-08
1952,4.323369751091377e-08
1953,3.232148060305917e-08
1954,4.9839933069506515e-08
1955,3.754243138587299e-08
1956,4.273359266449006e-08
1957,2.8272120644601273e-08
1958,3.9706769427994004e-08
1959,3.8753739772801055e-08
1960,4.982999968206059e-08
1961,3.543561177821175e-08
1962,6.088278325933061e-08
1963,4.138274078968607e-08
1964,4.502136619066732e-08
1965,3.6115487489496445e-08
1966,4.375868911665748e-08
1967,4.930335606445624e-08
1968,5.61426993783698e-08
1969,5.0867686951505675e-08
1970,5.7484061954937715e-08
1971,6.936836882687203e-08
1972,6.258779450263319e-08
1973,4.3002987837326145e-08
1974,3.8816445169231883e-08
1975,2.9128548462153958e-08
1976,4.170874490228016e-08
1977,3.467301112891619e-08
1978,5.524750079644036e-08
1979,3.979342011461995e-08
1980,4.8892296433677984e-08
1981,4.1116070548241623e-08
1982,2.296775925003658e-08
1983,2.7787390166622572e-08
1984,4.5232265932781957e-08
1985,3.609334697785016e-08
1986,3.7165808208783346e-08
1987,3.6053819485459826e-08
1988,3.7778288941581195e-08
1989,3.2928731741321826e-08
1990,1.8525414091641323e-08
1991,4.6891720728581276e-08
1992,4.187557678392295e-08
1993,3.323524566667402e-08
1994,3.586950114708998e-08
1995,2.277429267394382e-08
1996,3.096093337262573e-08
1997,2.972834600711849e-08
1998,3.194646680526603e-08
1999,3.701862993921168e-08
2000,3.3135236776615784e-08
2001,3.066848108801423e-08
2002,3.8992872930521116e-08
2003,3.541884652236149e-08
2004,3.920264290968589e-08
2005,3.1976622238971686e-08
2006,3.211954080484247e-08
2007,2.8760252845927425e-08
2008,5.747543596612559e-08
2009,3.766871969901331e-08
2010,2.5036102968556406e-08
2011,3.020937811015756e-08
2012,4.8340389469103684e-08
2013,4.3510350877795645e-08
2014,4.547434784285542e-08
2015,6.361571536217525e-08
2016,8.161079989577047e-08
2017,4.2765393004629004e-08
2018,6.247149286764397e-08
2019,6.096860971638307e-08
