year,deux_DET ans_NOUN,deux_DET chants_NOUN
1800,2.2854931899018993e-05,1.2262241444460642e-07
1801,2.3223673565553327e-05,8.096021031356315e-08
1802,2.085667028950411e-05,5.594600338554301e-08
1803,2.4190056933548476e-05,6.436119326380663e-08
1804,2.3707521563665068e-05,1.557266102736321e-07
1805,2.2211403233995952e-05,7.960057835099121e-08
1806,2.2747895627617254e-05,2.1900685620579452e-07
1807,2.258774270558206e-05,1.708173056336193e-07
1808,2.4518920781702036e-05,2.1074488643080258e-07
1809,2.840279148585978e-05,1.7846341737737248e-07
1810,2.6696166401052324e-05,1.474279796020994e-07
1811,3.280509974956658e-05,6.016983888912364e-08
1812,2.6082628437507083e-05,3.12063354268588e-07
1813,3.1233429126587e-05,3.623434601252029e-07
1814,2.4880776663849247e-05,6.922689976818219e-08
1815,2.3681622224103194e-05,1.3486118066730057e-07
1816,2.473346808073984e-05,1.4600903774919516e-07
1817,2.219478722054191e-05,1.9460918121438908e-07
1818,3.026667786798498e-05,1.0609847578280096e-07
1819,2.980895442306064e-05,9.419455182513303e-08
1820,2.7404452112023137e-05,1.7206397728841694e-07
1821,2.7602306658991438e-05,1.4397773506757972e-07
1822,2.485450363565178e-05,1.1228689800191205e-07
1823,2.552006230871484e-05,1.1859224358090614e-07
1824,2.455596381878422e-05,1.9031714426631652e-07
1825,2.67033868794897e-05,9.15766094067294e-08
1826,2.652524437962711e-05,8.719904798226707e-08
1827,2.612636023968662e-05,1.0968555130830282e-07
1828,2.5398102252438548e-05,1.6968756649804462e-07
1829,2.4340104346265434e-05,2.066135493805632e-07
1830,2.482610079823644e-05,1.8681935931574856e-07
1831,2.5248398742405698e-05,5.7687463472788636e-08
1832,2.9634691827595816e-05,9.741577855493233e-08
1833,2.7282920427751378e-05,1.2046974318113968e-07
1834,2.739498177106725e-05,8.121041883413227e-08
1835,2.686635718873731e-05,8.092504089063368e-08
1836,2.6696162990447192e-05,4.570110012647177e-08
1837,2.8485605525929714e-05,1.0158520657999048e-07
1838,2.7173224907528493e-05,6.627769977285425e-08
1839,2.7301010732116993e-05,1.1955422518639125e-07
1840,2.7588395710154145e-05,1.210240814231156e-07
1841,2.8096961841583834e-05,1.0914932557781754e-07
1842,2.8579222544067306e-05,7.982835636966001e-08
1843,2.9381567173913936e-05,1.0278024975551858e-07
1844,2.8093749506297172e-05,1.1196665028467834e-07
1845,2.7340885026205797e-05,5.747634901354104e-08
1846,2.7226357588006067e-05,1.0830827523733433e-07
1847,2.8703275120278704e-05,1.1865092108820363e-07
1848,2.6990914420821355e-05,6.194820806326717e-08
1849,2.7888368208550673e-05,6.535943786190046e-08
1850,3.013160096543288e-05,5.159636984330973e-08
1851,2.796025250972889e-05,4.514607043759611e-08
1852,2.756174353635288e-05,7.682443969869723e-08
1853,2.838459215581679e-05,8.241266158393046e-08
1854,2.7388944317863206e-05,1.2677421407092382e-07
1855,2.8526910000437056e-05,1.2418233552580205e-07
1856,2.7127954467687232e-05,1.0665009853028096e-07
1857,2.754928391368594e-05,1.0397614302881664e-07
1858,2.9581783110188553e-05,9.640542136812869e-08
1859,2.6821495794138173e-05,7.63825969141152e-08
1860,2.7797695111075882e-05,6.408057762197217e-08
1861,2.742851677339786e-05,8.205776885761296e-08
1862,2.87727953036665e-05,7.725756751009172e-08
1863,2.9034730005150777e-05,7.991393236039812e-08
1864,2.896159435294976e-05,6.472882452257522e-08
1865,2.775767245566385e-05,7.060266798974979e-08
1866,2.68596435262225e-05,6.957826781395227e-08
1867,2.9428904326778138e-05,8.249779526181555e-08
1868,2.9551809120675898e-05,9.237564668751475e-08
1869,2.830145899679337e-05,7.618289554756075e-08
1870,3.1369834005090524e-05,1.1525437892956347e-07
1871,2.669208049610461e-05,1.5931766128574054e-08
1872,2.914938397680089e-05,1.1187577853011277e-07
1873,2.9397268122011155e-05,7.362785581221942e-08
1874,2.866796694434015e-05,7.886483793795307e-08
1875,3.0118691029201727e-05,6.293680038238492e-08
1876,2.98455477150128e-05,9.250402732696728e-08
