year,jolis_ADJ chants_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,1.1371510844071508e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,1.0028307073639553e-08
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.622322720606917e-08
1817,4.670620334934483e-09
1818,1.1921176934492905e-08
1819,6.210630232317271e-09
1820,0.0
1821,0.0
1822,3.0076847679083585e-09
1823,0.0
1824,4.210556348027694e-09
1825,3.522177216552791e-09
1826,8.80798456392995e-09
1827,0.0
1828,6.420610709767516e-09
1829,0.0
1830,2.0873671680021744e-09
1831,0.0
1832,6.764984572527055e-09
1833,6.950177322551099e-09
1834,5.600718555598405e-09
1835,7.563087933704082e-09
1836,2.016224964762614e-09
1837,1.461157062010443e-08
1838,0.0
1839,1.3982950353153e-09
1840,7.64362617644565e-09
1841,6.420548537278137e-10
1842,7.379091560011375e-09
1843,7.088293507706567e-09
1844,5.488561272137815e-10
1845,2.7901139176833567e-09
1846,2.9272506640865004e-09
1847,2.6966118227278457e-09
1848,4.02261068899179e-09
1849,5.02764896381791e-09
1850,7.467895635215882e-09
1851,3.2247193804124663e-09
1852,5.859490670445666e-09
1853,8.360704129017904e-09
1854,2.0782657816909023e-09
1855,2.653468555990912e-09
1856,3.1063134287023786e-09
1857,1.1715622250108026e-08
1858,5.872411001917044e-09
1859,3.5645213447565993e-09
1860,6.865775947773045e-09
1861,4.715963619617014e-09
1862,1.1294965851504912e-08
1863,1.9978482868054925e-08
1864,8.151037178549814e-09
1865,1.3179164426446732e-08
1866,6.3252967308358166e-09
1867,5.82337378318698e-09
1868,7.409810987013543e-09
1869,9.767038733343725e-09
1870,9.747882501187632e-09
1871,3.18635318130589e-09
1872,1.8142017887967654e-09
1873,3.591602570907071e-09
1874,3.5847653734322193e-09
1875,2.2886108563824337e-09
1876,4.232210137899983e-09
1877,9.27722432209066e-09
1878,6.6429977074733415e-09
1879,2.443730107160036e-09
1880,1.0910338410496934e-08
1881,0.0
1882,2.6621540527571597e-09
1883,1.0110942305630033e-08
1884,7.922036360241691e-09
1885,1.2891271383708158e-09
1886,9.680196200179125e-09
1887,3.264462256069578e-09
1888,6.340614699951175e-10
1889,4.385595886446936e-09
1890,1.3108772956016423e-09
1891,5.736798147637501e-09
1892,7.522214851007902e-09
1893,8.621783287310336e-09
1894,9.452309157609307e-09
1895,1.8055843487019274e-09
1896,1.7691086373616827e-09
1897,5.2440420894583895e-09
1898,7.921697076085366e-09
1899,0.0
1900,7.26747462209687e-09
1901,1.676621730339889e-09
1902,9.820567692386817e-10
1903,3.7801539676252105e-09
1904,3.7622376325430196e-09
1905,6.708986699521802e-09
1906,3.600929110447737e-09
1907,6.1714118260169926e-09
1908,1.4734167219643268e-09
1909,5.5009836685826485e-09
1910,3.206490406526541e-09
1911,3.7242617878519013e-09
1912,5.730363294986773e-09
1913,2.121195885607108e-09
