year,aux_ADP ans_NOUN,aux_ADP chants_NOUN
1800,2.5153315874604232e-08,3.741555723024703e-07
1801,3.0955374485941434e-08,3.1193492766590225e-07
1802,6.713520406265161e-08,3.312003400424146e-07
1803,9.751696339321825e-09,4.42727005278698e-07
1804,4.943701892301533e-09,3.707776428107934e-07
1805,1.1371510844071508e-08,2.786020214529117e-07
1806,7.204172636221529e-08,4.5530370851309954e-07
1807,3.131650672116848e-08,5.893197077000423e-07
1808,2.4926813502190726e-08,3.9882900892962425e-07
1809,9.036122072814123e-09,4.224387133433538e-07
1810,1.4040760554223652e-08,6.552354889777234e-07
1811,8.774768645025688e-08,3.1338458761354104e-07
1812,2.1337665856435706e-08,4.107500699568334e-07
1813,1.7254450312975678e-08,5.636453579427325e-07
1814,1.8880061958270744e-08,4.499748378350432e-07
1815,4.315557688983063e-08,3.425473860119155e-07
1816,2.3176038865813098e-08,3.2214694023480206e-07
1817,1.5568734412774177e-08,3.689790037952889e-07
1818,2.6226590676969863e-08,3.433299085031649e-07
1819,4.968504008218133e-08,2.774081462320055e-07
1820,1.6613073583471305e-08,4.877123629398739e-07
1821,1.0847637454958203e-08,4.891298264197985e-07
1822,4.110502516141423e-08,3.829785129028096e-07
1823,1.1859224047228167e-08,4.3187342346762136e-07
1824,7.831634540877985e-08,5.675830188067721e-07
1825,2.0252518551089338e-08,5.838009018432899e-07
1826,1.6735169472426037e-08,5.372870490738535e-07
1827,1.198245475064752e-08,3.8712547956176735e-07
1828,1.9261833017480967e-08,4.109191085177599e-07
1829,1.971830487779158e-08,4.380893010580422e-07
1830,2.5048405571936883e-08,4.978370782282582e-07
1831,9.354723218280014e-09,6.142935031760999e-07
1832,2.3000947924067816e-08,5.723176861316404e-07
1833,2.5483982257767934e-08,7.888451112325612e-07
1834,2.7070139907436896e-08,6.198128708057027e-07
1835,1.663879345414898e-08,4.832813331745456e-07
1836,2.3522625958172227e-08,6.196531439073283e-07
1837,1.2524203452102256e-08,5.044470814397073e-07
1838,2.398621434807069e-08,4.494259240317433e-07
1839,1.6080393461237463e-08,5.117759753758833e-07
1840,3.3759350870354865e-08,5.261362563402372e-07
1841,8.988767952189392e-09,6.048156588889242e-07
1842,1.609983613093391e-08,5.245863547997942e-07
1843,3.366939316240547e-08,5.587938068374321e-07
1844,1.1525978838022866e-08,5.03849919120114e-07
1845,1.0044410247989077e-08,4.7264531799484644e-07
1846,1.4050803187615202e-08,6.59802307678703e-07
1847,1.887628364727334e-08,6.159061687327494e-07
1848,2.091757700384278e-08,5.358117443066135e-07
1849,4.77626631578687e-08,7.072226342330623e-07
1850,2.2403687793826066e-08,5.023857259089937e-07
1851,1.805842853030981e-08,5.056360263822057e-07
1852,2.148479971708639e-08,6.647266950210451e-07
1853,1.4332636411040767e-08,5.756942149659494e-07
1854,1.8184825922862302e-08,5.860709499927452e-07
1855,1.963566731433275e-08,5.832323921595162e-07
1856,1.4496130074093116e-08,5.192721062030614e-07
1857,2.147864064383498e-08,5.579564943958282e-07
1858,2.936205545367443e-08,4.86431391166775e-07
1859,2.4442432078330967e-08,6.136069012896428e-07
1860,2.8378539518314483e-08,5.355305203735838e-07
1861,2.640939672504672e-08,5.678020604804601e-07
1862,2.93669109308059e-08,5.480317251116418e-07
1863,2.697095197179422e-08,5.678883772120003e-07
1864,2.828889567041415e-08,5.863952301510267e-07
1865,1.7415323849689912e-08,5.00337560715991e-07
1866,2.0435575009969398e-08,5.400830478397012e-07
1867,2.329349513274792e-08,5.143980121857794e-07
1868,1.6795571822214583e-08,4.6187821167720244e-07
1869,1.611561362135916e-08,4.878635477822968e-07
1870,1.0321287380321564e-08,4.472558066126453e-07
1871,1.8056001360733376e-08,3.5049886237814576e-07
1872,1.6932550250814415e-08,5.007197056983159e-07
1873,1.5563611732716254e-08,4.3877412014836636e-07
1874,2.569081986036892e-08,3.9492166736820877e-07
1875,3.71899266937703e-08,4.0165121184543295e-07
1876,3.5066884507273244e-08,5.320493254856729e-07
1877,1.5462039648639347e-08,4.1314569643180477e-07
1878,3.200716980344964e-08,3.8468995189333555e-07
1879,3.2990356002571275e-08,3.781672317515472e-07
1880,2.1820677709172287e-08,4.640102790887113e-07
1881,1.882577010947628e-08,5.975438743810457e-07
1882,1.6638462163598433e-08,3.8201910790292004e-07
1883,2.0221884611260066e-08,3.873754828020992e-07
1884,2.2445769687351458e-08,4.5023573225222435e-07
1885,2.9005360890899112e-08,3.5902192152548196e-07
1886,2.1296431229611557e-08,4.4657969766603856e-07
1887,2.219834327465975e-08,4.3809084404600185e-07
1888,2.5362458577760094e-08,3.9692247177924855e-07
1889,1.8795410117178335e-08,4.2540279121539015e-07
1890,1.966316010015845e-08,3.6770108335915097e-07
