year,les_DET eaux_NOUN,les_DET chaux_NOUN
1800,6.798626600357238e-05,3.332814362266845e-07
1801,5.570538405663683e-05,4.262316828373969e-07
1802,6.57835489619174e-05,1.4993528907325526e-07
1803,6.877285841255798e-05,1.0726865684596021e-07
1804,6.552382501467946e-05,3.2381246128920793e-07
1805,6.032870669514523e-05,2.1321582721611776e-07
1806,5.051277844358992e-05,1.5849180368121552e-07
1807,5.490352896231343e-05,1.5088861893275407e-07
1808,5.092548053653445e-05,3.965629407076676e-07
1809,5.907139029659447e-05,3.682219775758e-07
1810,5.2238649459468434e-05,1.4274773141309538e-07
1811,5.3568709972751094e-05,1.579458377420906e-07
1812,5.794242997581023e-05,2.3738152776786592e-07
1813,4.849650667893002e-05,1.4378708090845294e-07
1814,4.401571959533612e-05,1.227204058373843e-07
1815,5.169229098100914e-05,3.77611297786018e-08
1816,5.242188080956112e-05,5.3304887615013286e-08
1817,4.4865978225061554e-05,3.144884210826149e-07
1818,5.1160924613213865e-05,8.678617136048672e-07
1819,4.7381931381096365e-05,9.522966237796027e-08
1820,3.839281180262333e-05,4.4499303264444734e-07
1821,3.80860542463779e-05,1.4792232505556058e-07
1822,4.8787653213366866e-05,3.549068026131863e-07
1823,3.7892198633926455e-05,4.644862903191438e-07
1824,4.0812080214891466e-05,5.052667688687507e-07
1825,4.547130765786278e-05,1.4256011837687765e-06
1826,4.5599815848618164e-05,3.029946675781048e-07
1827,4.266859968993231e-05,2.2766664886653132e-07
1828,4.227238491694152e-05,1.407030985944857e-06
1829,4.606024685926968e-05,5.984076771881064e-07
1830,4.466026530280942e-05,4.112113396459449e-07
1831,4.8145645450858865e-05,1.637076587623909e-07
1832,4.258693161318661e-05,5.4119877579417164e-08
1833,5.670186237693997e-05,2.9190744321727635e-07
1834,4.441183205017296e-05,7.252930311896222e-07
1835,5.218606474954868e-05,2.964730541066274e-07
1836,4.175064509581716e-05,3.454465474228563e-07
1837,4.713414455181919e-05,1.892546358517322e-07
1838,4.5350988330028486e-05,2.4806796616871907e-07
1839,4.228024772601202e-05,4.928990122721189e-07
1840,4.3711350599551224e-05,2.8663598566902593e-07
1841,4.367578185338061e-05,5.341896440747007e-07
1842,3.850678172057087e-05,1.0196562749698046e-07
1843,4.213517991047411e-05,1.730724959458918e-07
1844,4.2020973978651455e-05,2.3436156182388146e-07
1845,4.3623432247841265e-05,2.455300243120462e-07
1846,4.385255556371703e-05,1.8148953806473855e-07
1847,3.948055450564425e-05,2.8961610709643537e-07
1848,4.3825539705721894e-05,2.928460744455741e-07
1849,4.31640432907443e-05,1.3742240700942432e-07
1850,3.981474583270028e-05,4.053030639994404e-07
1851,4.472298724067514e-05,2.6442698564110856e-07
1852,4.753544521918229e-05,3.593821062963798e-07
1853,4.7953417379176244e-05,3.541355613201347e-07
1854,4.652613529287919e-05,3.434334048257881e-07
1855,4.722218659480859e-05,4.4737478432921307e-07
1856,4.4654809698840836e-05,7.926276879288707e-07
1857,4.9362308800482424e-05,2.52374016185275e-07
1858,4.278541041458084e-05,2.344070859638947e-07
1859,4.789290733242524e-05,2.495164910243375e-07
1860,4.40297640125209e-05,2.485410946218014e-07
1861,4.351419875092688e-05,2.3155381578821022e-07
1862,4.55652457276301e-05,4.1972093720032966e-07
1863,4.365847894405306e-05,3.82088487627108e-07
1864,4.697203030445962e-05,3.43302526850664e-07
1865,4.387814396977774e-05,2.5275755022313717e-07
1866,4.269624105290859e-05,1.5083400362048138e-07
1867,4.248054256095202e-05,1.8003930790655431e-07
1868,4.514106421993347e-05,1.659797707054267e-07
1869,4.1994847379100975e-05,2.891043311414876e-07
1870,4.5666539335798007e-05,6.54828379964556e-07
1871,3.967434554397187e-05,2.9420660752066397e-07
1872,4.122652535443194e-05,2.3947463168028094e-07
1873,5.254634288576199e-05,1.4785431401431737e-07
1874,4.5013302042207215e-05,1.7804335250559689e-07
1875,4.4648510083789006e-05,1.664964347503073e-07
1876,4.7088783503568266e-05,2.0798291155976756e-07
1877,4.5572196768262074e-05,2.826460934191033e-07
1878,4.281834753783187e-05,1.7754921416424096e-07
1879,4.3463571500979015e-05,1.0935691974189865e-07
1880,4.3280670297463075e-05,1.572372296809732e-07
1881,4.544889452517964e-05,1.708264404376436e-07
1882,4.390091635286808e-05,7.25436979376326e-08
1883,4.515736327448394e-05,3.4503590529144645e-07
1884,4.18494773839484e-05,1.1288901990980094e-07
1885,4.54339970019646e-05,2.165733568038064e-07
1886,4.119181630812818e-05,2.6201063618724874e-07
1887,4.354466136646806e-05,2.3373549501437552e-07
1888,4.3317812469467754e-05,1.7246472516774247e-07
1889,4.0451482846037834e-05,1.0462778199382683e-07
1890,3.9446917980967555e-05,2.15639313960736e-07
1891,3.9439210240743705e-05,4.59581268152931e-07
1892,4.236260747347842e-05,1.466831858198958e-07
1893,3.896676594195014e-05,1.7120398215775268e-07
1894,4.26444084951072e-05,2.7663758062068666e-07
1895,3.66443339316902e-05,2.624115837956964e-07
1896,3.8180903629836394e-05,1.0260830152208911e-07
1897,3.748616313714592e-05,2.4297395107009123e-07
1898,3.740908141480759e-05,2.3029504747640317e-07
1899,3.880802159983432e-05,1.4316427865423975e-07
1900,3.731225183400966e-05,1.1991332704575086e-07
1901,3.640392628767586e-05,1.4307171858352064e-07
1902,3.319499182907748e-05,1.5418291920976657e-07
1903,4.051623409395688e-05,1.765872101877619e-07
1904,3.729345053216093e-05,1.3974024959395592e-07
1905,3.7917643567197956e-05,1.2901897544770335e-07
1906,3.8181166473805206e-05,2.433199273177422e-07
1907,3.486436298771878e-05,1.9491376773705937e-07
1908,3.541946421137254e-05,1.159087832380834e-07
1909,3.316763081784302e-05,2.2994111548158003e-07
1910,3.7492958654183894e-05,2.1376602432621183e-07
1911,3.4798970318661304e-05,1.53226777377391e-07
1912,3.2226522080236464e-05,9.37695820435458e-08
1913,3.2867930485736e-05,5.6211690913077206e-08
1914,3.4012092100965674e-05,1.5603413577869318e-07
1915,3.099282935181691e-05,2.1676601968945164e-07
1916,2.7767514666265924e-05,1.0108464909563963e-07
1917,2.699824017327046e-05,7.566832760375064e-08
1918,2.5906372229655972e-05,1.4013378812904875e-07
1919,2.6458752699909382e-05,1.6850362122289297e-07
1920,2.6571718080958817e-05,2.907736953439155e-07
1921,2.8126698907726677e-05,1.2495033324677607e-07
1922,2.753593116722186e-05,1.8223500491965083e-07
1923,2.7326511826686328e-05,1.1465224192264145e-07
1924,2.9176324687796296e-05,1.1344629224918634e-07
1925,3.1013762281872914e-05,9.458433347653283e-08
1926,2.7692580943039502e-05,1.4378518287117004e-07
1927,2.8461742203944596e-05,9.142364443270878e-08
1928,2.8264598768146243e-05,2.0795395339057166e-07
1929,2.93516281999473e-05,1.4593932351480987e-07
1930,2.7889168450201396e-05,1.523022490346193e-07
1931,2.7529109047463862e-05,6.158892684737793e-08
1932,2.97343190140964e-05,1.0411559969725204e-07
1933,2.7928768531637616e-05,8.488290226260631e-08
1934,2.6996897076969617e-05,1.1142869915659048e-07
1935,2.5725827072164975e-05,1.1250186826572417e-07
1936,2.6657397938834038e-05,8.487300062753889e-08
1937,2.650808050930209e-05,1.1080183881517769e-07
1938,2.7645727413982968e-05,9.853563154305078e-08
1939,2.8066112690794398e-05,1.5141110143446213e-07
1940,3.060943595301069e-05,2.0286263091584544e-07
1941,2.800090442178771e-05,8.85450770482521e-08
1942,2.8175689749332378e-05,1.3350531524736198e-07
1943,3.047816267098824e-05,9.580676274545397e-08
1944,2.251479622827901e-05,3.213186161588055e-08
1945,2.1432122707665258e-05,4.7927090740529366e-08
1946,2.188536768699123e-05,8.352662472788097e-08
1947,2.1142856098776974e-05,7.152522574216391e-08
