year,meilleures_ADJ eaux_NOUN,meilleures_ADJ chaux_NOUN
1800,9.432493186523061e-08,0.0
1801,6.667310969987739e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,3.5106107132421016e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,3.695740957709859e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,4.078933102391602e-08,0.0
1809,4.2921579401777876e-08,2.259030518203531e-09
1810,4.44624070894406e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,7.468182872116813e-08,0.0
1813,3.738464116054274e-08,0.0
1814,1.195737269199526e-07,0.0
1815,8.091670444798638e-09,0.0
1816,3.7081662185300956e-08,0.0
1817,4.670620334934483e-09,0.0
1818,9.536941902865692e-09,8.344824387052086e-09
1819,1.9666995143552413e-08,2.070210003424222e-09
1820,3.678609061807947e-08,5.933240565525466e-09
1821,8.875339574387908e-09,4.339054981983281e-08
1822,2.606660132187244e-08,0.0
1823,2.668325471688604e-08,8.894418535021487e-09
1824,1.3473780313688621e-08,7.57900142644985e-09
1825,1.4088708866211164e-08,1.937197424695114e-08
1826,3.2589543508265706e-08,9.688783109140786e-09
1827,4.977327350275118e-08,0.0
1828,9.172301140836225e-09,5.503380862137419e-09
1829,1.8860987438529264e-08,6.001223074036943e-09
1830,3.235419043789989e-08,1.982998831806526e-08
1831,1.4032085715598441e-08,3.1182412207897414e-09
1832,2.976593194148336e-08,2.0294953273491956e-08
1833,2.4325620628928846e-08,1.2741991461950875e-08
1834,1.5868701908061666e-08,1.0267983796552471e-08
1835,3.100866052818674e-08,1.0588323107185715e-08
1836,1.344150035720304e-08,0.0
1837,2.0873672568200163e-08,8.349468672008697e-09
1838,2.4617431648721322e-08,5.049729523420865e-09
1839,3.076248944466897e-08,6.9914749545318955e-09
1840,4.58617570586739e-08,1.2102408852854296e-08
1841,1.7977535904378783e-08,5.1364388298225094e-09
1842,1.0062397137744483e-08,2.683306021822318e-09
1843,2.3627643841450663e-08,1.7720733769266417e-09
1844,3.732221642849254e-08,1.6465684371524958e-09
1845,2.622707206967334e-08,5.580227946389016e-10
1846,3.5127008857216424e-08,3.5127007969038004e-09
1847,2.1572894581822766e-08,4.314578916364553e-09
1848,4.183515400768556e-08,1.448139919091318e-08
1849,1.9272654583346593e-08,6.703531951757213e-09
1850,4.2091777174846357e-08,3.394498016007219e-09
1851,1.7413483988093503e-08,6.449438760824933e-09
1852,5.859491025717034e-08,7.161600201754936e-09
1853,3.822036376277538e-08,1.0152284346531815e-08
1854,5.0397943596180994e-08,1.2469595134234623e-08
1855,2.2289135870323662e-08,1.0613874223963649e-09
1856,5.4360487666826884e-08,9.318940286107136e-09
1857,5.027954230740761e-08,1.4644527812635033e-09
1858,3.572383411309943e-08,6.8511463169329545e-09
1859,4.226503946824778e-08,1.0693564256314403e-08
1860,4.3025529805618135e-08,3.661747127736703e-09
1861,3.1125360067107977e-08,7.073945429425521e-09
1862,5.0149647989883306e-08,1.2198563048571032e-08
1863,8.64069431560921e-08,7.991393324857654e-09
1864,3.787835112234461e-08,6.233146443435089e-09
1865,4.283228349777346e-08,4.23615986733239e-09
1866,3.2113046444237625e-08,9.731225825149181e-10
1867,2.6690463172940326e-08,8.73506067478047e-09
1868,1.6301584082611953e-08,7.409810987013543e-09
1869,3.076617005604021e-08,8.30198221279943e-09
1870,3.899153000475053e-08,8.027668307875047e-09
1871,3.292564798584863e-08,7.434824311758348e-09
