year,ses_DET airs_NOUN,ses_DET chers_ADJ
1800,3.018397904952508e-07,3.2384893566828055e-07
1801,4.143257559263702e-07,3.024101786763822e-07
1802,2.4616241489638924e-07,3.065840985527757e-07
1803,4.21273259831878e-07,3.1985564419301227e-07
1804,7.464990119387949e-07,5.759412444739098e-07
1805,3.098736751638853e-07,4.0368864429041196e-07
1806,5.503988118604752e-07,4.0631533693158417e-07
1807,2.4768510797912313e-07,3.245528716888657e-07
1808,3.512414803452657e-07,3.036539277800898e-07
1809,2.868968715930009e-07,5.17317971571174e-07
1810,4.422839516848853e-07,5.663106605879875e-07
1811,5.114436874009698e-07,4.1617474266786303e-07
1812,6.134579066952028e-07,1.8137015445063298e-07
1813,7.620715223310981e-07,5.4639093960418e-07
1814,2.832009533548785e-07,5.129083961996628e-07
1815,1.7531953111493692e-07,3.6142796822069556e-07
1816,3.569109896517375e-07,4.751088056309527e-07
1817,3.3939841515007174e-07,3.954458476229661e-07
1818,3.6598014663269396e-07,3.8147768299801044e-07
1819,3.0949639295840825e-07,4.6786745766524973e-07
1820,3.548077778248171e-07,4.82965792691914e-07
1821,2.504818059634317e-07,4.1615481982670843e-07
1822,4.661911532366503e-07,3.7195033542047895e-07
1823,5.297120146963152e-07,3.9827228581756913e-07
1824,2.5937027459121964e-07,3.797921808157412e-07
1825,3.2492083512636327e-07,4.543608553841949e-07
1826,2.1051082210732375e-07,3.8667051871499325e-07
1827,2.2213627737244224e-07,2.8481375125011255e-07
1828,2.5315550056248526e-07,2.40314278698861e-07
1829,2.9491725683783443e-07,3.009184684765742e-07
1830,4.039055490068222e-07,3.997308042347214e-07
1831,2.8064169654840043e-07,4.349946438608754e-07
1832,2.273034804822771e-07,4.897848704388252e-07
1833,2.8495726667188137e-07,3.9036829291294595e-07
1834,2.174945723520949e-07,4.2658807331008575e-07
1835,2.8134687113379186e-07,4.2882709294644883e-07
1836,3.461186359743351e-07,5.484132099553563e-07
1837,2.1847777098571441e-07,4.675702798273562e-07
1838,2.3165634388533363e-07,3.818857994275504e-07
1839,2.929428202236295e-07,5.369452988901458e-07
1840,2.3695241679888568e-07,5.516150565210154e-07
1841,3.017657759230019e-07,5.412522661174535e-07
1842,3.474881253850981e-07,6.077688015082572e-07
1843,3.904468250937043e-07,5.44026534043951e-07
1844,3.534633599144854e-07,5.159247393748956e-07
1845,2.812434836130251e-07,5.43514179884852e-07
1846,2.8452876144058337e-07,6.030136368018191e-07
1847,1.9361672976003774e-07,5.986478308628307e-07
1848,2.856053598065955e-07,4.521414729286022e-07
1849,3.0584863974780774e-07,4.1729485467101313e-07
1850,2.0910107512150944e-07,5.736701451652948e-07
1851,2.1154158513780885e-07,5.191798178039164e-07
1852,2.975319315368097e-07,5.872511730231622e-07
1853,3.3084501804836464e-07,5.530008935217268e-07
1854,3.205725054300501e-07,6.432232548814198e-07
1855,4.24554979616687e-07,6.283413611640754e-07
1856,3.6861587382475136e-07,6.626801942744009e-07
1857,3.6220798094177553e-07,6.882927920948134e-07
1858,3.9002598661852517e-07,6.537951424689936e-07
1859,3.890420323671151e-07,7.638260060005564e-07
1860,3.972995692436143e-07,6.499601230558483e-07
1861,3.2634468283276874e-07,6.243935946059764e-07
1862,3.117410560804501e-07,7.233296210884532e-07
1863,3.6310894024893514e-07,7.232211096663832e-07
1864,3.605635559011944e-07,6.5304195473459e-07
1865,3.652511124663249e-07,7.700397639531786e-07
1866,3.14805156165221e-07,6.456668257825982e-07
1867,3.799751358002368e-07,6.371741463340186e-07
1868,3.5171902101893693e-07,7.696323689465601e-07
1869,3.731008497709354e-07,7.691542585064326e-07
1870,3.635387013645186e-07,6.015017053329075e-07
1871,3.2500803737178785e-07,6.032828911983756e-07
1872,3.2837051566758646e-07,5.853824704971089e-07
