year,vos_DET chantiers_NOUN
1800,0.0
1801,0.0
1802,6.713520406265161e-09
1803,3.900678446910888e-09
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,1.7081731584767113e-08
1808,1.3596443970698147e-08
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,6.293354282149721e-09
1815,0.0
1816,0.0
1817,6.227493631882908e-09
1818,0.0
1819,1.035105001712111e-09
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,5.894778887238772e-09
1825,0.0
1826,0.0
1827,0.0
1828,1.0089530988466322e-08
1829,6.001223074036943e-09
1830,0.0
1831,1.5591206103948707e-09
1832,0.0
1833,1.1583628500844156e-09
1834,9.334530925997342e-10
1835,4.5378527602224494e-09
1836,6.048674894287842e-09
1837,2.7831563720326358e-09
1838,3.787297142565649e-09
1839,1.3982950353153e-09
1840,1.0191501864653674e-08
1841,2.5682194149112547e-09
1842,6.708265054555795e-09
1843,1.1813822142769936e-09
1844,2.195424508855126e-09
1845,0.0
1846,4.0981511517657054e-09
1847,6.47186837454683e-09
1848,9.65426583121598e-09
1849,1.4245005175439474e-08
1850,1.2220192857625989e-08
1851,8.384270167027807e-09
1852,1.3021090872200602e-09
1853,2.9859659189668264e-09
1854,4.1565315633818045e-09
1855,2.1227748447927297e-09
1856,2.5885946719483854e-09
1857,1.4644527812635033e-09
1858,8.808616946964776e-09
1859,6.619825576592575e-09
1860,9.15436793036406e-09
1861,1.2733101684148096e-08
1862,4.066187830886747e-09
1863,6.493007020935693e-09
1864,1.4384183844029508e-09
1865,4.706844358715045e-10
1866,3.4059290943133647e-09
1867,1.94112459439566e-09
1868,1.1855697756857353e-08
1869,2.441759683335931e-09
1870,2.8670243956696595e-09
1871,2.1242354542039266e-09
1872,1.4513614310374123e-08
1873,2.9930022904522957e-09
1874,7.766991494406739e-09
1875,5.721527140956084e-10
1876,3.02300739996042e-09
1877,1.2369631985365004e-09
1878,0.0
1879,6.10932526790009e-10
1880,6.417846254436199e-10
1881,0.0
1882,5.324308105514319e-09
1883,1.0110942305630033e-08
1884,7.2618666635548834e-09
1885,9.023890079618013e-09
1886,7.098810428374236e-09
1887,4.570247291724172e-09
1888,1.268122939990235e-09
1889,1.8795409673089125e-09
1890,6.554386366985909e-09
1891,7.649063604731055e-09
1892,5.641661360300532e-09
1893,4.926733243593162e-09
1894,1.2603078580752936e-09
1895,6.018614495673091e-09
1896,1.4152869098893461e-08
1897,6.409385022720926e-09
1898,4.52668391659472e-09
1899,7.185851913504848e-09
1900,4.15284251431558e-09
1901,5.58873880507349e-09
1902,6.874397495693074e-09
1903,3.7801539676252105e-09
1904,1.0749250378694342e-09
1905,1.186974607492175e-08
1906,8.230695236477459e-09
1907,5.65712765521198e-09
1908,5.40252820258047e-09
1909,1.1552065082298668e-08
1910,1.5498036631811374e-08
1911,4.788336838146279e-09
1912,3.646594803896619e-09
1913,4.242391771214216e-09
