year,premiers_ADJ arts_NOUN,premiers_ADJ chars_NOUN
1800,7.860410988769218e-08,6.288328968651058e-09
1801,1.6906396815841163e-07,0.0
1802,7.161088433349505e-08,2.2378401354217203e-09
1803,4.4857802805609026e-08,5.851017448321727e-09
1804,9.640219000850436e-08,0.0
1805,8.52863308864471e-08,2.842877711017877e-09
1806,1.152667650217154e-07,2.881669125542885e-09
1807,1.2526602333196024e-07,0.0
1808,2.1527702642742952e-07,0.0
1809,9.939734613162443e-08,0.0
1810,4.212228077449254e-08,0.0
1811,3.008491944456182e-08,0.0
1812,8.00162425207418e-09,0.0
1813,2.5881675469463516e-08,0.0
1814,4.090680150170556e-08,0.0
1815,2.1038343334112142e-07,0.0
1816,5.5622493277951435e-08,4.6352077731626196e-09
1817,1.6502858102285245e-07,0.0
1818,5.841377026527539e-08,0.0
1819,5.5895669093253275e-08,2.070210003424222e-09
1820,9.730514616279606e-08,0.0
1821,4.437669787193954e-08,0.0
1822,6.51665033046811e-08,4.010246357211145e-09
1823,9.882686990980716e-08,0.0
1824,3.621078548121659e-08,0.0
1825,8.629334047327575e-08,0.0
1826,6.165588928297439e-08,0.0
1827,4.516463647519231e-08,0.0
1828,6.604057034564903e-08,0.0
1829,5.486832677092934e-08,8.57317605795771e-10
1830,6.992679857376061e-08,1.0436835840010872e-09
1831,4.677361786775691e-08,0.0
1832,4.6001897402447867e-08,0.0
1833,4.9809603552830595e-08,8.108539617524002e-09
1834,5.507373290747353e-08,9.334531370086552e-09
1835,5.8235777089521434e-08,7.563087933704082e-10
1836,6.85516496901073e-08,1.3441500135158435e-09
1837,5.287997240088771e-08,1.3915781860163179e-09
1838,2.0830134062066463e-08,1.2624323808552163e-09
1839,5.383435919270596e-08,3.4957374772659477e-09
1840,3.4396318682183846e-08,3.1848443882154243e-09
1841,5.072233477676491e-08,1.1556987367100646e-08
1842,2.0124794275488966e-08,4.695785538189057e-09
1843,3.898561473647533e-08,2.953455480181333e-09
1844,6.586273570974299e-08,4.390849017710252e-09
1845,5.0780073479472776e-08,1.0602432709561072e-08
1846,3.7468808500307205e-08,3.5127007969038004e-09
1847,2.8584086209093584e-08,5.393223645455691e-10
1848,4.183515400768556e-08,0.0
1849,1.9272654583346593e-08,1.6758829879393033e-09
1850,2.647708541303473e-08,3.394498016007219e-09
1851,1.5478653025979838e-08,2.0638204034639784e-08
1852,4.036538214791108e-08,3.2552727180501506e-09
1853,3.881755716861335e-08,2.388772735173461e-09
1854,2.909572138776184e-08,1.0391328908454511e-09
1855,5.890700194299825e-08,0.0
1856,3.054541508618058e-08,1.5531567143511893e-09
