year,quelques_DET ans_NOUN,quelques_DET chants_NOUN
1800,3.458580977167003e-08,1.226224086714467e-07
1801,2.857419123536431e-08,7.857902772911984e-08
1802,6.713520406265161e-09,8.727576528144709e-08
1803,3.900678446910888e-09,5.85101758154849e-08
1804,4.2021465418429216e-08,8.898663272915996e-08
1805,1.9900143755080535e-08,8.528633355098236e-08
1806,2.5935023018064385e-08,1.7578182109900808e-07
1807,3.131650672116848e-08,6.832692633906845e-08
1808,6.798221985349073e-09,3.6257184365950934e-08
1809,5.421673243688474e-08,4.969867006821005e-08
1810,3.978215445954447e-08,1.4040760731859336e-07
1811,1.504245972228091e-08,5.766276700569506e-08
1812,2.1337665856435706e-08,1.2802598803318688e-07
1813,1.1502966579257645e-08,1.2653262615458516e-07
1814,1.2586708564299443e-08,7.237357380063258e-08
1815,2.966945888971395e-08,4.315557688983063e-08
1816,2.5493642752394408e-08,7.879853569647821e-08
1817,1.5568734412774177e-08,8.095741854674543e-08
1818,1.907388358368678e-08,1.0133000682976956e-07
1819,1.9666995143552413e-08,7.763287168671695e-08
1820,1.7799721696576398e-08,1.020517412797517e-07
1821,7.297501347647284e-08,1.3411623767112246e-07
1822,6.115625694746996e-08,5.413832582235045e-08
1823,2.371844876059015e-08,8.993245081967416e-08
1824,1.0021123841852386e-07,1.2379035485565737e-07
1825,2.2894151241459326e-08,9.68598712347557e-08
1826,2.201995996653494e-08,7.751026287472484e-08
1827,2.1199728195142598e-08,1.207462769770018e-07
1828,1.742737265608696e-08,7.337841134713585e-08
1829,1.2859763920403111e-08,1.2602568588704344e-07
1830,2.817945699007396e-08,1.53421486182026e-07
1831,9.510635434750725e-08,1.8397623247068395e-07
1832,1.488296597074168e-08,2.0700853475830172e-07
1833,9.26690302271993e-09,1.4479535970224333e-07
1834,1.866906118586087e-08,1.7082192371731253e-07
1835,3.025235173481633e-08,9.605121675804185e-08
1836,3.22596004909137e-08,2.0767117908659927e-07
1837,5.427154992077021e-08,1.085430985092728e-07
1838,3.1560809521380406e-08,1.1172526459546361e-07
1839,1.1186360504567006e-08,1.398294982024595e-07
1840,4.458782187910515e-08,1.5733131508710585e-07
1841,2.6966304744746594e-08,1.5922960017178411e-07
1842,3.287049921141261e-08,1.5697339872389193e-07
1843,4.193906921745594e-08,1.3881240334967515e-07
1844,2.3600813969792966e-08,9.550096891075555e-08
1845,1.729870580113868e-08,1.1048851167316798e-07
1846,1.5807153586067102e-08,1.5924243346177036e-07
1847,1.833696128272777e-08,1.1379702069547193e-07
1848,2.413566457803995e-08,9.010648405194388e-08
1849,3.2679717376637996e-08,1.022288618202083e-07
1850,2.7834883731259197e-08,1.1473403471740085e-07
1851,2.063820425668439e-08,1.451123683438027e-07
1852,2.018269107395554e-08,1.334661781093871e-07
1853,2.6276500530997282e-08,1.3078530436416713e-07
1854,3.013485427860729e-08,1.4080250654302517e-07
1855,4.139410947345823e-08,1.4434868234047826e-07
1856,2.381507024917795e-08,1.2891200817932713e-07
1857,3.465871334373816e-08,1.400993046019039e-07
1858,2.88726889063895e-08,9.0043640987858e-08
1859,1.680417205385254e-08,1.206845059442685e-07
1860,3.7532908503390416e-08,1.2358396295208962e-07
1861,2.4994607272788016e-08,9.101809794742621e-08
1862,2.5752522003763545e-08,1.4276836513005264e-07
1863,2.0977407033662132e-08,1.1038111935590678e-07
1864,1.7740493518658695e-08,1.4144447924024917e-07
1865,1.3179164426446732e-08,1.0260921046167937e-07
1866,2.5787747603978062e-08,7.590355988185138e-08
1867,3.445495977416613e-08,1.1452635106934395e-07
1868,2.519335706718806e-08,9.830349068096211e-08
1869,2.7347706321734222e-08,1.1476269978771825e-07
1870,2.6376624884250077e-08,1.1066713945240281e-07
1871,2.2304472935275044e-08,1.2001930471683409e-07
1872,1.9956219454719815e-08,1.4392668123974772e-07
1873,2.454261771589472e-08,1.1373408237425053e-07
1874,1.1351757034372412e-08,8.96191394428314e-08
1875,2.6891177895560503e-08,1.024153375439596e-07
1876,2.176565305767042e-08,1.0278224849002982e-07
1877,2.906863472151855e-08,1.0390490690070919e-07
1878,1.8721174777081018e-08,1.5460066915551351e-07
1879,5.8649524126153096e-08,1.2035371099727854e-07
1880,2.9522092326317306e-08,1.2964048989871912e-07
1881,2.5798277791810875e-08,1.2620238898364278e-07
1882,4.725323421439498e-08,8.319231525888426e-08
1883,4.297150424381613e-08,8.783881466634114e-08
1884,2.706695845233753e-08,1.1552969514383449e-07
1885,3.351730470946279e-08,8.701608011918438e-08
1886,3.872078235822585e-08,8.389503136640997e-08
1887,3.3950408484528793e-08,8.618180813435572e-08
1888,2.53624587998047e-08,8.24279879907408e-08
1889,4.510898587994916e-08,6.95430199537661e-08
1890,2.3595791986963377e-08,7.537544333136026e-08
1891,2.7409146508006188e-08,9.370103803973961e-08
1892,2.820830591332424e-08,7.647585298364845e-08
1893,1.4780200174868696e-08,5.788911439097433e-08
1894,3.3398158905129094e-08,6.238523897472703e-08
1895,3.5509824414248214e-08,8.847363019981458e-08
1896,3.125425407368709e-08,8.60966217763881e-08
1897,7.982597294287075e-08,7.399926227336096e-08
1898,1.4145887239358501e-08,8.317781852174022e-08
1899,5.638130140539488e-08,7.02002473929042e-08
1900,3.529916137168243e-08,8.617147884137921e-08
1901,3.688567695725453e-08,5.58873880507349e-08
1902,3.240787266323153e-08,4.468358216769275e-08
1903,5.4542223182352245e-08,5.886240073138538e-08
1904,3.117282609821359e-08,6.879520153546537e-08
1905,3.354493349760901e-08,4.799506081454297e-08
1906,4.784091645060329e-08,5.247068024516466e-08
1907,3.188562835987341e-08,3.857132568896304e-08
1908,5.991894691526056e-08,5.942780934020675e-08
