year,grandes_ADJ eaux_NOUN
1800,3.7729972746092244e-07
1801,3.833704056432907e-07
1802,4.520437073551875e-07
1803,4.368759789485921e-07
1804,7.316678534152743e-07
1805,7.590483619424049e-07
1806,7.809323392393708e-07
1807,3.188589801084163e-07
1808,4.056272473462741e-07
1809,8.85539975570282e-07
1810,5.218482783675427e-07
1811,4.437525831235689e-07
1812,6.881397212055163e-07
1813,1.4378707646756084e-07
1814,3.0522767247020965e-07
1815,2.6972236688571627e-07
1816,5.608601441053906e-07
1817,2.3820163619348023e-07
1818,6.485120707111491e-07
1819,3.343389209931047e-07
1820,4.782191922458878e-07
1821,4.062933101067756e-07
1822,1.3945631280876114e-06
1823,4.002488083187927e-07
1824,4.092660788046487e-07
1825,4.0328927752852906e-07
1826,3.9635929738324194e-07
1827,3.594736597278825e-07
1828,4.246775517913193e-07
1829,4.6037956735744956e-07
1830,4.769634074364149e-07
1831,3.398882881811005e-07
1832,6.41320525573974e-07
1833,6.069821552046051e-07
1834,5.6380565638392e-07
1835,6.042907330083835e-07
1836,6.599776725124684e-07
1837,6.255144171518623e-07
1838,6.779262062828195e-07
1839,6.222413162504381e-07
1840,6.554409424097685e-07
1841,6.542538812936982e-07
1842,5.863023488927865e-07
1843,6.556671130475422e-07
1844,4.6543000498111553e-07
1845,5.50768504581356e-07
1846,6.598023105652828e-07
1847,6.051196805856307e-07
1848,6.613172445213422e-07
1849,6.150490321488178e-07
1850,5.417618922365364e-07
1851,6.746112717337382e-07
1852,5.781364507129183e-07
1853,5.679307113481968e-07
1854,5.211251339898304e-07
1855,4.961986057594459e-07
1856,6.699282857347555e-07
1857,6.033544972527949e-07
1858,6.772847391811609e-07
1859,5.540284728766665e-07
1860,5.872527217842816e-07
1861,5.960978007313322e-07
1862,5.44417332548619e-07
1863,7.456969104424616e-07
1864,6.563982788421185e-07
1865,5.935330591455568e-07
1866,6.2815064438837e-07
1867,5.847638000489042e-07
1868,6.224241195784685e-07
1869,4.4684200650735306e-07
1870,4.828069108953059e-07
1871,4.4821367839453785e-07
1872,6.02314979891716e-07
1873,5.830368121628737e-07
1874,4.82150954272953e-07
1875,5.424007933907404e-07
1876,4.6312472967713347e-07
1877,5.31894196242888e-07
1878,5.652586834159479e-07
1879,4.863022695644759e-07
1880,5.808150711494875e-07
1881,6.888837527085911e-07
1882,4.132994066985418e-07
1883,5.750598286446973e-07
1884,4.918264169262443e-07
1885,4.731096459043016e-07
1886,3.6010328891000754e-07
1887,4.1458671784511125e-07
1888,3.9184999578445456e-07
1889,4.360535212910577e-07
1890,4.5225266331883063e-07
1891,3.9902618809151136e-07
1892,4.325273466054824e-07
1893,3.9229112769323393e-07
1894,4.467791459017434e-07
1895,3.635243284172418e-07
1896,4.670446926979821e-07
1897,4.0845261262134613e-07
1898,3.5477885940160547e-07
1899,3.2999644439257736e-07
1900,4.002301965400079e-07
1901,3.6662127600450845e-07
1902,3.5648661134146664e-07
1903,5.357018633134203e-07
1904,3.4935063997210136e-07
1905,3.736389517783323e-07
1906,4.3468358690290643e-07
1907,4.5308449436731735e-07
1908,3.3544787214623284e-07
1909,3.2510811642794124e-07
1910,4.4303010326984804e-07
1911,3.4529229009372386e-07
1912,3.011045421885683e-07
1913,3.2454296494677237e-07
1914,5.364091850701413e-07
1915,2.568206047826038e-07
1916,3.439075726419105e-07
1917,2.588076029041986e-07
1918,2.3661934722696287e-07
1919,3.8488805031988704e-07
1920,2.8925925832368193e-07
1921,3.309290503850093e-07
1922,3.364338461153693e-07
1923,3.5669586928577246e-07
1924,3.403388713074662e-07
1925,2.584571687780368e-07
1926,2.864557560045e-07
1927,2.8653509254183973e-07
1928,2.3309123609038807e-07
1929,2.4063277326291654e-07
1930,2.2267639110395976e-07
1931,2.2696659751630932e-07
1932,2.6522078666602056e-07
1933,2.649722952163813e-07
1934,2.480187077935625e-07
1935,2.4175933788228576e-07
1936,2.837183110671049e-07
1937,2.530814722234709e-07
1938,2.2818777445365868e-07
1939,1.8964622050532398e-07
1940,2.3329203369115703e-07
1941,2.6563523292111313e-07
1942,2.2756588213823647e-07
1943,2.4967822320753896e-07
1944,2.8276036800889415e-07
1945,2.091363882072983e-07
1946,2.436193220489713e-07
1947,2.562987146959017e-07
1948,2.9027939518755375e-07
1949,1.6492574239634905e-07
1950,2.467403792394407e-07
1951,2.1855873688636507e-07
1952,2.2038640778987428e-07
1953,2.240956078480849e-07
1954,2.521314268477681e-07
1955,2.1305329944709683e-07
1956,2.1802853744645745e-07
1957,2.1645842718243102e-07
1958,1.7619878711627734e-07
1959,2.534494552008937e-07
1960,2.429212546672943e-07
1961,2.69588579904223e-07
1962,2.276762423036871e-07
1963,2.07560314713362e-07
1964,2.524846935969549e-07
1965,2.1122087190406091e-07
1966,2.1990126608528726e-07
1967,2.0855320048696058e-07
1968,2.0166457659342996e-07
1969,2.1618767220843438e-07
1970,1.6877321362684938e-07
1971,1.9680062113280883e-07
1972,1.9751065849504812e-07
1973,1.8579496519066652e-07
1974,1.6876714514779678e-07
1975,1.6791751411560085e-07
1976,1.685490429448322e-07
1977,1.704266763269402e-07
1978,2.471286002503348e-07
1979,1.8784834132645756e-07
1980,1.8476739604977865e-07
1981,1.8533859957869936e-07
1982,2.1415883022513071e-07
1983,2.0019551261185597e-07
1984,1.704908454414067e-07
1985,1.6181851236751754e-07
1986,2.0740919648432055e-07
1987,2.2304482172330609e-07
1988,1.8529351386575854e-07
1989,1.8604734730587325e-07
1990,1.716325037648403e-07
1991,1.56501119619179e-07
1992,1.7521622108773727e-07
1993,1.7614679848065862e-07
1994,1.6932514679268706e-07
1995,1.7568741306206448e-07
1996,1.9750941060436844e-07
1997,1.7597262491619858e-07
1998,1.7022221321383313e-07
1999,2.0063183470142576e-07
2000,1.8334830187427542e-07
2001,2.2037495384097383e-07
2002,2.0679365242415315e-07
2003,1.7709422905909378e-07
2004,1.4623906352539962e-07
2005,1.92760479578169e-07
2006,2.3924940251163207e-07
2007,1.957294877286131e-07
2008,1.9797094985563035e-07
2009,2.1313820752766333e-07
2010,2.465820010399966e-07
2011,2.6117729134966794e-07
2012,2.648508576896802e-07
2013,2.3233411994283415e-07
2014,2.719799088168884e-07
2015,3.2672322447524493e-07
2016,3.504707350998615e-07
2017,5.212346945171475e-07
2018,2.7363545740399786e-07
2019,2.510171963621133e-07
