year,nos_DET arts_NOUN,nos_DET chars_NOUN
1800,6.38265364116819e-07,2.5153315874604232e-08
1801,9.45329502677339e-07,7.143547975374531e-09
1802,8.682819725436275e-07,1.5664880947952042e-08
1803,6.221581958509859e-07,2.145373123596528e-08
1804,6.822308380449726e-07,1.730295728918918e-07
1805,6.026900787325928e-07,5.401467717547348e-08
1806,9.394241118343416e-07,2.305335300434308e-08
1807,1.207109001200024e-06,2.8469551160981155e-09
1808,1.2644693296870457e-06,4.5321479902327155e-09
1809,8.539135638585549e-07,4.518061147429364e-08
1810,8.424456368061328e-07,3.7442028144596406e-08
1811,8.549131917945374e-07,2.2563691359778204e-08
1812,7.734904023948275e-07,6.668020802180763e-08
1813,9.576219959228638e-07,2.8757416004054903e-08
1814,6.765356008742174e-07,1.5733386149463513e-08
1815,7.902865224451716e-07,2.4275012222574333e-08
1816,5.608601494344612e-07,9.270415546325239e-09
1817,8.329272809248778e-07,3.269434145636296e-08
1818,8.845513477240274e-07,2.5034472717067047e-08
1819,9.885252687524826e-07,3.8298885840504227e-08
1820,8.342135995320632e-07,7.119888678630559e-09
1821,6.784703837636741e-07,4.832129185672329e-08
1822,6.747239353899204e-07,2.7069162911175226e-08
1823,6.858584820079727e-07,2.075364324838347e-08
1824,7.107419053298258e-07,2.77896727851612e-08
1825,1.0804278349763052e-06,2.201360693732113e-08
1826,9.644742933190287e-07,8.807984341885344e-10
1827,9.005275920515032e-07,7.373818444733615e-09
1828,6.136269755652179e-07,2.7516904310687096e-08
1829,6.455601662125332e-07,1.971830521085849e-08
1830,6.387343500779963e-07,3.131050907434485e-08
1831,5.987022868580993e-07,2.8064171431196883e-08
1832,7.63090292288382e-07,5.547287351692631e-08
1833,8.652970500122592e-07,2.548398292390175e-08
1834,6.608848170941428e-07,4.947301235347368e-08
1835,5.052142952877148e-07,1.4369867074037757e-08
1836,5.699196027886266e-07,2.150639949460853e-08
1837,5.350618107469174e-07,2.4352618477330168e-08
1838,5.396898217213675e-07,2.1461351362717096e-08
1839,3.873277290011856e-07,3.2859932108664225e-08
1840,4.758157468032209e-07,3.3122379505812205e-08
1841,7.300163495926881e-07,2.8892468417751616e-08
1842,4.0853334271062636e-07,3.4212153110502186e-08
1843,5.564310487926605e-07,4.252975926988256e-08
1844,4.4841545054907783e-07,2.3051957731556882e-08
1845,3.5434446576942946e-07,1.5066614622583074e-08
1846,4.2562225166520307e-07,1.6392603274795192e-08
1847,3.6296395222734645e-07,1.3483059113639229e-08
1848,3.588168988599705e-07,2.8962797382625638e-08
1849,3.9383250038937945e-07,1.3407063681469822e-08
1850,3.5031218370562556e-07,3.055048125588655e-08
1851,3.173123972466385e-07,2.386292252687383e-08
1852,4.2904493113837816e-07,2.9297454018362146e-08
1853,3.881755823442745e-07,7.763511611358354e-09
1854,3.7408784853143473e-07,1.2469595134234623e-08
1855,3.1045581394550936e-07,1.1144567935161831e-08
1856,3.8259427448394945e-07,1.6567005267642543e-08
1857,3.5781460994144254e-07,2.2943092758964667e-08
1858,3.298337523105488e-07,1.9574704301916768e-08
1859,4.450559367707996e-07,8.147477359443656e-09
1860,3.5610490378701343e-07,1.2358396972445007e-08
1861,3.923681894946185e-07,2.2636625296446056e-08
1862,3.478849368854231e-07,2.936691068100572e-08
1863,4.2154599866339737e-07,3.596127085003786e-08
1864,4.176208174833107e-07,2.5891531363342324e-08
1865,2.767624440735972e-07,1.4591217789572397e-08
1866,2.899905249265089e-07,2.578774882522339e-08
1867,3.6541671555312405e-07,1.747012134956094e-08
1868,4.3372093450066984e-07,2.9145256874585357e-08
1869,2.7787222955932833e-07,2.3440892005233138e-08
1870,2.471375095680628e-07,5.79138919043487e-08
1871,2.3260377846057168e-07,2.549082545044712e-08
1872,2.6305926326131157e-07,7.377753785675623e-08
1873,2.3824298089891727e-07,2.3345418209697044e-08
1874,2.4973865864197364e-07,1.8521288946971026e-08
1875,2.7692190007755357e-07,3.089624678320746e-08
1876,2.714660718439177e-07,2.418405919968336e-08
1877,2.591437890941961e-07,2.8450154232473324e-08
1878,2.947075388171072e-07,1.992899334446463e-08
1879,2.1565918462140843e-07,1.0996785704264767e-08
1880,3.131909105391628e-07,4.043242984863582e-08
1881,2.2521199100067335e-07,1.1853263259808955e-08
1882,1.956683171044915e-07,1.5307385803353668e-08
1883,2.8437024701677416e-07,1.643028157971571e-08
1884,3.2678400785357553e-07,3.300848305798354e-08
1885,1.643637115300578e-07,1.2246707647989297e-08
1886,1.664993745098542e-07,1.3552274358286098e-08
1887,1.717107175336352e-07,2.0239665943222462e-08
1888,1.9148657059986363e-07,1.6485598663962264e-08
1889,2.2366537866247427e-07,2.380751951136517e-08
1890,1.8942176299718838e-07,1.1797895993481688e-08
1891,2.8301537646768793e-07,1.2748440525456317e-08
1892,1.748914986166028e-07,2.2566644553023707e-08
1893,1.8598417833581848e-07,1.6011883430255835e-08
1894,1.8022402148432093e-07,1.0712616793639995e-08
1895,1.8296587511734685e-07,4.213030146971164e-09
1896,2.4118848918064373e-07,1.7101383420481397e-08
1897,1.6606134012331353e-07,1.2236098356765979e-08
1898,2.1671498950937007e-07,1.0750873968845553e-08
1899,1.86279388358912e-07,3.2612712530522003e-08
1900,1.8428239145773517e-07,1.3496737838458728e-08
1901,1.7660414708409178e-07,1.0059730159994729e-08
1902,1.4976366036201227e-07,6.874397606715377e-09
1903,2.068284372658269e-07,1.8360748255119574e-08
1904,1.8649949851123893e-07,6.987012746151322e-09
1905,1.6411214098788207e-07,1.1353670226199597e-08
1906,2.0782504761562848e-07,1.7490227932626112e-08
1907,1.4708531348439635e-07,1.9542804263750213e-08
1908,2.2395934617946978e-07,2.062783477363439e-08
1909,2.123379602703146e-07,2.9705310655714356e-08
1910,1.945270775571828e-07,2.2979847136284093e-08
1911,2.2132757115933543e-07,9.576673676292558e-09
1912,2.443218523051627e-07,1.3544494747996794e-08
1913,2.7469486241216146e-07,7.954484182448596e-09
1914,2.1697449303914595e-07,1.4732836561837104e-08
1915,2.8038212462888623e-07,1.1780762143587253e-08
1916,2.9446398785992756e-07,3.076489463182952e-08
1917,3.476356527087887e-07,2.1932849314509895e-08
