year,énormes_ADJ champs_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,2.0051231786055723e-09
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,4.586150570418113e-09
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,1.0425265983826648e-08
1834,1.8669061851994684e-09
1835,9.832014313815307e-09
1836,4.032449929525228e-09
1837,6.957890930081589e-10
1838,6.312161904276081e-10
1839,1.3982950353153e-09
1840,1.9109065441114126e-09
1841,0.0
1842,0.0
1843,5.906911071384968e-10
1844,0.0
1845,0.0
1846,5.854501328173001e-10
1847,0.0
1848,0.0
1849,0.0
1850,8.146795238417326e-09
1851,0.0
1852,1.3021090872200602e-09
1853,0.0
1854,5.195664343204953e-09
1855,1.0613874223963649e-09
1856,9.318940286107136e-09
1857,4.881509085841174e-10
1858,0.0
1859,2.5460866748261424e-09
1860,0.0
1861,5.187560159214399e-09
1862,0.0
1863,6.493007020935693e-09
1864,4.794728170054441e-09
1865,1.882737743486018e-09
1866,0.0
1867,0.0
1868,5.433861360870651e-09
1869,6.8369265804335555e-09
1870,3.4404292748035914e-09
1871,6.37270636261178e-09
1872,1.0280476914203973e-08
1873,1.1972008939764578e-09
1874,1.7923826867161097e-09
1875,1.1443054281912168e-09
1876,6.650616057868319e-09
1877,6.184815992682502e-10
1878,6.039088673581716e-10
1879,3.665595160740054e-09
1880,2.5671385017744797e-09
1881,4.183504653809678e-09
1882,3.9932310791357395e-09
1883,0.0
1884,6.601696966868076e-09
1885,2.5782542767416317e-09
1886,1.2906927748801422e-09
1887,3.9173548849191775e-09
1888,0.0
1889,3.132568426877924e-09
1890,3.2771931834929546e-09
1891,2.5496880162734215e-09
1892,5.014809900671935e-09
1893,3.695050043717174e-09
1894,8.822155450616265e-09
1895,1.8055843487019274e-09
1896,0.0
1897,4.661370844871726e-09
1898,3.960848538042683e-09
1899,3.3165470370022376e-09
1900,3.633737311048435e-09
1901,0.0
1902,9.820567692386817e-10
1903,8.640352433531007e-09
1904,1.6123875568041512e-09
1905,8.773290538499623e-09
1906,5.144184522798412e-10
1907,0.0
1908,4.4202499438483756e-09
1909,8.251475058784763e-09
1910,4.809735720812114e-09
1911,5.3203743632934675e-09
1912,5.2094213387476884e-09
1913,4.242391771214216e-09
1914,6.696743715117748e-10
1915,1.1780761921542648e-09
1916,1.2086208478478966e-08
1917,5.483212106582869e-09
1918,1.1486376294556067e-09
1919,8.287063479883727e-09
1920,2.2716695191604686e-09
1921,7.572747762196741e-09
1922,7.377935484775833e-10
1923,2.1231896241147297e-09
1924,5.156649773851996e-09
1925,6.598906754362588e-09
1926,1.1146138456652466e-09
1927,5.574612327308159e-09
1928,1.1426041224282812e-09
1929,4.4561625500705304e-09
1930,4.201441416995522e-09
1931,1.1405356659111021e-09
1932,1.0959536611565568e-09
1933,1.1470662197865522e-09
1934,3.5944740517379614e-09
1935,2.393656828303392e-09
1936,6.0623572828433225e-09
1937,1.2591118148108649e-09
1938,6.482607339819424e-09
1939,1.3764645423464117e-08
1940,0.0
1941,0.0
1942,0.0
1943,5.806470415592457e-09
1944,0.0
1945,6.535512131478072e-09
1946,0.0
1947,1.1920870957027319e-09
1948,6.523132700664291e-09
1949,5.890204768377316e-09
1950,5.317680518146517e-09
1951,7.462981344019681e-09
1952,1.0544803918932644e-09
1953,2.1547654771580937e-09
1954,2.9317608341017376e-09
1955,7.508486277174597e-09
1956,3.488456634670456e-09
1957,1.7670075402875796e-09
1958,1.6544486891589827e-09
1959,4.650448914844674e-09
1960,4.152500121534786e-09
1961,0.0
1962,3.805173953708163e-09
1963,5.1728425987107585e-09
1964,1.8251904432275978e-09
1965,2.188817349590977e-09
1966,3.8773522170743036e-09
1967,3.944268467392931e-09
1968,2.6948494546985557e-09
1969,9.083515606356229e-10
1970,0.0
1971,1.541519245584766e-09
1972,5.130146862875051e-10
1973,2.7566018356850464e-09
1974,2.812785782069227e-09
1975,2.2845920710778955e-09
1976,1.142705374768127e-09
1977,5.876781838942691e-10
1978,2.970295565063452e-09
1979,5.851973350345929e-10
1980,5.685150683554241e-10
1981,2.5302198114474095e-09
1982,3.7245013739806154e-09
1983,1.2630632095778083e-09
1984,5.219107812592938e-09
1985,2.4062232206745193e-09
1986,2.997242676272549e-09
1987,1.8332451112712533e-09
1988,5.996553809062277e-10
1989,2.1952488715726304e-09
1990,0.0
1991,1.7584396161396398e-09
1992,1.1019888335184191e-09
1993,2.2156829704300662e-09
1994,3.164955852952289e-09
1995,1.626735190995987e-09
1996,4.804283193493575e-09
1997,2.876936688878118e-09
1998,4.291316191284977e-09
1999,3.1991407301035224e-09
2000,3.97622823555821e-09
2001,1.3143635069212678e-09
2002,3.504977197366088e-09
2003,8.333845835650777e-10
2004,3.0833537945085254e-09
2005,2.251874686720612e-09
2006,1.6471559671771274e-09
2007,2.3966877371606188e-09
2008,4.257439678578834e-10
2009,5.245011536203492e-09
2010,6.613310343794865e-09
2011,4.206369030868018e-09
2012,1.0212758416727752e-09
2013,1.3945624655065103e-09
2014,2.815078836704288e-09
2015,2.438232948875907e-09
2016,3.5212781579474495e-09
2017,3.2702947017071438e-09
2018,1.5488800242380307e-09
2019,1.02039510174734e-09
