year,fus_VERB aux_ADP
1800,1.5720821977538435e-08
1801,1.6668277424969347e-08
1802,2.2378401354217203e-09
1803,1.950339267864365e-08
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,2.0171682990621775e-08
1807,5.124519120158766e-08
1808,9.064295980465431e-09
1809,1.3554183553310395e-08
1810,1.4040760554223652e-08
1811,7.521229861140455e-09
1812,0.0
1813,0.0
1814,1.2586708564299443e-08
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,7.784366928831332e-09
1818,2.741870730460505e-08
1819,7.24573512300708e-09
1820,1.542642635854463e-08
1821,3.550135829755163e-08
1822,4.210758675071702e-08
1823,5.138997138942614e-08
1824,6.736890156844311e-09
1825,2.7296874094417944e-08
1826,2.554315514657901e-08
1827,2.3964910056406552e-08
1828,3.944089499441361e-08
1829,1.2002446148073886e-08
1830,2.0873670791843324e-08
1831,1.091384405071949e-08
1832,1.6235963684607668e-08
1833,4.054269808762001e-08
1834,1.5868701908061666e-08
1835,1.8907719834260206e-08
1836,2.2850549896702432e-08
1837,3.826840000442644e-08
1838,3.471689069556305e-08
1839,5.5931801412612e-09
1840,1.0191501864653674e-08
1841,8.346713542550788e-09
1842,1.7441490030023488e-08
1843,7.088293507706567e-09
1844,6.037417232818143e-09
1845,3.9061593959388574e-09
1846,1.1123552745573306e-08
1847,8.089835468183537e-09
1848,1.850401076808339e-08
1849,1.005529792763582e-08
1850,1.765138968323754e-08
1851,7.739326512989919e-09
1852,5.208436348880241e-09
1853,8.360704129017904e-09
1854,9.352196350675968e-09
1855,1.2736649068756378e-08
1856,1.0872097000458325e-08
1857,9.274867096564776e-09
1858,6.8511463169329545e-09
1859,1.018434669930457e-08
1860,4.027921818305913e-08
1861,4.8574428035408346e-08
1862,1.2650361647104091e-08
1863,6.493007020935693e-09
1864,6.712618905169165e-09
1865,5.177528628053096e-09
1866,7.298419202328432e-09
1867,2.038180824115443e-08
1868,2.5193358510477992e-08
1869,1.4162205630441349e-08
1870,9.747882501187632e-09
1871,8.496941816815706e-09
1872,7.256807155187062e-09
1873,1.5563610844537834e-08
1874,2.3898436563030145e-09
1875,4.577221712764867e-09
1876,3.02300739996042e-09
1877,6.80329748092845e-09
1878,1.872117572077059e-08
1879,1.1607718342077078e-08
1880,1.0268554007097919e-08
1881,1.743126887276958e-08
1882,1.1314154946262533e-08
1883,5.0554711528150165e-09
1884,3.4328824227713994e-08
1885,8.379326565943757e-09
1886,1.1616235084943582e-08
1887,7.1818169189441505e-09
1888,1.268122939990235e-09
1889,1.0024218788373673e-08
1890,1.3764211992395303e-08
1891,1.9760081571007504e-08
1892,1.0656471260972467e-08
1893,1.1085149687062312e-08
1894,1.0082462864602348e-08
1895,1.2639090662958097e-08
1896,2.6536630670648265e-08
1897,1.3984112534615178e-08
1898,1.0185038590293516e-08
1899,3.924580482816964e-08
1900,9.863001082521805e-09
1901,5.58873880507349e-09
1902,7.365425602756659e-09
1903,1.296052865029651e-08
1904,1.0749250378694342e-08
1905,9.805441791854719e-09
1906,5.658602919567102e-09
1907,5.142843484406967e-09
1908,1.276961114626829e-08
1909,1.4852655993990993e-08
1910,3.740905363258662e-09
1911,9.576673676292558e-09
1912,8.335073964360618e-09
1913,1.6439267724877027e-08
1914,1.2723813114234872e-08
1915,9.424609537234119e-09
1916,6.592477230782379e-09
1917,1.5352993543160665e-08
1918,3.44591288836682e-09
1919,1.012863304339362e-08
1920,1.2872794385998532e-08
1921,1.2116395886607734e-08
1922,8.115729421831475e-09
1923,1.4862327368803108e-08
1924,2.578324886925998e-09
1925,2.0896537833436923e-08
1926,1.671920735191179e-08
1927,1.8953683067479687e-08
1928,1.3711249025050165e-08
1929,2.1166771446701205e-08
1930,9.453243521306831e-09
1931,1.2545892325022123e-08
1932,6.575722188983946e-09
1933,6.882397318719313e-09
1934,8.38710612072191e-09
1935,9.574627313213568e-09
1936,1.2124714565686645e-09
1937,5.0364472592434595e-09
1938,9.075650453382877e-09
1939,4.588215141154706e-09
1940,0.0
1941,1.7709016475464523e-08
1942,1.517105907566929e-08
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,1.089252066321933e-08
1946,2.7842208538686464e-09
1947,9.536696765621855e-09
1948,2.174377566888097e-09
1949,2.945102384188658e-09
1950,1.808011518278363e-08
1951,6.396841278899501e-09
1952,4.2179215675730575e-09
1953,9.69644453618912e-09
1954,5.863521668203475e-09
1955,5.631364707880948e-09
1956,8.72114114258693e-09
1957,9.718541527092839e-09
1958,8.272243334772611e-09
1959,3.8753737996444215e-09
1960,1.038124963770315e-08
1961,4.86371165564492e-09
1962,6.341956293454132e-09
1963,5.1728425987107585e-09
1964,7.300761772910391e-09
1965,8.20806533852192e-09
1966,7.200797291773142e-09
1967,1.7256175155466735e-08
1968,9.431973424511852e-09
1969,9.537691525451919e-09
1970,9.657322941336588e-09
1971,1.0276794526475896e-08
1972,8.721249500354133e-09
1973,2.7566018356850464e-09
1974,1.0688586016271984e-08
1975,5.711480177694739e-09
1976,7.998937512354587e-09
1977,5.876781727920388e-09
1978,7.72276909088987e-09
1979,1.6970723493159312e-08
1980,8.527726080842513e-09
1981,7.590659656386833e-09
1982,7.449002747961231e-09
1983,1.2630632095778083e-09
1984,4.639206796497319e-09
1985,1.0828004270990732e-08
1986,5.994485352545098e-09
1987,3.0554083707556856e-09
1988,8.395175221664886e-09
1989,6.585746614717891e-09
1990,5.448650863826288e-09
1991,4.10302547493302e-09
1992,1.0468894195980738e-08
1993,4.985286850001103e-09
1994,4.747434001473039e-09
1995,8.133675954979935e-09
1996,1.3345230698291743e-08
1997,7.192341833217597e-09
1998,7.152193948201102e-09
1999,7.312321859131998e-09
2000,5.3016377954406835e-09
2001,6.133696661692056e-09
2002,7.009954394732176e-09
2003,8.333845613606172e-09
2004,7.047666006343434e-09
2005,7.205999352777326e-09
2006,5.7650457740976435e-09
2007,4.393927444112933e-09
2008,5.5346713878634546e-09
2009,9.53638501499654e-09
2010,8.502827775203059e-09
2011,1.4913490886669933e-08
2012,6.808505315092361e-09
2013,8.08846234434668e-09
2014,9.961047986450922e-09
2015,1.10828768384863e-08
2016,1.2013772199281902e-08
2017,7.2952728302766445e-09
2018,1.2649186587054828e-08
2019,6.632568272380013e-09
