year,nos_DET airs_NOUN,nos_DET chers_ADJ
1800,3.772997558826319e-08,5.879587874346726e-07
1801,6.191074786165984e-08,2.3097470602806425e-07
1802,4.475680270843441e-09,4.856113093865133e-07
1803,7.021221204439598e-08,2.5939512227068917e-07
1804,8.404293261321527e-08,1.1370514196862302e-07
1805,1.8762992382015398e-07,2.530161218317062e-07
1806,1.2391177506287931e-07,2.5358687238963284e-07
1807,3.131650672116848e-08,2.1352163415144787e-07
1808,7.478043961839376e-08,3.1725037175078796e-07
1809,1.8072244145628247e-08,7.341849084241403e-07
1810,6.786367467981336e-08,3.5803938036593763e-07
1811,4.763445815569867e-08,2.482005996284897e-07
1812,2.9339290108509886e-08,3.040617286842462e-07
1813,5.463909147351842e-08,2.9907713861021534e-07
1814,3.461344899591268e-08,2.297074331636395e-06
1815,8.091670444798638e-09,5.502335884699505e-07
1816,9.270415546325239e-09,4.959672281756866e-07
1817,8.095742032310227e-08,8.96759079438425e-07
1818,3.099506074022429e-08,3.0875849255096455e-07
1819,1.0040518816367694e-07,3.2295276142235707e-07
1820,5.93324074316115e-08,2.3139637672642266e-07
1821,5.719663320746804e-08,3.2148450657132344e-07
1822,5.413832582235045e-08,2.7971469762633205e-07
1823,2.8659792761231984e-08,4.7239243627927863e-07
1824,3.621078548121659e-08,4.4463474324629715e-07
1825,6.95629991387392e-08,3.6366478894933607e-07
1826,4.4039921931471326e-08,4.641807720418001e-07
1827,3.3182182335167454e-08,5.15245536902853e-07
1828,4.769596628761974e-08,6.163786707702457e-07
1829,3.172075158097698e-08,6.635638030161317e-07
1830,9.706257486641334e-08,4.0390554767455455e-07
1831,5.1450980143030733e-08,4.4123112630245487e-07
1832,3.111892965534935e-08,3.9507510884995156e-07
1833,3.8225973497674204e-08,3.324501284263093e-07
1834,8.681113605746305e-08,3.593794521972171e-07
1835,5.52105419160398e-08,5.316850746339696e-07
1836,3.1587525484155776e-08,5.591663878590225e-07
1837,1.8090515530033713e-08,4.028618825202557e-07
1838,4.86036455527028e-08,4.689936403678985e-07
1839,5.593180230079042e-08,3.726456335728656e-07
