year,aurais_VERB eu_VERB
1800,1.0690159513160324e-07
1801,5.714838380299625e-08
1802,2.9091921760482364e-08
1803,4.290746247193056e-08
1804,7.662737999680758e-08
1805,4.5486043376286034e-08
1806,8.645007198992971e-08
1807,8.540865792383556e-09
1808,4.985362878073829e-08
1809,1.581321384946932e-08
1810,8.190443878675069e-08
1811,4.512738271955641e-08
1812,1.1735716043403954e-07
1813,5.7514832008109806e-08
1814,1.0069366851439554e-07
1815,1.8880564667256294e-08
1816,5.3304887615013286e-08
1817,6.694555310104988e-08
1818,5.364529798157491e-08
1819,5.693077653745604e-08
1820,9.137190204455692e-08
1821,1.7060374091215635e-07
1822,8.521773509073682e-08
1823,8.400284201570685e-08
1824,6.736890156844311e-08
1825,5.987701001686219e-08
1826,8.543744911548856e-08
1827,9.032927295038462e-08
1828,7.521286704559316e-08
1829,7.372931065674493e-08
1830,1.231546633562175e-07
1831,7.795603096383275e-08
1832,6.629684889958298e-08
1833,1.2973663388038403e-07
1834,1.0454674281845655e-07
1835,1.013453783116347e-07
1836,8.199315004731034e-08
1837,8.697363540477454e-08
1838,9.341999884782126e-08
1839,7.341049013120937e-08
1840,9.108654808187566e-08
1841,8.603534951134861e-08
1842,8.720744659740376e-08
1843,1.0396163219184018e-07
1844,6.037417676907353e-08
1845,8.370341930685754e-08
1846,6.381406336686268e-08
1847,5.069630049092666e-08
1848,5.068489628001771e-08
1849,7.792856138166826e-08
1850,5.4311968256115506e-08
1851,9.41618054639548e-08
1852,6.510545347282459e-08
1853,6.210809289086683e-08
1854,6.130883889454708e-08
1855,6.209116065747367e-08
1856,6.316170697573398e-08
1857,6.492407322866711e-08
1858,8.417122643322728e-08
1859,6.517981887554924e-08
1860,9.383226995396399e-08
1861,1.1554111267741973e-07
1862,5.602302977081308e-08
1863,1.0938219929812476e-07
1864,9.781245324802512e-08
1865,1.1390563514623864e-07
1866,7.055138695477581e-08
1867,7.521857980918867e-08
1868,7.014621417056333e-08
1869,1.1720445769469734e-07
1870,7.626285025708057e-08
1871,8.072094459521395e-08
1872,8.466275147611668e-08
1873,8.14096594581315e-08
1874,1.0694550667267322e-07
1875,1.0470394329331612e-07
1876,8.827181829929032e-08
1877,1.0390490956524445e-07
1878,8.515115013096874e-08
1879,9.774920783911512e-08
1880,9.11334154807264e-08
1881,9.203709794292081e-08
1882,8.984770261122321e-08
1883,9.226234709558412e-08
1884,9.836528391815591e-08
1885,7.734762874633816e-08
1886,6.582533274013258e-08
1887,7.377684596576728e-08
1888,8.179392807505792e-08
1889,7.768769449967294e-08
1890,8.586246025288347e-08
