year,aux_ADP oies_NOUN,aux_ADP choix_NOUN
1800,1.2576657582030748e-07,1.1633408547595536e-07
1801,6.429192911383552e-08,1.500145003774378e-07
1802,7.608656460433849e-08,2.4840025503181096e-07
1803,1.09218993626925e-07,9.55666195068261e-08
1804,5.9324420931261557e-08,1.359518080334965e-07
1805,1.2224374756897305e-07,1.051864728651708e-07
1806,5.4751713385314815e-08,1.0662175498055149e-07
1807,3.131650672116848e-08,1.224190668835945e-07
1808,1.3369836260324064e-07,9.290903335568146e-08
1809,8.132509776714869e-08,8.132509776714869e-08
1810,3.042164786748458e-08,1.3806747745093162e-07
1811,4.011322829455821e-08,9.777599530025327e-08
1812,3.7340914360584065e-08,1.226915742336132e-07
1813,5.751483289628823e-09,1.782959770935122e-07
1814,5.349351184236184e-08,1.321604372606089e-07
1815,2.1038344355517324e-07,1.0519171667056071e-07
1816,1.274682119856152e-07,1.3905622608945123e-07
1817,9.496928132790572e-08,1.323342360137758e-07
1818,7.152706604784953e-08,2.0742848505506117e-07
1819,4.554461963124368e-08,2.2047736081276526e-07
1820,2.3732961373923445e-08,2.17156610915481e-07
1821,5.029359129160582e-08,1.962436186886407e-07
1822,5.6143449000956025e-08,9.524335098376469e-08
1823,1.1068609673259289e-07,1.353928098524193e-07
1824,3.115811697540494e-08,1.4905369027928828e-07
1825,6.163809995740621e-08,1.3296218526193115e-07
1826,2.554315425840059e-08,9.688783109140786e-08
1827,5.7147094167930845e-08,1.3272872934066982e-07
1828,6.970948840390179e-08,1.0272977135628025e-07
1829,9.85915242779356e-08,1.5345985104886495e-07
1830,4.0703659109908585e-08,1.7951357733636542e-07
1831,5.456921980950824e-08,2.0424479885150504e-07
1832,3.51779220197912e-08,2.733053747761005e-07
1833,6.486831871654886e-08,1.5174553880115127e-07
1834,4.947301501800894e-08,1.6802155755613057e-07
1835,4.689114518896531e-08,1.194967893525245e-07
1836,4.0324502126320994e-08,1.1626897844507766e-07
1837,6.818733133684418e-08,1.7533885454668052e-07
1838,3.9135405138779333e-08,1.3634269180329284e-07
1839,5.5931800524433584e-08,1.712911483764401e-07
1840,4.7772664935052944e-08,1.5287253063434036e-07
1841,6.099521199232072e-08,1.2327453191574023e-07
1842,3.7566284305512454e-08,1.348361280406607e-07
1843,8.978505050549757e-08,1.1223131224369354e-07
1844,6.641159000508878e-08,1.860622234062248e-07
1845,4.2409731282333496e-08,2.0758447760726995e-07
1846,2.4588905134237393e-08,1.33482629394166e-07
1847,7.496580600729885e-08,1.564034874945719e-07
1848,5.309846429213394e-08,1.8021296455117408e-07
1849,4.860060620615059e-08,1.8015741432009236e-07
1850,4.955967192188382e-08,1.7379829841956962e-07
1851,5.4175285590929434e-08,1.4511236656744586e-07
1852,4.948014531436229e-08,1.2695564066689258e-07
1853,3.642878354526147e-08,9.734248607173868e-08
1854,5.403491076805267e-08,1.0443285702876892e-07
1855,6.580602018857462e-08,1.0136250239156652e-07
1856,5.694908100650764e-08,1.0199062927540581e-07
1857,4.735063718896981e-08,7.859229356199648e-08
1858,3.229826228690058e-08,8.074565727156369e-08
1859,5.295860283638376e-08,8.809460183556439e-08
1860,4.485640303641958e-08,7.598125506547149e-08
1861,5.5648373908923077e-08,1.1318312687080834e-07
1862,7.906476362506965e-08,1.0888346935189475e-07
1863,6.742738156706451e-08,9.589672345100553e-08
1864,6.856460832427302e-08,1.2082713851668814e-07
1865,5.412871001420072e-08,1.0590400023602342e-07
1866,9.341976481280767e-08,1.0315099530089356e-07
1867,8.346835578265654e-08,6.648351558169452e-08
1868,7.409811075831385e-08,1.1015919199053315e-07
1869,5.86022301796163e-08,1.3869194503968174e-07
