year,mes_DET chantiers_NOUN
1800,0.0
1801,0.0
1802,1.7902721083373763e-08
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,3.5763532135746345e-09
1819,5.175524897538253e-09
1820,3.5599443393152796e-09
1821,1.0847637454958203e-08
1822,7.017931125119503e-09
1823,9.882686891060644e-10
1824,1.6842225392110777e-09
1825,5.283265824829186e-09
1826,8.807984341885344e-10
1827,9.217273055917019e-10
1828,4.586150570418113e-09
1829,0.0
1830,9.39315203396518e-09
1831,4.677361609140007e-09
1832,2.705993873419743e-09
1833,0.0
1834,1.120143711119681e-08
1835,1.5126175867408165e-09
1836,3.36037508930076e-09
1837,0.0
1838,0.0
1839,6.9914751765765e-10
1840,6.369688665408546e-10
1841,1.2841097074556274e-09
1842,0.0
1843,2.3627644285539873e-09
1844,2.195424508855126e-09
1845,0.0
1846,2.3418005312692003e-09
1847,0.0
1848,0.0
1849,0.0
1850,1.0862393651223101e-08
1851,7.094382858952031e-09
1852,6.510545436100301e-10
1853,5.971931837933653e-09
1854,0.0
1855,5.306937111981824e-10
1856,5.177189232874468e-10
1857,1.4644527812635033e-09
1858,0.0
1859,3.055304009791371e-09
1860,1.373155145145688e-09
1861,8.017138064531082e-09
1862,2.2589932147099034e-09
1863,5.9935452156878455e-09
1864,3.3563094525845827e-09
1865,6.118897832863013e-09
1866,1.1677471434268227e-08
1867,4.85281148598915e-10
1868,1.432563490055827e-08
1869,3.906815315701806e-09
1870,0.0
1871,0.0
1872,6.047339518033823e-09
1873,2.3944017879529156e-09
1874,0.0
1875,5.721527140956084e-10
1876,5.441413541973361e-09
1877,4.329371305900054e-09
1878,0.0
1879,3.6655952717623563e-09
1880,6.417846254436199e-10
1881,1.3945015142624584e-09
1882,9.983077475794744e-09
1883,1.516641390253426e-08
1884,6.601696966868076e-09
1885,5.156508553483263e-09
1886,2.5813855497602844e-09
1887,1.3057849246322917e-09
1888,6.340614699951175e-10
1889,3.132568426877924e-09
1890,3.2771931834929546e-09
1891,2.5496880162734215e-09
1892,2.5074049503359674e-09
1893,1.847525021858587e-09
1894,1.1342770278588432e-08
1895,1.8055843042930064e-08
1896,1.7691086373616827e-09
1897,9.905413378419325e-09
1898,1.6975064687230201e-09
1899,4.4220627160029835e-09
1900,3.633737311048435e-09
1901,2.794369402536745e-09
1902,9.820568025453724e-09
1903,2.1600881083827517e-09
1904,3.2247751136083025e-09
1905,8.257214467732865e-09
1906,5.144184522798412e-10
1907,6.685696440911215e-09
1908,4.911389073214423e-09
1909,2.2003934230241384e-09
1910,2.67207544979442e-09
1911,4.2562992019767876e-09
1912,3.646594803896619e-09
1913,5.30298971401777e-10
1914,1.0714789944188396e-08
1915,2.3561523843085297e-09
1916,2.197492410260793e-09
