year,les_DET aises_NOUN,les_DET chaises_NOUN
1800,2.829747991484055e-08,3.6472307129997716e-07
1801,4.524247021464589e-08,4.5956824124004925e-07
1802,9.84649659585557e-08,3.312003400424146e-07
1803,2.7304748684287006e-08,4.251739547100897e-07
1804,5.19088700912107e-08,4.869546401664593e-07
1805,4.5486042932196824e-08,3.8663136336936077e-07
1806,6.339672165012189e-08,2.3053353359614448e-07
1807,3.701041606518629e-08,4.355841305425656e-07
1808,5.4385776770971006e-08,3.784343545198965e-07
1809,7.002994628635406e-08,4.5180609831163565e-07
1810,1.1232608088107554e-07,3.4633877277201464e-07
1811,6.769107230297777e-08,3.1087751040104195e-07
1812,1.040211223823917e-07,3.120633635944614e-07
1813,3.738464116054274e-08,4.2273402200976307e-07
1814,4.405347864278042e-08,3.3040108560200565e-07
1815,4.585280044544504e-08,3.776112844633417e-07
1816,6.95281165974393e-08,3.0360610381308106e-07
1817,2.1796228488746294e-08,3.222727826823757e-07
1818,5.12610629499477e-08,4.5181263175209097e-07
1819,6.107119610021527e-08,2.8361877646432276e-07
1820,7.831877368857931e-08,3.2395492510772783e-07
1821,1.2425475481858683e-07,2.997892494249754e-07
1822,8.622029668003961e-08,4.1806818273926183e-07
1823,1.5416991594463525e-07,4.002488331877885e-07
1824,7.410579172528742e-08,3.32633966593221e-07
1825,9.069606643485884e-08,4.851799060290318e-07
1826,7.662946277520177e-08,3.2677623251764487e-07
1827,4.3321183085254233e-08,4.4519428676892403e-07
1828,3.3020285172824515e-08,3.5771974626896963e-07
1829,6.858540801957247e-08,4.278014955616527e-07
1830,8.245100113768444e-08,4.122550265606151e-07
1831,3.430065276255334e-08,5.316601416893718e-07
1832,5.6825870453636185e-08,4.654309364582332e-07
1833,1.1004446953677416e-07,5.942401628544758e-07
1834,1.446852344599847e-07,6.282139111135621e-07
1835,1.1344631900556124e-07,4.651299150282284e-07
1836,8.669767392888161e-08,4.959913511015657e-07
1837,1.4750729349088942e-07,4.432176581303793e-07
1838,7.637716237240966e-08,4.689936332624711e-07
1839,6.502072036340678e-08,4.6213652116211534e-07
1840,1.4331799036426673e-07,4.5925454550399536e-07
1841,7.961479964180285e-08,6.028895098708631e-07
1842,1.059905891942492e-07,4.7092021304706577e-07
1843,9.214781138133787e-08,5.552496508132165e-07
1844,1.306277577217685e-07,4.1767950165194634e-07
1845,1.6350068143822227e-07,5.050106395287912e-07
1846,6.6741314697083e-08,5.06414366885366e-07
1847,9.653870147730004e-08,3.4408765614557524e-07
1848,6.033916322145672e-08,3.282450364849865e-07
1849,5.614208120618969e-08,5.681243031574468e-07
1850,5.5669765686161554e-08,4.5146823168806804e-07
1851,4.708090362015582e-08,4.1856858068456404e-07
1852,1.1198138283319281e-07,4.7526981461487594e-07
1853,1.182442534997108e-07,6.0495667497662e-07
