year,des_DET ans_NOUN,des_DET chants_NOUN
1800,2.4210066706942257e-07,1.248233285622291e-06
1801,1.2144031291683177e-07,1.7715998172906922e-06
1802,1.544109693440987e-07,1.042833531528231e-06
1803,1.677291692203653e-07,1.3925422226446216e-06
1804,2.298821382140659e-07,1.7698452701164769e-06
1805,2.2743021221849347e-07,1.67729783129289e-06
1806,9.221341379372916e-08,1.5791546665866463e-06
1807,1.7366426563469872e-07,1.7423365314961359e-06
1808,3.2178249620429256e-07,1.6247750735942645e-06
1809,1.671682585691059e-07,1.6603873884690756e-06
1810,1.6848911998934568e-07,2.061651743545667e-06
1811,3.4096242984560376e-07,1.837687285899392e-06
1812,1.1735716398675322e-07,1.6936772069264805e-06
1813,2.1280487771946355e-07,3.3042271021521685e-06
1814,2.0453401017306305e-07,2.007580018226207e-06
1815,1.645306344499886e-07,1.879964859119454e-06
1816,1.7382028794088455e-07,1.3951975414983053e-06
1817,1.603579571352043e-07,2.0270491593032958e-06
1818,1.5497530236885382e-07,1.4221964441674118e-06
1819,1.387040714506682e-07,1.4626034083864425e-06
1820,1.9342364865337913e-07,1.7325062326989382e-06
1821,1.2031015916846854e-07,1.9890621558715793e-06
1822,1.6843034700286807e-07,1.931936182586469e-06
1823,1.6207605924023483e-07,1.8935228087713085e-06
1824,2.5263338887526743e-07,2.4892809946663874e-06
1825,2.0164464720195951e-07,2.2709237477158695e-06
1826,1.655901114006042e-07,1.9791540979419153e-06
1827,1.3457219222301475e-07,1.6342224729015697e-06
1828,1.008953154912895e-07,1.7830953993325238e-06
1829,1.285976387599419e-07,1.962399940325099e-06
1830,1.4298465544904104e-07,2.130158168967e-06
1831,7.171954852225326e-08,2.4821199238189706e-06
1832,1.1500473751091533e-07,2.8467054673519954e-06
1833,1.4711208606854598e-07,2.6422256262925714e-06
1834,1.7642263561157279e-07,2.440979914197783e-06
1835,1.3084142835850798e-07,2.388423183674604e-06
1836,1.458402760223798e-07,2.4241746219288984e-06
1837,1.1897993812404195e-07,2.3510713038632503e-06
1838,1.117252639293298e-07,2.0438779699816223e-06
1839,1.244482580320394e-07,2.6441759439777e-06
1840,1.2293498929949465e-07,2.3077382831360183e-06
1841,1.0016055718153893e-07,2.3961486625978523e-06
1842,1.3148199817791806e-07,2.411621313314072e-06
1843,1.3585894986789526e-07,2.4011593522388353e-06
1844,9.824524904722409e-08,2.220123032969923e-06
1845,1.5457230917448328e-07,2.1746149272416915e-06
1846,1.1065007576860353e-07,2.785571775021367e-06
1847,8.089835112912169e-08,2.244120358874113e-06
1848,1.1585119558121804e-07,2.1842777622183007e-06
