year,avais_VERB eu_VERB
1800,1.320549074534938e-07
1801,5.9529565277216534e-08
1802,1.0741632650024258e-07
1803,5.070882025393075e-08
1804,1.8291696335381857e-07
1805,1.051864728651708e-07
1806,1.9019016406218725e-07
1807,9.964342950752325e-08
1808,9.744118045773575e-08
1809,1.5587310997489112e-07
1810,1.8018975822542416e-07
1811,1.0279014617253779e-07
1812,1.1735716043403954e-07
1813,1.4091133948568313e-07
1814,1.541871768040437e-07
1815,1.9150287755564932e-07
1816,6.257530316133852e-08
1817,1.9149543106777855e-07
1818,1.6928072454902576e-07
1819,6.314140676977331e-08
1820,1.4239776646718383e-07
1821,2.1793889004584344e-07
1822,2.666813827545411e-07
1823,2.1346603773508832e-07
1824,2.4168593881768174e-07
1825,1.2767893053933221e-07
1826,1.4621254251778737e-07
1827,1.769716391208931e-07
1828,2.1463185362335935e-07
1829,2.5976723350140674e-07
1830,3.0162456710058905e-07
1831,1.2784788339104125e-07
1832,1.7994858581005246e-07
1833,2.884323464513727e-07
1834,2.4176435431400023e-07
1835,2.3521204184362432e-07
1836,1.4852857077585213e-07
1837,2.3239356039539416e-07
1838,1.5843527023662318e-07
1839,1.587064843988628e-07
1840,1.9554944685751252e-07
1841,1.5024083666048682e-07
1842,2.0594373495441687e-07
1843,1.890211507316053e-07
1844,1.531308555513533e-07
1845,1.4229581779545697e-07
1846,1.299699334822435e-07
1847,1.5424619448367594e-07
1848,1.5527277241744741e-07
1849,1.1814974953949786e-07
1850,2.0570658421092958e-07
1851,1.883236109279096e-07
1852,1.386746220077839e-07
1853,1.409375869343421e-07
1854,1.3093074358039303e-07
1855,1.6610712805231742e-07
1856,1.7861303547306306e-07
1857,1.8403289914203924e-07
1858,1.888958962581455e-07
1859,1.7109702810103045e-07
1860,2.5128738911917026e-07
1861,2.1882071621348587e-07
1862,2.2544750777342415e-07
1863,1.8579989102818217e-07
1864,2.2295485280210414e-07
1865,2.0145293433415645e-07
1866,1.761351882123563e-07
1867,2.309938338385109e-07
1868,1.9710097376446356e-07
1869,2.2659529008706158e-07
1870,2.1846726383500936e-07
1871,2.2623108009156567e-07
1872,2.648734493959637e-07
1873,2.603912037102418e-07
1874,2.945482435734448e-07
1875,2.1913449188559753e-07
1876,2.73884467105745e-07
1877,1.94203224168632e-07
1878,2.5424563432352443e-07
1879,2.7614149189503223e-07
1880,2.400274468072894e-07
1881,2.635607927459205e-07
1882,2.715397044994461e-07
1883,2.2244073250021756e-07
1884,2.1587548815205082e-07
1885,1.9659188410514616e-07
1886,2.458769756685797e-07
1887,2.448346663186385e-07
1888,2.2001933075443958e-07
1889,2.518584949484648e-07
1890,2.457894936469529e-07
1891,2.1672347827461635e-07
1892,2.60143252717171e-07
1893,2.2355051498834655e-07
1894,2.476504903370369e-07
1895,2.6301344746570976e-07
1896,2.5652076374171884e-07
1897,2.0043894721766264e-07
1898,2.540601258260722e-07
1899,1.9788730298841983e-07
1900,2.211388618889032e-07
1901,2.0566558589507622e-07
1902,2.170345396734774e-07
1903,1.7172700950141007e-07
1904,2.079979992686276e-07
1905,2.0333391148597002e-07
1906,1.7798878104713367e-07
1907,1.9439947607224894e-07
1908,1.7582772215973819e-07
1909,1.6447940254238347e-07
1910,2.062842128225384e-07
1911,2.11218846857264e-07
1912,2.0212554829868168e-07
