year,ces_DET chantiers_NOUN
1800,1.5720821977538435e-08
1801,8.572257570449437e-08
1802,6.713520406265161e-08
1803,3.900678446910888e-09
1804,3.9549615138412264e-08
1805,5.685755422035754e-09
1806,3.7461699520235925e-08
1807,1.4234776024579787e-08
1808,6.571614541428517e-08
1809,2.4849335034105025e-08
1810,3.2761775514700275e-08
1811,6.267691787797958e-08
1812,2.1337665856435706e-08
1813,2.0130190847567064e-08
1814,9.440030979135372e-09
1815,4.315557666778602e-08
1816,5.5622493277951435e-08
1817,2.1796228488746294e-08
1818,4.053200264308998e-08
1819,4.7614829412623294e-08
1820,2.0173017922786585e-08
1821,2.859831660373402e-08
1822,3.5089655625597516e-08
1823,4.2495554408716885e-08
1824,9.60006882877451e-08
1825,5.3713202774474667e-08
1826,2.7304752237000685e-08
1827,2.1199728195142598e-08
1828,1.467568222501825e-08
1829,1.371708191477694e-08
1830,5.322786122974321e-08
1831,2.6505049710578987e-08
1832,5.276687931043966e-08
1833,9.730248073935854e-08
1834,2.8003593222081236e-08
1835,6.126101226300307e-08
1836,3.696412465004073e-08
1837,8.419047947683111e-08
1838,3.9766621995340756e-08
1839,5.8728391927331813e-08
1840,6.242295036429368e-08
1841,4.6227949468402585e-08
1842,3.354132527277898e-08
1843,6.852016820602103e-08
1844,4.6103913631245774e-08
1845,5.747634812536262e-08
1846,3.454155850235452e-08
1847,3.5595275171829144e-08
1848,4.18351535080852e-08
1849,1.0055298194089346e-07
1850,4.277067500169096e-08
1851,9.803147094089582e-08
1852,1.757847245542621e-08
1853,3.702597561883181e-08
1854,1.5586992863081406e-08
1855,4.7231740296638236e-08
1856,2.5885945831305435e-08
1857,2.0990489457695105e-08
1858,5.2851700793610235e-08
1859,4.1755823243505574e-08
1860,2.97516959957278e-08
1861,5.140400549663582e-08
1862,4.1113676130244414e-08
1863,4.894728489190925e-08
1864,5.178306095032781e-08
1865,4.659776053905773e-08
1866,7.784980304847977e-08
1867,4.658699204185268e-08
1868,5.9278489672465184e-08
1869,5.9578933786497146e-08
1870,4.81660107354287e-08
1871,5.3105887243276584e-08
1872,8.950062380108648e-08
1873,5.028243910132346e-08
1874,1.2247948610877302e-07
1875,7.323554740423788e-08
1876,7.376137922676662e-08
1877,6.926993734168718e-08
1878,7.186515382784364e-08
1879,4.826366950538841e-08
1880,7.958129422114268e-08
1881,1.0598211641621447e-07
1882,6.256062157206088e-08
1883,1.055329597043908e-07
1884,8.450172295226821e-08
1885,9.281715040998506e-08
1886,8.260433581597226e-08
1887,8.618180569186507e-08
1888,3.6775563927449184e-08
1889,7.643467103690682e-08
1890,9.176140913780273e-08
1891,7.712806171511488e-08
1892,7.146103975230744e-08
1893,9.668713918387084e-08
1894,7.87692389092598e-08
1895,9.569596759462229e-08
1896,1.1853028114572339e-07
1897,1.1711694458682587e-07
1898,1.4089303235209627e-07
1899,2.3436932394815813e-07
1900,1.6870922170397762e-07
1901,1.4642495760330831e-07
1902,1.733330172726255e-07
1903,1.4418587923614723e-07
1904,1.4350249255556946e-07
1905,1.352118901842836e-07
