year,certains_DET ans_NOUN,certains_DET chants_NOUN
1800,0.0,0.0
1801,2.3811825844433088e-09,2.8574191901498125e-08
1802,0.0,1.5664880947952042e-08
1803,0.0,5.851017448321727e-09
1804,0.0,7.4155526164076946e-09
1805,0.0,1.1371510844071508e-08
1806,0.0,4.034336598124355e-08
1807,0.0,1.4234775136401367e-08
1808,0.0,0.0
1809,0.0,6.7770917766551975e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,7.521229861140455e-09
1812,0.0,5.3344164641089264e-09
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,5.394447111228828e-09
1816,0.0,2.3176038865813098e-09
1817,0.0,3.113746771532533e-08
1818,0.0,1.3113295338484932e-08
1819,0.0,7.24573512300708e-09
1820,0.0,2.3732962262101864e-09
1821,0.0,1.7750679148775816e-08
1822,0.0,2.105379337535851e-08
1823,0.0,1.9765373782121287e-09
1824,0.0,1.0947446504872005e-08
1825,1.7610886082763955e-09,1.4088708866211164e-08
1826,0.0,9.688783109140786e-09
1827,1.566936447261469e-08,2.7651818612639545e-09
1828,0.0,1.1923991571904935e-08
1829,0.0,1.628903412154159e-08
1830,0.0,9.39315203396518e-09
1831,1.5591206103948707e-09,1.870944643656003e-08
1832,0.0,2.1647950987357945e-08
1833,0.0,1.3900354645102198e-08
1834,3.733812370398937e-09,1.866906162995008e-08
1835,6.050470346963266e-09,1.3613558280667348e-08
1836,6.720750067579218e-10,6.72075017860152e-09
1837,6.957890930081589e-10,2.7831564608504777e-08
1838,0.0,6.943378316748294e-09
1839,0.0,1.2584655095793096e-08
1840,3.1848443882154243e-09,2.4204817705708592e-08
1841,0.0,1.3483152372373297e-08
1842,0.0,1.609983613093391e-08
1843,0.0,1.1223130869097986e-08
1844,0.0,5.2141331252641976e-08
1845,0.0,2.7343116215661212e-08
1846,5.854501328173001e-10,4.4494210982293225e-08
1847,0.0,2.0494249852731627e-08
1848,0.0,1.930853166243196e-08
