year,derniers_ADJ ans_NOUN,derniers_ADJ chants_NOUN
1800,4.087413785214267e-08,8.489244018861086e-08
1801,6.667310969987739e-08,9.28661236798689e-08
1802,3.1329761895904085e-08,3.3567602031325805e-08
1803,4.290746247193056e-08,5.851017803593095e-08
1804,4.449331569844617e-08,2.8920655514852456e-07
1805,3.4114531644036106e-08,4.150601569108403e-07
1806,2.881669125542885e-08,1.152667650217154e-07
1807,2.8469550272802735e-08,9.110256105060444e-08
1808,5.6651849433819734e-08,1.540930298915555e-07
1809,2.4849335034105025e-08,6.777091243748146e-08
1810,3.978215445954447e-08,1.2870696597389042e-07
1811,4.763445815569867e-08,1.7549537290051376e-07
1812,5.601137331723294e-08,3.0139452178445936e-07
1813,5.176335093892703e-08,4.284854924208048e-07
1814,2.8320094713762956e-08,1.6677388714469998e-07
1815,3.776112933451259e-08,7.012781111370714e-08
1816,1.0429217667251578e-07,1.1124498833225971e-07
1817,2.1796227045456362e-08,1.1832237589715078e-07
1818,3.337929754820834e-08,1.263644833215949e-07
1819,1.8631890696951814e-08,1.1593176252322479e-07
1820,8.662531314485022e-08,1.6019750148643652e-07
1821,4.536284592404627e-08,1.8342367980039853e-07
1822,3.0076847679083585e-08,1.082766516447009e-07
1823,4.644862983127496e-08,1.5614645576533803e-07
1824,7.157945702829238e-08,2.037909316854325e-07
1825,4.490776106536032e-08,1.725866809465515e-07
1826,3.699353356978463e-08,8.103345550125596e-08
1827,4.977327350275118e-08,1.3272872934066982e-07
1828,2.2930752408001354e-08,7.796455747666187e-08
1829,5.1439055681612444e-08,1.1745251526917855e-07
1830,2.7135772739939057e-08,1.6385831713705556e-07
1831,2.9623292263636358e-08,1.2317052267007966e-07
1832,2.0294953273491956e-08,1.5830063659905136e-07
1833,2.20088942626262e-08,1.2278646210894806e-07
1834,2.0535967593104942e-08,1.2694961526449333e-07
1835,1.3613558280667348e-08,1.0210168710500511e-07
1836,3.8980349614803345e-08,8.468145296092189e-08
1837,1.948209416013924e-08,1.1828414592240932e-07
1838,1.5780404538645598e-08,1.0920039983375318e-07
1839,1.11863602825224e-08,6.85164565084051e-08
1840,3.121147429396842e-08,1.1083258044664035e-07
1841,1.7977535904378783e-08,7.126809142832258e-08
1842,2.817471411731276e-08,6.574099842282521e-08
1843,3.307870244384503e-08,6.497602034194472e-08
1844,1.811225303072206e-08,1.0812465911502755e-07
1845,1.6182660544927785e-08,9.430584935188335e-08
1846,2.9272506196775794e-08,1.2177362762599842e-07
1847,2.8044762956369595e-08,8.844886423275966e-08
1848,2.735375304041554e-08,4.907585399172021e-08
1849,1.9272654583346593e-08,4.189707314417035e-08
1850,2.0366988096043315e-08,8.757805147752151e-08
1851,2.192809134271556e-08,1.0577079345708285e-07
1852,1.6927417689771573e-08,6.770967408975537e-08
1853,1.1346670270029335e-08,1.1704986313532117e-07
1854,5.5593609715742787e-08,1.2105898455905262e-07
1855,2.5473298137512757e-08,1.1516053177729191e-07
1856,2.329735160344626e-08,9.733116002053066e-08
1857,1.757343248698362e-08,1.2252587611172316e-07
1858,2.1532175153993194e-08,8.710743060191817e-08
1859,2.5460867192350634e-08,1.2781354996604932e-07
1860,3.4786598490654796e-08,1.002403276773034e-07
1861,2.4051415081771665e-08,8.535894330252702e-08
1862,2.3493528900075944e-08,1.0436548344983088e-07
1863,2.1976331865403154e-08,9.140156009834755e-08
1864,2.7809422320501653e-08,9.014088675485254e-08
1865,1.4591217123438582e-08,1.0072647227410414e-07
1866,1.9949013108089275e-08,6.033360167023716e-08
1867,2.6690463172940326e-08,6.308655109421579e-08
1868,2.2723421366777075e-08,8.694178177393042e-08
1869,1.5627261262807224e-08,1.240413840530863e-07
1870,6.422134646300037e-08,1.0493308977288507e-07
1871,7.116188527334089e-08,3.717412155879174e-08
1872,2.53988243770209e-08,9.554795976640662e-08
1873,3.95076291681562e-08,8.260686035210796e-08
1874,2.4495896866483235e-08,1.0873788941490048e-07
1875,2.7463329388410784e-08,7.724061878988664e-08
1876,2.478866001354163e-08,6.046014844329761e-08
1877,2.535774612510977e-08,1.0081250356730465e-07
1878,2.6571990829893366e-08,8.575506238450714e-08
1879,1.588424503040642e-08,5.315112971970848e-08
1880,2.2462462112571302e-08,1.1295409718670157e-07
1881,1.045876096839038e-08,5.6477310439451145e-08
1882,1.7304001787010748e-08,1.4242524670748935e-07
1883,1.3270612164717477e-08,1.1248422993048734e-07
1884,2.0465261485469455e-08,7.129832724217522e-08
1885,1.6114089618213256e-08,6.12335392391472e-08
1886,1.2906927970846027e-08,8.131364581664968e-08
1887,2.0892558794116667e-08,8.161155468089376e-08
1888,1.4583413587843097e-08,1.1920355280636841e-07
1889,1.4409814674820609e-08,7.392861584021304e-08
1890,1.3108772733971819e-08,6.292211018887883e-08
1891,2.995883363610119e-08,5.86428245963333e-08
1892,1.5044429702015805e-08,6.832678334234288e-08
1893,1.7243566574620672e-08,6.527921381227486e-08
1894,2.3315696040526745e-08,9.389293609274318e-08
1895,2.2268872967856623e-08,7.94457108987956e-08
1896,2.0049897742069334e-08,7.784078093209246e-08
1897,1.5732126712464378e-08,6.059782164946625e-08
1898,2.8857609635224435e-08,5.09251939506683e-08
1899,1.1055156790007459e-08,6.246163586354214e-08
1900,1.9206897405865675e-08,5.139142555954379e-08
1901,1.2295225282343836e-08,6.147612907625444e-08
1902,9.329538919189417e-09,3.731815573226882e-08
1903,1.5660639007819555e-08,8.694354902694101e-08
1904,1.1824175416563776e-08,8.653146732484629e-08
1905,3.1996705729397945e-08,7.483100328276038e-08
1906,2.211999294843281e-08,4.9384172917665836e-08
1907,2.2114226894132116e-08,5.3999854809916314e-08
1908,1.7680999775393502e-08,4.665819597349241e-08
1909,1.5952851484257735e-08,4.950885318377729e-08
1910,1.1757131268552712e-08,6.359539517220014e-08
1911,9.044636151145369e-09,7.076097496838685e-08
1912,4.532196484774431e-08,8.126697065291566e-08
1913,2.1742257771961704e-08,7.424185866078403e-08
1914,9.37544086809794e-09,6.361906362828407e-08
1915,1.4136913861761968e-08,6.008188746520204e-08
1916,1.648119329900055e-08,3.29623865980011e-08
1917,9.869782324756216e-09,3.838248618937001e-08
1918,2.986458014220261e-08,6.087779347296873e-08
1919,4.327688785110695e-08,6.077179787178366e-08
1920,2.3473917920568965e-08,6.057785384427916e-08
1921,1.1359120755116692e-08,5.9067430058235004e-08
1922,1.8444838545406128e-08,6.787700690402687e-08
1923,3.1847843473542525e-08,6.688047005098952e-08
1924,2.5783249313349188e-08,8.508471782686655e-08
1925,2.969508017258704e-08,7.03883371588887e-08
1926,1.2260752413340015e-08,6.13037585139864e-08
1927,1.6723836537835268e-08,7.915949651327026e-08
1928,2.5137291359556002e-08,7.198406304365079e-08
1929,2.33948540540041e-08,8.132496875923323e-08
1930,1.8906487042613662e-08,6.512234307365361e-08
1931,1.3686427990933225e-08,5.930785551555573e-08
1932,3.1782654730250215e-08,9.315606064319581e-08
1933,2.1794258842078307e-08,5.850037609889114e-08
1934,3.354842448288764e-08,4.4331848414458364e-08
1935,3.7101681726881e-08,4.6676307263737726e-08
1936,2.66743711563322e-08,6.547345599017262e-08
1937,1.1332006444320086e-08,4.910535911228919e-08
1938,3.1116513810047763e-08,6.223302884134085e-08
1939,2.2941076593951948e-08,6.72938256229827e-08
1940,2.028626333583361e-08,5.0715659227762444e-08
1941,2.9515025090631752e-08,3.836953510472085e-08
1942,3.034211815133858e-08,9.102635090130207e-08
1943,2.322588166236983e-08,6.387117701400769e-08
1944,2.2492303131116387e-08,6.42637232317611e-08
1945,3.485606470121638e-08,2.178504132643866e-08
1946,2.7842208538686464e-08,5.150808579656996e-08
1947,1.0728784083369192e-08,3.695469907860627e-08
1948,9.784699273041042e-09,6.088257320513435e-08
1949,6.8719057111366055e-09,3.239612667016445e-08
1950,1.701657836861159e-08,4.5732053255420624e-08
1951,1.1727541604500402e-08,2.985192559812333e-08
1952,1.0544804140977249e-08,6.854122491795067e-08
1953,1.8315507332999914e-08,5.925604895651304e-08
1954,8.795282724349818e-09,9.088458341466321e-08
1955,2.815682353940474e-09,6.663781659810297e-08
1956,1.5698054411927842e-08,5.84316470764179e-08
1957,1.8553580005686854e-08,6.537927960126311e-08
1958,1.0753916868111446e-08,4.715178880676518e-08
1959,3.8753737996444215e-09,6.123090656728891e-08
1960,2.145458388724819e-08,6.159541598993457e-08
1961,1.876002997391879e-08,7.087122133597745e-08
1962,1.7123282347597524e-08,4.946725840060395e-08
1963,1.0345685197421517e-08,4.978860868032342e-08
1964,1.8860301764789256e-08,6.388166590154398e-08
1965,1.9699356812452606e-08,6.292849613620533e-08
1966,1.0524241922382771e-08,7.976267313303254e-08
1967,1.3804939413830652e-08,8.085750191622054e-08
1968,2.110965446888713e-08,8.623518704675703e-08
1969,2.043791091921321e-08,4.132999698036599e-08
1970,1.4715920038099739e-08,7.357959877496434e-08
1971,1.4387513402880359e-08,5.1383974963847834e-08
