year,aviez_VERB assez_ADV,aviez_VERB chassé_VERB
1800,1.2576657937302116e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,2.9091921760482364e-08,4.475680270843441e-09
1803,5.851017448321727e-09,5.851017448321727e-09
1804,7.4155526164076946e-09,1.4831105232815389e-08
1805,1.1371510844071508e-08,0.0
1806,3.458002950651462e-08,0.0
1807,0.0,0.0
1808,1.8128591960930862e-08,0.0
1809,4.743964154840796e-08,0.0
1810,1.8721014072298203e-08,7.020380277111826e-09
1811,1.504245972228091e-08,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,1.0788894222457657e-08,0.0
1816,2.5493642752394408e-08,1.622322720606917e-08
1817,1.8682481339737933e-08,4.670620334934483e-09
1818,2.1458118837358597e-08,0.0
1819,9.315945348475907e-09,0.0
1820,4.2719332071783356e-08,2.3732962262101864e-09
1821,1.0847637454958203e-08,7.88919063410276e-09
1822,4.6117833107928163e-08,1.0025615893027862e-09
1823,3.4589405117912975e-08,1.581229902569703e-08
1824,3.3684450784221553e-08,7.57900142644985e-09
1825,1.2327619813845558e-08,4.4027217427355936e-09
1826,5.108631029315802e-08,8.807984341885344e-10
1827,7.373818444733615e-09,1.8434546111834038e-09
1828,2.2930752408001354e-08,5.503380862137419e-09
1829,1.7146351893870815e-08,3.429270423183084e-09
1830,1.5655253093882493e-08,7.305785310052215e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,8.117981842303834e-09,1.3529969367098715e-09
1833,2.0850531967653296e-08,1.1583628500844156e-09
1834,1.9602515166639023e-08,2.8003592777992026e-09
1835,3.781543966852041e-08,1.5126175867408165e-09
1836,1.0753200108126748e-08,6.720750067579218e-10
1837,3.061472142462662e-08,5.5663127440652715e-09
1838,1.830527018853445e-08,3.787297142565649e-09
1839,2.866504900111977e-08,2.0974426639952526e-09
1840,2.5478755105723394e-08,1.52872523528913e-08
1841,1.6051371787284552e-08,2.5682194149112547e-09
1842,1.7441490030023488e-08,6.708265054555795e-10
1843,2.2446261738195972e-08,1.7720733769266417e-09
1844,1.866110821424627e-08,2.195424508855126e-09
1845,1.5066614622583074e-08,7.254296274794569e-09
1846,1.2294452567118697e-08,8.781752214304106e-09
1847,1.5101026207275936e-08,9.707802561820245e-09
1848,2.333114323960217e-08,3.218088684420195e-09
1849,2.6814127807028854e-08,1.6758829879393033e-09
1850,2.7155984128057753e-09,3.394498016007219e-09
1851,2.7087642351375507e-08,2.579775504329973e-09
1852,3.1250618093281446e-08,1.9531636308300904e-09
1853,9.555090940693844e-09,5.3747388761848924e-09
1854,2.182179059673217e-08,9.871762074453727e-09
1855,1.0083180512765466e-08,3.1841622671890946e-09
1856,8.28350277259915e-09,2.5885946719483854e-09
1857,2.7336451324799782e-08,1.513267733344037e-08
1858,7.34051397444091e-09,4.404308473482388e-09
1859,1.1202780925145817e-08,5.092173349652285e-09
1860,3.066713105681629e-08,4.577183909670879e-10
1861,2.0750240636857598e-08,1.8863854922557266e-09
