year,aies_VERB eu_VERB
1800,9.432493897065797e-09
1801,3.095537337571841e-08
1802,1.3427040812530322e-08
1803,7.801356893821776e-09
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,1.1387820464392462e-08
1808,1.1330369531492579e-08
1809,6.7770917766551975e-09
1810,0.0
1811,7.521229861140455e-09
1812,8.00162425207418e-09
1813,0.0
1814,6.293354282149721e-09
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,4.670620334934483e-09
1818,3.5763532135746345e-09
1819,0.0
1820,7.119888678630559e-09
1821,2.1695274909916407e-08
1822,2.105379337535851e-08
1823,6.917880934764753e-09
1824,3.3684450784221553e-09
1825,8.805443041381977e-10
1826,1.7615968683770689e-09
1827,6.452091305675367e-09
1828,1.8344602503717056e-09
1829,8.573175946935407e-09
1830,6.262101504006523e-09
1831,4.677361609140007e-09
1832,1.2176972319366541e-08
1833,4.6334514003376626e-09
1834,1.0267983796552471e-08
1835,1.285724948729694e-08
1836,1.008112526790228e-08
1837,1.0436836284100082e-08
1838,7.574594285131298e-09
1839,4.894032734625853e-09
1840,5.732719632334238e-09
1841,5.778493683550323e-09
1842,1.2074877098200432e-08
1843,6.497602011990011e-09
1844,7.1351298203126134e-09
1845,1.0602432709561072e-08
1846,1.2879903366069811e-08
1847,1.77976389181822e-08
1848,4.82713291560799e-09
1849,8.379414495607307e-09
1850,1.6293590476834652e-08
1851,9.674158363282004e-09
1852,3.906327261660181e-09
1853,9.555090940693844e-09
1854,1.558699302961486e-08
1855,6.8990182455763716e-09
1856,3.6240324075009767e-09
1857,1.9037885934380938e-08
1858,5.872411001917044e-09
1859,4.073738679721828e-09
1860,9.612086238064421e-09
1861,8.960331143725853e-09
1862,1.2650361647104091e-08
1863,1.7980635647063536e-08
1864,1.3904711160250827e-08
1865,1.5061901947888146e-08
1866,1.4596838404656864e-08
1867,9.7056229719783e-09
1868,1.9265508299781686e-08
1869,1.7580669364747337e-08
1870,1.7202147262196377e-08
1871,6.37270636261178e-09
1872,1.0280476914203973e-08
1873,8.979006871356887e-09
1874,1.0156835372754358e-08
1875,1.8881038954532414e-08
1876,2.0556450763820067e-08
1877,7.421779191219002e-09
1878,5.435179861734696e-09
1879,5.498392852132383e-09
1880,1.9253539207397807e-08
1881,6.9725074602899895e-09
1882,8.652000893505374e-09
1883,6.951272890631799e-09
1884,1.9805090900604227e-08
1885,4.511945039809007e-09
1886,1.1616235084943582e-08
1887,1.6322312390570914e-08
1888,8.242799331981132e-09
1889,1.4409814674820609e-08
1890,6.554386366985909e-09
1891,8.286486163910922e-09
1892,5.014809900671935e-09
1893,7.390100087434348e-09
1894,3.780923574225881e-09
1895,2.4074457982692365e-09
1896,5.897029087265082e-09
1897,6.992056267307589e-09
1898,6.7900258748920805e-09
1899,1.0502398950507086e-08
1900,3.114631885736685e-09
1901,3.353243460679778e-09
1902,2.9461704187383475e-09
1903,1.0800440541913758e-08
1904,1.5048950530172078e-08
1905,1.2901897328276846e-08
1906,9.773950537805831e-09
1907,8.742834012309686e-09
1908,8.349361202419914e-09
1909,2.7504918342913243e-09
1910,1.870452770447173e-08
1911,1.4897047151407605e-08
1912,1.40654377034366e-08
1913,8.484783542428431e-09
1914,1.9420557606508737e-08
1915,1.1780762143587253e-08
1916,1.0987461607214755e-08
1917,1.315970976634162e-08
1918,4.594550517822427e-09
1919,2.762354567309444e-09
1920,1.514446346106979e-08
1921,2.3475516641724425e-08
1922,1.9182632371439468e-08
1923,5.307974060286824e-09
1924,2.707241186783449e-08
1925,1.0998178368026856e-08
1926,1.114613823460786e-08
1927,2.0068604555945058e-08
1928,1.1426041446327417e-08
1929,1.3368487650211591e-08
1930,1.470504518152893e-08
1931,1.2545892325022123e-08
1932,2.301502632917618e-08
1933,2.2941324395731044e-09
1934,2.995395220750652e-08
1935,9.574627313213568e-09
1936,6.0623572828433225e-09
1937,1.7627565185307503e-08
1938,1.4261735792331365e-08
1939,1.2235240376412548e-08
1940,1.7750480196809804e-08
1941,3.246652724442356e-08
1942,3.034211770724937e-09
1943,1.4516175816936538e-08
1944,0.0
1945,1.3071024262956144e-08
1946,1.9489545977080525e-08
1947,1.549713246618012e-08
1948,9.784699273041042e-09
