year,autres_ADJ airs_NOUN,autres_ADJ chairs_NOUN
1800,6.60274537267469e-08,0.0
1801,6.429193177837078e-08,3.809892135109294e-08
1802,3.5805442166747525e-08,0.0
1803,4.6808139586573816e-08,3.1205427575287104e-08
1804,8.651478111687538e-08,1.2359254952798437e-08
1805,3.980028751016107e-08,1.421438877713399e-08
1806,1.2103009794373065e-07,2.881669125542885e-08
1807,2.8469550272802735e-08,2.8469551160981155e-09
1808,3.172503681980743e-08,0.0
1809,9.036122294858728e-09,6.7770917766551975e-09
1810,9.594519356781461e-08,4.680253518074551e-09
1811,4.763445815569867e-08,1.7549536934780008e-08
1812,8.801787032552966e-08,2.1337665856435706e-08
1813,3.163315653864629e-08,0.0
1814,1.5733386149463513e-08,1.8880061958270744e-08
1815,1.8880564667256294e-08,5.394447111228828e-09
1816,5.7940098940889584e-08,2.3176038865813098e-09
1817,8.56280379935015e-08,0.0
1818,6.079800130009971e-08,1.9073883805731384e-08
1819,7.866798057420965e-08,1.3456364911235141e-08
1820,4.390598107306687e-08,1.1866481131050932e-09
1821,5.719663320746804e-08,3.94459531705138e-09
1822,6.015369535816717e-08,7.017931125119503e-09
1823,4.249555374258307e-08,8.894418535021487e-09
1824,5.3053010873327366e-08,7.57900142644985e-09
1825,6.251864448358901e-08,5.283265824829186e-09
1826,5.5490302908189904e-08,8.807984341885344e-10
1827,3.041700225026034e-08,4.608636583469661e-09
1828,2.7516904310687096e-08,6.420610709767516e-09
1829,2.4862210068476998e-08,9.430493719264632e-09
1830,5.218418053232199e-08,6.262101504006523e-09
1831,4.5214498811674275e-08,4.677361609140007e-09
1832,3.788391467196561e-08,6.764984572527055e-09
1833,7.52935847003755e-08,1.1583628500844156e-09
1834,3.733812548034621e-08,4.667265685043276e-09
1835,3.6302822081779595e-08,9.075705520444899e-09
1836,1.0753200108126748e-08,4.032449929525228e-09
1837,2.99189295560609e-08,1.3219993100221927e-08
1838,4.86036455527028e-08,6.312161904276081e-10
1839,5.2436064379435265e-08,5.5931801412612e-09
1840,5.159447979963261e-08,1.4013314952876499e-08
1841,2.6966304744746594e-08,5.778493683550323e-09
1842,3.287049921141261e-08,8.720745015011744e-09
1843,2.4809025944705354e-08,1.1813822142769936e-09
1844,3.622450606144412e-08,2.6893950177964143e-08
1845,4.0177642546268544e-08,2.2320911785556063e-09
1846,1.5807152919933287e-08,7.610851504580296e-09
1847,2.9123407685460734e-08,8.629157832729106e-09
1848,2.654923214606697e-08,0.0
1849,2.8490010350878947e-08,1.256912263158938e-08
1850,1.425689166723032e-08,4.073397619208663e-09
1851,3.353708066811123e-08,6.449438760824933e-10
1852,6.640756566866912e-08,7.161600201754936e-09
1853,3.4040009921909586e-08,1.7318601663873778e-08
1854,2.5458755104068587e-08,1.0910895298366086e-08
1855,3.131092896069276e-08,6.8990182455763716e-09
1856,4.711242240773572e-08,2.5885946719483854e-09
1857,2.0502337605421417e-08,9.763018171682347e-10
1858,1.859596826525589e-08,4.893676130990343e-09
1859,3.258990943777462e-08,5.092173349652285e-09
1860,2.654766717569146e-08,3.204028820036342e-09
1861,3.3483342321005694e-08,8.017138064531082e-09
1862,3.7047489076513784e-08,2.710791813242963e-09
1863,2.8469337998160427e-08,6.493007020935693e-09
1864,1.1986819536957682e-08,3.3563094525845827e-09
1865,2.3534221682552925e-08,0.0
1866,2.6274308950746672e-08,0.0
1867,1.0190904120577216e-08,1.455843445796745e-09
1868,2.9639243948054173e-08,9.87974813071446e-10
1869,1.904572499711321e-08,3.906815315701806e-09
1870,2.0069171213776826e-08,0.0
1871,4.354682658913589e-08,8.496941816815706e-09
1872,3.8702971494330995e-08,4.8378714367913744e-09
1873,2.3944018323618366e-08,2.3944017879529156e-09
1874,2.6885741633009275e-08,2.3898436563030145e-09
1875,3.0324094124623e-08,5.721527140956084e-10
1876,1.4510435741854621e-08,1.813804439976252e-09
1877,3.339800647150781e-08,9.895705588292003e-09
1878,4.227361927178208e-08,1.8117265465633636e-09
1879,7.331190321480108e-09,1.0996785704264767e-08
1880,4.428314070992201e-08,1.6044616302224313e-08
1881,2.8587281875047665e-08,3.4862537301449947e-09
1882,2.994923331556265e-08,3.3276925659464496e-09
1883,2.211768546089843e-08,0.0
1884,1.7164412113856997e-08,1.3203393933736152e-09
1885,2.2559724754955823e-08,3.86738152613475e-09
1886,2.774989482645651e-08,1.4842966855610484e-08
1887,2.0239665943222462e-08,6.528924623161458e-10
1888,1.7119660356001987e-08,1.521747527988282e-08
1889,4.2602930960811136e-08,6.265136853755848e-09
1890,1.6385966361553983e-08,5.898947996740844e-09
1891,1.7210394887001712e-08,4.461953917456185e-09
1892,1.002961980134387e-08,9.402768341715273e-09
1893,2.4017824173938607e-08,8.621783287310336e-09
1894,2.2685540557176864e-08,1.2603078580752936e-09
1895,1.5648398132839247e-08,1.8055843487019274e-09
1896,1.5921978790967017e-08,2.948514543632541e-09
1897,1.5732126712464378e-08,6.409385022720926e-09
1898,1.8106735777401184e-08,3.960848538042683e-09
1899,2.984892333302014e-08,1.1055156790007459e-09
1900,1.661137005726232e-08,5.19105292084987e-09
1901,2.9061443029831935e-08,2.794369402536745e-09
1902,2.8479645752810256e-08,2.455141867585553e-09
1903,2.214090244478939e-08,1.0260418292773466e-08
1904,2.2573425795258117e-08,2.6873125946735854e-09
1905,2.4771643958310108e-08,3.096455536422127e-09
1906,2.674975863037332e-08,5.658602919567102e-09
1907,2.7771354993433306e-08,3.599990305858114e-09
1908,3.290630701258124e-08,9.822778146428846e-10
1909,2.0903737407707013e-08,5.5009836685826485e-09
1910,3.847788310196165e-08,5.344150677544235e-10
1911,3.08581699082211e-08,4.788336838146279e-09
1912,3.6465947372832375e-08,5.2094213387476884e-09
1913,4.295421618394357e-08,5.302989602995467e-09
