year,aurions_VERB eu_VERB
1800,3.018398047061055e-07
1801,3.405091035801888e-07
1802,3.0210841828193225e-07
1803,1.794312112224361e-07
1804,2.84262853256223e-07
1805,1.5635826855486812e-07
1806,2.1900684998854558e-07
1807,1.6512339584551228e-07
1808,1.7222161829977267e-07
1809,2.0783080856290326e-07
1810,2.667744638529257e-07
1811,1.7298829391165782e-07
1812,1.440292436427626e-07
1813,4.112310421078291e-07
1814,3.681612383843458e-07
1815,2.3196122356239357e-07
1816,3.3605255111979204e-07
1817,3.1293154734157724e-07
1818,2.6345801984462014e-07
1819,2.598113439944427e-07
1820,2.7411570613367076e-07
1821,2.98803087162014e-07
1822,2.2858404236103524e-07
1823,3.9036612520249037e-07
1824,3.772658487832814e-07
1825,1.9283920948964806e-07
1826,1.3388135755576513e-07
1827,2.037017310385636e-07
1828,3.191960900039703e-07
1829,2.417635585061362e-07
1830,2.776198471110547e-07
1831,3.9289838582590164e-07
1832,2.489514372427948e-07
1833,3.822597420821694e-07
1834,2.959046412343014e-07
1835,3.6680975767922064e-07
1836,2.795831903767976e-07
1837,2.574419681877771e-07
1838,2.4112458163472184e-07
1839,3.334933751375502e-07
1840,2.6497903604649764e-07
1841,3.171751075115026e-07
1842,3.038844056391099e-07
1843,2.386392168318707e-07
1844,2.0911419085223315e-07
1845,3.0077427481955965e-07
1846,2.640380216689664e-07
1847,2.9932391498732613e-07
1848,2.9204153406681144e-07
1849,3.1590394655722775e-07
1850,2.980369231408986e-07
1851,2.6313711032344145e-07
1852,2.4023913169912703e-07
1853,2.645565757575241e-07
1854,3.579812926091108e-07
1855,2.695924194995314e-07
1856,2.72320164640405e-07
1857,3.050943178095622e-07
1858,3.1221654239743657e-07
1859,3.2182535392166756e-07
1860,3.3001495580720075e-07
1861,3.414357649944577e-07
1862,2.909583258769999e-07
1863,2.6970951694238465e-07
1864,3.893319160397368e-07
1865,3.4454100727998593e-07
1866,2.559312406447134e-07
1867,3.2028555096985656e-07
1868,2.855247203115141e-07
1869,3.594270197027072e-07
1870,2.568853858520015e-07
1871,4.142259228956391e-07
1872,4.6987827317934716e-07
1873,3.465896725174389e-07
1874,4.110531222067948e-07
1875,3.513017645673244e-07
1876,3.403906418952829e-07
1877,2.4430022449450917e-07
1878,2.7296681537336553e-07
1879,3.48842462472021e-07
1880,3.324444435293117e-07
1881,2.8657007078436436e-07
1882,2.9882679086767894e-07
1883,2.7362736432223755e-07
1884,3.347060442138172e-07
1885,2.7265039648227685e-07
1886,2.5491181077086367e-07
1887,3.0228920877561904e-07
1888,2.808892247685435e-07
1889,2.875697759918694e-07
1890,3.0084635227467516e-07
1891,2.849276370398002e-07
1892,2.990080361087166e-07
1893,3.023782539912645e-07
1894,2.734868189691042e-07
1895,3.4306103202652594e-07
1896,3.2787480108709133e-07
1897,3.1930389354783983e-07
1898,3.072486833843868e-07
1899,2.957254423563427e-07
1900,2.553998115217837e-07
1901,3.0402739525925426e-07
1902,2.798861657993257e-07
1903,2.4300990730807825e-07
1904,2.5959440108636045e-07
1905,2.4874859150259e-07
1906,3.168817670484714e-07
1907,2.658850064563012e-07
1908,3.108909254478931e-07
1909,2.75599262522519e-07
1910,2.6026015120805823e-07
1911,2.9102446319484443e-07
1912,2.464056194639852e-07
1913,2.8424025799722585e-07
1914,3.107289217041398e-07
