year,avions_VERB assez_ADV,avions_VERB chassé_VERB
1800,8.174827570428533e-08,6.288328968651058e-09
1801,7.381665767525192e-08,0.0
1802,7.384872446891677e-08,0.0
1803,7.801356893821776e-09,0.0
1804,3.213406074564773e-08,1.4831105232815389e-08
1805,2.2743021688143017e-08,0.0
1806,6.051504897186533e-08,2.881669125542885e-08
1807,2.8469550272802735e-08,0.0
1808,6.798222074166915e-08,0.0
1809,2.9367397402779716e-08,4.518061036407062e-09
1810,2.574139479349924e-08,0.0
1811,7.521229861140455e-09,1.504245972228091e-08
1812,2.6672083208723052e-08,0.0
1813,3.738464116054274e-08,0.0
1814,8.810695817373926e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,3.113746771532533e-08,0.0
1818,5.841376804482934e-08,0.0
1819,4.5544620519422097e-08,0.0
1820,2.4919611263385377e-08,8.306536791735653e-09
1821,7.297501269931672e-08,5.9168927535324656e-09
1822,7.017931125119503e-08,6.015369535816717e-09
1823,6.028439258898288e-08,3.261286707356703e-08
1824,6.400046004273463e-08,0.0
1825,1.937197424695114e-08,1.7610886082763955e-09
1826,4.051672775062798e-08,2.642395191543301e-09
1827,4.147772969531616e-08,9.217273055917019e-10
1828,4.769596628761974e-08,0.0
1829,4.6295149047637096e-08,3.429270423183084e-09
1830,6.366470017837855e-08,0.0
1831,5.76874619184764e-08,1.5591206103948707e-09
1832,5.141388470519814e-08,1.3529969367098715e-09
1833,8.108539617524002e-08,1.1583628500844156e-09
1834,5.3206825612051034e-08,9.334530925997342e-10
1835,1.0361430469174593e-07,1.285724948729694e-08
1836,5.9142600150607905e-08,6.048674894287842e-09
1837,2.852735292435682e-08,3.478945576063097e-09
1838,2.7142295522253335e-08,6.943378316748294e-09
1839,3.0063343814390464e-08,3.4957374772659477e-09
1840,4.968357103507515e-08,3.1848443882154243e-09
1841,4.55858959469424e-08,5.1364388298225094e-09
1842,3.957876515414682e-08,3.3541325272778977e-09
1843,2.3627643841450663e-08,6.497602011990011e-09
1844,4.006649589882727e-08,5.488561272137815e-10
1845,3.4039391749729475e-08,3.9061593959388574e-09
1846,3.454155717008689e-08,1.0538101946622191e-08
1847,2.3190860787281053e-08,5.3932236454556914e-09
1848,2.815827571112095e-08,8.84974404868899e-09
1849,4.273501730267526e-08,2.513824481908955e-09
1850,4.616517301769818e-08,8.146795238417326e-09
1851,3.740674614505224e-08,2.579775504329973e-09
1852,3.5156944022674e-08,7.161600201754936e-09
1853,5.3747385209135246e-08,2.388772735173461e-09
1854,6.078927583530458e-08,1.1430461910322265e-08
1855,4.776243400783642e-08,5.306937111981824e-10
1856,5.5913645269356493e-08,4.659470143053568e-09
1857,6.443592326377257e-08,6.8341128311999455e-09
1858,3.6213201326518174e-08,1.0276719919488642e-08
1859,5.754155907311542e-08,6.619825576592575e-09
1860,2.9751696217772405e-08,1.6020143434047895e-08
1861,4.715963797252698e-08,1.0375120318428799e-08
1862,4.382446761042047e-08,9.035972858839614e-09
1863,3.49623441309177e-08,2.4973103585068657e-09
1864,3.5001512799226475e-08,7.671564716815737e-09
1865,2.447559133145205e-08,4.23615986733239e-09
1866,5.011581194480641e-08,2.919367858567057e-09
1867,3.154327288257264e-08,6.308654931785895e-09
1868,4.989272639477349e-08,3.951899252285784e-09
1869,6.495080384638641e-08,5.371870948067681e-09
1870,3.383088653663435e-08,2.2936195165357276e-09
1871,9.45284810427438e-08,1.5931766128574054e-08
1872,3.265563108811875e-08,1.0280476914203973e-08
1873,4.2500630570430076e-08,2.1549615425442425e-08
1874,7.766991672042423e-08,1.1351757756017378e-08
1875,2.689117728493784e-08,5.721527251978387e-09
1876,2.2370254981751714e-08,6.04601479992084e-10
1877,5.133397351642088e-08,2.4739263970730008e-09
1878,3.563062378475479e-08,1.8117265465633636e-09
1879,4.948553566919145e-08,1.0996785704264767e-08
1880,4.55667077403632e-08,1.0910338410496934e-08
1881,2.4403776777148778e-08,1.3945015142624584e-09
1882,3.8601232432711186e-08,1.7969540522244642e-08
