year,avez_VERB armé_VERB,avez_VERB charmé_VERB
1800,6.288328791015374e-08,1.2576657937302116e-08
1801,0.0,7.143547975374531e-09
1802,3.8043282302169246e-08,4.475680270843441e-09
1803,3.900678446910888e-09,1.950339223455444e-09
1804,2.4718509461507665e-09,1.2359254952798437e-08
1805,2.842877711017877e-09,1.421438877713399e-08
1806,0.0,8.645007376628655e-09
1807,5.693910232196231e-09,8.540865792383556e-09
1808,0.0,4.5321479902327155e-09
1809,2.4849335034105025e-08,1.3554183553310395e-08
1810,1.4040760554223652e-08,2.574139479349924e-08
1811,1.0028307073639553e-08,2.2563691359778204e-08
1812,2.6672082320544632e-09,2.6672083208723052e-08
1813,0.0,1.7254450312975678e-08
1814,2.5173417128598885e-08,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,1.5568733857662664e-08,6.227493631882908e-09
1818,2.6226590676969863e-08,2.384235475716423e-09
1819,2.5877625375869684e-08,3.1053151161586356e-09
1820,5.102586797534059e-08,1.1866481131050932e-08
1821,2.1695274909916407e-08,1.3806083387635226e-08
1822,2.3058916553964082e-08,2.105379337535851e-08
1823,3.063632902922109e-08,8.894418535021487e-09
1824,3.536867154707579e-08,3.9579230559638745e-08
1825,2.289415235168235e-08,1.4969252504215547e-08
1826,5.284790383086602e-09,4.403992281964975e-09
1827,2.7651818612639545e-09,8.295545583791863e-09
1828,1.2841221419535032e-08,4.586150570418113e-09
1829,8.57317605795771e-10,8.573175946935407e-09
1830,4.174734336004349e-09,7.305785310052215e-09
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,9.470978667991403e-09,8.117981842303834e-09
1833,6.950177322551099e-09,4.6334514003376626e-09
1834,3.547121707470069e-08,1.7735608537350345e-08
1835,1.5882484660778573e-08,2.193295500774184e-08
1836,4.032449929525228e-09,1.1425274948351216e-08
1837,1.3915782304252389e-08,9.045257876039159e-09
1838,8.837027110075724e-09,1.1361890983607736e-08
1839,6.9914751765765e-10,5.5931801412612e-09
1840,8.917564464638872e-09,9.554533164646273e-09
1841,1.733548060656176e-08,7.704658244733764e-09
1842,2.3478927246856074e-08,8.049918065466954e-09
1843,7.678984559333912e-09,4.7255288571079745e-09
1844,1.1525978393933656e-08,1.2074834465636286e-08
