year,des_DET ans_NOUN,des_DET champs_NOUN
1800,2.4210066706942257e-07,3.2762193526991723e-06
1801,1.2144031291683177e-07,3.7408377302483586e-06
1802,1.544109693440987e-07,2.745829789319032e-06
1803,1.677291692203653e-07,3.24731475043194e-06
1804,2.298821382140659e-07,2.939030864013148e-06
1805,2.2743021221849347e-07,3.891899593710946e-06
1806,9.221341379372916e-08,2.6684257079523377e-06
1807,1.7366426563469872e-07,2.8868125312442316e-06
1808,3.2178249620429256e-07,3.709563124232318e-06
1809,1.671682585691059e-07,3.887791454548761e-06
1810,1.6848911998934568e-07,2.929838768039872e-06
1811,3.4096242984560376e-07,3.2842705266489247e-06
1812,1.1735716398675322e-07,2.6085295985467383e-06
1813,2.1280487771946355e-07,2.66006092886073e-06
1814,2.0453401017306305e-07,2.3977679362019444e-06
1815,1.645306344499886e-07,2.1173204913793597e-06
1816,1.7382028794088455e-07,2.458977707675558e-06
1817,1.603579571352043e-07,2.3477651192038707e-06
1818,1.5497530236885382e-07,1.950304568509864e-06
1819,1.387040714506682e-07,2.029840970863006e-06
1820,1.9342364865337913e-07,2.3020973856091587e-06
1821,1.2031015916846854e-07,1.9160871893575404e-06
1822,1.6843034700286807e-07,2.2337072778100264e-06
1823,1.6207605924023483e-07,1.8312618337290587e-06
1824,2.5263338887526743e-07,2.366332758185763e-06
1825,2.0164464720195951e-07,2.3484116686844914e-06
1826,1.655901114006042e-07,2.628302564033902e-06
1827,1.3457219222301475e-07,2.2268930770508177e-06
1828,1.008953154912895e-07,1.971127561617436e-06
1829,1.285976387599419e-07,2.3464783147630897e-06
1830,1.4298465544904104e-07,2.058143998340256e-06
1831,7.171954852225326e-08,2.1687367883771458e-06
1832,1.1500473751091533e-07,2.291976745283364e-06
1833,1.4711208606854598e-07,2.7453200672766798e-06
1834,1.7642263561157279e-07,2.425111123471879e-06
1835,1.3084142835850798e-07,2.3596834708428105e-06
1836,1.458402760223798e-07,2.1755068679851775e-06
1837,1.1897993812404195e-07,2.0852798776616055e-06
1838,1.117252639293298e-07,2.210519053136295e-06
1839,1.244482580320394e-07,2.046404885547304e-06
1840,1.2293498929949465e-07,2.0962645166378024e-06
1841,1.0016055718153893e-07,2.4115581283012943e-06
1842,1.3148199817791806e-07,1.9366761119243847e-06
1843,1.3585894986789526e-07,2.1572039230477458e-06
1844,9.824524904722409e-08,2.087848613996357e-06
1845,1.5457230917448328e-07,2.188565407124088e-06
1846,1.1065007576860353e-07,2.296720786887363e-06
1847,8.089835112912169e-08,1.9701446012376778e-06
1848,1.1585119558121804e-07,2.4272434160366174e-06
1849,1.055806320149344e-07,2.252386710921428e-06
1850,1.0251383653070434e-07,1.9654144036707066e-06
1851,1.2060450571560466e-07,1.8864608577473518e-06
1852,1.1979403624629015e-07,1.7969105829962473e-06
1853,1.1107793307374436e-07,2.0812183301188725e-06
1854,1.1638288199833369e-07,1.9213567039599866e-06
1855,1.3001995569084102e-07,2.0389251886854254e-06
1856,1.0354378376931095e-07,1.8746602350461217e-06
1857,1.7719877498656444e-07,2.1205276325986233e-06
1858,1.1549075340511195e-07,2.0372373032984115e-06
1859,1.9961319530636956e-07,2.1488970673999575e-06
1860,1.2953430317264036e-07,2.4707639596499575e-06
1861,1.5421200871834628e-07,2.346663645624858e-06
1862,1.6716549666728753e-07,2.272547032333705e-06
1863,1.4883970655965584e-07,2.034309122933564e-06
1864,2.1528328186803947e-07,2.042554056558288e-06
1865,1.308502746155682e-07,2.01358798790352e-06
1866,1.5083400217719145e-07,2.0659393165090023e-06
1867,1.3199647597161857e-07,1.9590800022228905e-06
1868,1.126291309105909e-07,2.016456608799899e-06
1869,1.411337060552853e-07,1.8825966741076172e-06
1870,1.25002265427554e-07,1.9386819047895187e-06
1871,1.1258447574213903e-07,2.080688712879919e-06
1872,1.118757751994437e-07,1.88435098102957e-06
1873,1.5743191833506032e-07,2.002318479910059e-06
1874,1.0336073774652732e-07,1.949514986776535e-06
1875,1.6363567656441091e-07,1.8812381661348354e-06
1876,1.1245587638875065e-07,2.108849873394547e-06
1877,1.490540659787598e-07,2.0917047365287544e-06
1878,1.1172314384744197e-07,2.0907324724817045e-06
1879,1.429582063838808e-07,2.0142445080750804e-06
1880,1.764907728851739e-07,2.0742478454849334e-06
1881,1.7082643788413066e-07,1.9948344736064882e-06
1882,1.5507047379514916e-07,2.081804403530896e-06
1883,1.4787252844428167e-07,2.2180880083766397e-06
1884,1.353347940380445e-07,2.1178242803898684e-06
1885,1.3471379101126502e-07,2.114813121067982e-06
1886,1.1616234929512359e-07,2.3400260040773446e-06
1887,1.3514873686837348e-07,2.5390987801188203e-06
1888,1.8134157908633597e-07,2.2211172883146446e-06
1889,1.4159209094088965e-07,2.5242234915623385e-06
1890,1.1404632793698966e-07,2.2048955443665363e-06
1891,1.4278253157584686e-07,2.2602984817154947e-06
1892,1.4731003838974743e-07,2.5086585431211006e-06
1893,1.5272873232774486e-07,2.536651674489576e-06
1894,1.354831011823876e-07,2.5275473056751707e-06
1895,1.5768769712209973e-07,2.444159441949978e-06
1896,1.5214335458146877e-07,2.4779314813372366e-06
1897,1.7829743748087878e-07,2.5689980702736648e-06
1898,1.6239478961566078e-07,2.5966189696191577e-06
