year,aux_ADP armes_NOUN,aux_ADP charmes_NOUN
1800,4.5055876682909e-06,1.314260728690897e-06
1801,5.326705633024176e-06,1.7335008664076668e-06
1802,3.954263547711889e-06,1.3874608839614666e-06
1803,5.037726140244558e-06,1.6012284973498936e-06
1804,3.5841838155192818e-06,1.9280436944768553e-06
1805,4.460475167888944e-06,1.8109131048049676e-06
1806,4.890192485618172e-06,1.4869412723328423e-06
1807,5.150141731746771e-06,1.4177835971906916e-06
1808,4.566138983363999e-06,1.7720698863854523e-06
1809,6.795163983497332e-06,1.3328279919733177e-06
1810,5.557800932365353e-06,1.9797472461391408e-06
1811,5.0091395564777486e-06,1.1858472817039e-06
1812,4.7449634479335145e-06,1.4856349821457115e-06
1813,5.236725741042392e-06,1.8634806195905185e-06
1814,8.848456332088972e-06,1.5387251153242687e-06
1815,8.293962480365735e-06,1.2029617284525784e-06
1816,4.646795702001327e-06,1.0637802319024559e-06
1817,6.127853822590623e-06,1.198792563883444e-06
1818,6.849908658068671e-06,1.2541079073002948e-06
1819,7.469317466757275e-06,1.2669685318655866e-06
1820,8.154645911417902e-06,1.3943115639847292e-06
1821,6.809357842030295e-06,1.370746829820746e-06
1822,8.059592687459372e-06,1.3584709961378394e-06
1823,1.0460824171332206e-05,1.04855302396345e-06
1824,8.868273653206415e-06,1.0711655740180959e-06
1825,9.385722108845584e-06,1.0610558653922908e-06
1826,8.024074162449324e-06,9.882558380525097e-07
1827,7.277037013864174e-06,8.470673815708096e-07
1828,6.6490012500253215e-06,1.0199599138616122e-06
1829,6.461602936269628e-06,8.633188492979116e-07
1830,7.32978986661692e-06,1.1584887289473045e-06
1831,6.63561718283745e-06,7.780012118985269e-07
1832,6.2251389181255945e-06,9.281558792650912e-07
1833,6.381421059131753e-06,9.834500396266321e-07
1834,7.570304461523847e-06,7.579639147436978e-07
1835,8.227127295867831e-06,8.803434141668731e-07
1836,1.0247127988805005e-05,7.648213458111286e-07
1837,8.554030841878557e-06,6.234270397698083e-07
1838,1.1914205344965012e-05,6.451029381793205e-07
1839,8.987541264104948e-06,7.019441072841914e-07
1840,9.536697916701087e-06,6.223185566867073e-07
1841,7.790693416609429e-06,6.619585732892119e-07
1842,8.840152133871015e-06,7.0302618748741e-07
1843,7.148543943458208e-06,6.61574066640469e-07
1844,8.927144847348245e-06,8.216376308212148e-07
1845,7.456858810428457e-06,6.562348042749022e-07
1846,7.1161462642521656e-06,5.573485450938165e-07
1847,8.612978149358241e-06,5.042663904220035e-07
1848,9.10397318421019e-06,5.816695036742203e-07
1849,1.0158364602830261e-05,5.53041370920937e-07
1850,9.279878554480092e-06,5.824958462241625e-07
1851,8.590652555540146e-06,4.914472562234096e-07
1852,8.763194273342378e-06,6.256633966472691e-07
1853,7.547924440132192e-06,6.121230331501692e-07
1854,7.4297999503869505e-06,6.510167356310603e-07
1855,8.378592383451178e-06,8.013474932511144e-07
1856,6.599363075565634e-06,6.269576102724272e-07
1857,7.310059800147428e-06,6.365487585924257e-07
1858,8.269822842521535e-06,6.40582207722673e-07
1859,8.29158562964949e-06,6.573995623426754e-07
1860,9.684863698566915e-06,6.138003456612751e-07
1861,8.507127006396331e-06,5.494098012093218e-07
1862,7.377871725111618e-06,6.338734568345217e-07
1863,7.579337079732795e-06,6.143383703971494e-07
1864,6.820021042130975e-06,5.384479617731586e-07
1865,8.44596161186928e-06,5.780004741495759e-07
1866,8.036532676669594e-06,5.181878002247231e-07
1867,7.663074484298704e-06,4.5373787393998555e-07
1868,7.912690364264563e-06,4.786738054818329e-07
1869,7.914231218819623e-06,4.5319058372683685e-07
1870,7.82066905458123e-06,5.137707468350072e-07
1871,8.067846465564799e-06,4.5777275348157787e-07
1872,1.1216000075364718e-05,4.5959778205428847e-07
1873,7.960188554534398e-06,4.908523649760355e-07
1874,7.051831289572874e-06,3.8237497790305497e-07
1875,7.236587634906755e-06,4.4913988972439256e-07
1876,6.344083345766194e-06,4.80658167489878e-07
1877,6.839169600425521e-06,4.805601943047577e-07
1878,9.326164501999301e-06,4.60782475730781e-07
1879,8.528006844699121e-06,3.6778137424420265e-07
1880,7.119958866041998e-06,4.498910204375761e-07
1881,7.44384925610575e-06,4.4902949802860803e-07
1882,6.176862882512069e-06,4.452452717629285e-07
1883,6.77433115470194e-06,4.6383947704953243e-07
1884,6.8842493874399224e-06,3.703551927358717e-07
1885,6.504291150122299e-06,3.7384687257002724e-07
1886,7.653808381746785e-06,4.1173100306934884e-07
1887,6.21945378043165e-06,3.963057269018577e-07
1888,7.112267638831327e-06,3.214691632891231e-07
1889,7.437343867877644e-06,3.765347056372548e-07
1890,6.103444803784441e-06,3.781881101616591e-07
1891,6.333424863669279e-06,2.925766997563528e-07
1892,5.627243751860078e-06,3.353654232096659e-07
1893,6.074662138644271e-06,3.263960772770247e-07
1894,6.702947416670213e-06,3.3209113325938233e-07
1895,6.180515441656098e-06,2.8889349867888825e-07
1896,5.385166645055506e-06,3.113631397155814e-07
