year,des_DET aises_NOUN,des_DET chaises_NOUN
1800,3.144164484325529e-09,5.753820873088955e-07
1801,4.7623651688866175e-09,4.809989040399643e-07
1802,2.0140561218795483e-08,3.8043282302169246e-07
1803,5.851017448321727e-09,5.694990363735997e-07
1804,9.887403784603066e-09,6.154908938071912e-07
1805,1.421438877713399e-08,6.737620079633189e-07
1806,2.881669125542885e-09,5.187004363804704e-07
1807,0.0,3.7579808420673544e-07
1808,0.0,6.118399813459519e-07
1809,1.581321384946932e-08,6.867453032910475e-07
1810,2.3401267590372754e-09,4.5398459747048037e-07
1811,0.0,5.289931834795425e-07
1812,2.1337665856435706e-08,3.5740589865440597e-07
1813,1.4378708002027452e-08,5.866512822194636e-07
1814,3.1466771410748606e-09,4.4997483072961586e-07
1815,5.394447111228828e-09,3.587307195740408e-07
1816,9.270415546325239e-09,5.747657905175174e-07
1817,1.2454987263765815e-08,4.187989448567464e-07
1818,2.384235475716423e-09,5.662559114938404e-07
1819,2.898294049202832e-08,3.767782104091566e-07
1820,2.3732962262101864e-08,5.233118418601634e-07
1821,1.676452932031225e-08,4.358777854207574e-07
1822,2.5064039732569654e-08,5.002782046403809e-07
1823,2.9648060007048116e-08,5.079701228538624e-07
1824,7.57900142644985e-09,4.673717519665388e-07
1825,7.044354433105582e-09,5.362514787776718e-07
1826,1.4092774947016551e-08,4.465648180129733e-07
1827,9.217273055917019e-10,5.207759379288746e-07
1828,1.8344602503717056e-09,3.8523665080170133e-07
1829,6.001223074036943e-09,4.2094293384309367e-07
1830,1.878630406793036e-08,5.782007193033678e-07
1831,3.1182412207897414e-09,4.848864909590134e-07
1832,1.0823975493678972e-08,4.735489405049975e-07
1833,3.359252431778259e-08,5.305301797875472e-07
1834,1.213489042584115e-08,6.403488015394032e-07
1835,3.479020449503878e-08,6.141227473221988e-07
1836,6.72075017860152e-09,5.477411324505965e-07
1837,1.87863058442872e-08,4.682660605936917e-07
1838,1.2624323808552163e-08,4.292270094907735e-07
1839,2.7965900706306e-09,5.774958751203485e-07
1840,2.7389662093924017e-08,4.694460411514001e-07
1841,7.0626033910059505e-09,4.6484772031618604e-07
1842,7.379091560011375e-09,4.715910471020379e-07
1843,2.5990408047960045e-08,4.737342793603716e-07
1844,2.5247381074677833e-08,4.972636498123961e-07
1845,1.8414752389617206e-08,4.413960295046593e-07
1846,1.0538101946622191e-08,4.982180588086749e-07
1847,6.47186837454683e-09,4.773002837410445e-07
