year,autres_ADJ armes_NOUN,autres_ADJ charmes_NOUN
1800,1.2702424783128663e-06,2.829747991484055e-08
1801,1.1929724905712646e-06,1.73826322225068e-07
1802,1.1950066891586175e-06,1.1189200677108602e-07
1803,1.2287136996746995e-06,1.170203560718619e-07
1804,1.1889602546943934e-06,1.038177401824214e-07
1805,1.137151116381574e-06,1.6772978028711805e-07
1806,1.0287558325217105e-06,5.4751712497136396e-08
1807,1.187180259876186e-06,9.679647661187119e-08
1808,1.1149084002681775e-06,6.118399653587403e-08
1809,1.2289126516407123e-06,4.51806094758922e-08
1810,1.2777092024407466e-06,7.488405628919281e-08
1811,1.2861303275712999e-06,5.515568801683912e-08
1812,1.0188734904659213e-06,4.267533171287141e-08
1813,9.748764568939805e-07,6.901780125190271e-08
1814,9.219763796863845e-07,4.090680150170556e-08
1815,7.039753313620167e-07,5.394447111228828e-09
1816,1.179660330308252e-06,9.733936678912869e-08
1817,1.0322070238544256e-06,8.874178547557676e-08
1818,1.3089452295389492e-06,5.96058882251782e-08
1819,1.1179133707628353e-06,7.970308502081025e-08
1820,1.2875132142653456e-06,4.6279275522920216e-08
1821,1.2188799018986174e-06,9.2697987952306e-08
1822,1.136904870691069e-06,7.920236555492011e-08
1823,1.411247694704798e-06,2.9648060007048116e-08
1824,1.7086438219848787e-06,6.82110155025839e-08
1825,1.5365498029495939e-06,7.836844417852262e-08
1826,1.2974161336387624e-06,6.165588928297439e-08
1827,1.3162266441213433e-06,5.438191053031005e-08
1828,1.1648822919596569e-06,7.521286704559316e-08
1829,1.2285361208341783e-06,6.258418494553553e-08
1830,1.291036596740014e-06,3.235419043789989e-08
1831,1.400090354763961e-06,2.6505050598757407e-08
1832,1.469354629080044e-06,3.92369123858316e-08
1833,1.1375122994650155e-06,2.6642345218874652e-08
1834,1.2106886515539372e-06,4.0138484536100805e-08
1835,1.208581466016767e-06,3.1764969321557146e-08
1836,1.506120042904513e-06,4.2340726480460944e-08
1837,1.1487477422633674e-06,6.331680424409569e-08
1838,1.4480099252978107e-06,4.229148586887277e-08
1839,1.2976178140888806e-06,1.957613093850341e-08
1840,1.1529136827448383e-06,5.350538501147639e-08
1841,1.2744789046337246e-06,2.3113974734201292e-08
1842,1.4369103382705362e-06,4.159124245006751e-08
1843,9.510126801615115e-07,2.126487963494128e-08
1844,9.77512740973907e-07,5.598332464273881e-08
1845,1.160687361334567e-06,2.1204865419122143e-08
1846,9.320365847997891e-07,4.5665110803838616e-08
1847,1.0764874787128065e-06,2.7505439703645607e-08
1848,1.0217431736236904e-06,2.172209789819135e-08
1849,9.552533128953655e-07,1.508294644736452e-08
1850,9.314502449342399e-07,1.4935791270431764e-08
1851,1.090600108000217e-06,2.4507867735223954e-08
1852,9.524927691018092e-07,2.8646400807019745e-08
