year,trois_DET ans_NOUN,trois_DET chants_NOUN
1800,1.93460442687865e-05,1.0690159513160324e-07
1801,1.921852387454237e-05,1.0000967165524344e-07
1802,1.812650532428961e-05,9.398928568771225e-08
1803,1.9860304064422962e-05,9.1665940615826e-08
1804,1.925324747276136e-05,1.5078291148995504e-07
1805,1.8291075008392e-05,1.84787051216162e-07
1806,1.8307243692561315e-05,3.5732696801460406e-07
1807,2.1013375345546592e-05,1.1387820331165699e-07
1808,2.1681795999484166e-05,3.942968689329973e-07
1809,2.4754456489972654e-05,1.219876448743662e-07
1810,1.842849906097399e-05,1.6848912798295146e-07
1811,2.4130613496708975e-05,1.855236746450828e-07
1812,1.9804021121672122e-05,5.174384241080077e-07
1813,2.2189222022461763e-05,4.5436718676405974e-07
1814,1.9811480115095037e-05,2.171207285073251e-07
1815,1.827638595841563e-05,1.4295284245235962e-07
1816,1.7952158827938547e-05,2.850652833785716e-07
1817,1.7735900939896965e-05,1.510167241258742e-07
1818,2.3205764250633365e-05,1.1325118265403944e-07
1819,2.2830276066088118e-05,1.666519011678247e-07
1820,2.1085551111355016e-05,1.6375744316121654e-07
1821,2.109963963903283e-05,1.5975611700191905e-07
1822,1.938653258548584e-05,1.8547389402101544e-07
1823,1.908445744902565e-05,1.353928098524193e-07
1824,1.858034329416114e-05,1.625274705929769e-07
1825,2.2171224827616243e-05,1.769894026892871e-07
1826,2.0900465926843026e-05,1.3916614705067332e-07
1827,2.194909291119984e-05,1.8434545445700223e-07
1828,1.975897180273023e-05,1.293294407678225e-07
1829,2.0981134241537802e-05,1.6717693673840017e-07
1830,1.92455246406098e-05,1.0749940604348751e-07
1831,2.031845974670432e-05,8.731075240575592e-08
1832,2.134758483407495e-05,1.2582871122823747e-07
1833,2.0980268345738295e-05,1.2394482418187636e-07
1834,2.182319985877257e-05,9.894602848170564e-08
1835,1.990907207982673e-05,9.756383434478266e-08
1836,2.112533366016578e-05,6.519127387916157e-08
1837,2.2794051346863853e-05,1.0645572856571306e-07
1838,2.111228877765825e-05,1.180374269438289e-07
1839,2.050669559139351e-05,1.712911394946559e-07
1840,2.202765739411916e-05,1.197501504068832e-07
1841,2.1867745886083867e-05,8.860356759399224e-08
