year,quelques_DET airs_NOUN,quelques_DET chairs_NOUN
1800,3.4585809238762977e-07,0.0
1801,2.809795489611133e-07,1.904946067554647e-08
1802,2.0140561218795483e-07,2.2378401354217203e-09
1803,1.8918289867997373e-07,0.0
1804,4.202146612897195e-07,1.730295728918918e-08
1805,3.041879172993589e-07,0.0
1806,3.429186392622796e-07,0.0
1807,1.992868590150465e-07,0.0
1808,1.450287356874469e-07,2.2660739951163578e-09
1809,1.8524050737767084e-07,2.259030518203531e-09
1810,2.948559623128233e-07,0.0
1811,1.5293167621166504e-07,5.0141535368197765e-09
1812,5.521121124729689e-07,5.3344164641089264e-09
1813,5.665210984773239e-07,0.0
1814,2.6117418938653714e-07,3.1466771410748606e-09
1815,1.8071397800412115e-07,2.697223555614414e-09
1816,1.2515060632267705e-07,0.0
1817,2.6933909857973504e-07,1.556873407970727e-09
1818,2.0266001610202977e-07,5.960588467246453e-09
1819,1.9977527188075328e-07,7.24573512300708e-09
1820,2.254631459308598e-07,0.0
1821,2.1004970562898961e-07,3.94459531705138e-09
1822,1.9148926355683216e-07,6.015369535816717e-09
1823,1.8381797417532653e-07,0.0
1824,1.1957980028398651e-07,1.6842225392110777e-09
1825,2.932212508355292e-07,5.283265824829186e-09
1826,1.1186140369545683e-07,8.807984341885344e-10
1827,1.4931982822430356e-07,1.8434546111834038e-09
1828,1.6051527040872315e-07,3.668920500743411e-09
1829,1.8603791507310063e-07,8.57317605795771e-10
1830,3.1832348135196753e-07,1.3567886369969528e-08
1831,1.38761739654214e-07,6.236482441579483e-09
1832,1.4882965615470312e-07,1.3529969367098715e-09
1833,3.104412300558579e-07,1.1583628500844156e-09
1834,2.2962945855908856e-07,3.733812370398937e-09
1835,2.1101014624491654e-07,0.0
1836,1.8885307717653177e-07,9.409050427677812e-09
1837,2.0456199401053254e-07,3.478945576063097e-09
1838,1.6979716122023092e-07,3.787297142565649e-09
1839,1.7059198764712846e-07,4.894032734625853e-09
1840,1.7389249640231697e-07,1.9109065441114126e-09
1841,1.489567313939233e-07,3.852329122366882e-09
1842,1.2678621041928295e-07,5.366612043644636e-09
1843,1.5417037246834298e-07,4.134837805480629e-09
1844,1.1306436009661525e-07,1.097712254427563e-09
1845,6.807878349945895e-08,1.2834524554250493e-08
1846,8.313391930414582e-08,1.7563503984519002e-09
1847,8.41342897572872e-08,8.089835468183537e-09
1848,7.642960653253539e-08,3.218088684420195e-09
1849,7.122502498901895e-08,0.0
1850,7.53578577317171e-08,0.0
1851,6.90089914101577e-08,5.159551008659946e-09
1852,1.2109614822009007e-07,6.510545436100301e-10
1853,1.260077588938202e-07,4.180352064508952e-09
1854,1.1534374833033212e-07,2.0782657816909023e-09
1855,9.127931832608738e-08,8.491099379170919e-09
1856,9.991975602474668e-08,1.5531567143511893e-09
1857,1.0446429238308852e-07,2.9289055625270066e-09
1858,1.3506546281405463e-07,4.893676130990343e-09
1859,1.2934120241503422e-07,1.018434669930457e-09
1860,1.281611448078479e-07,9.154367819341758e-10
1861,1.4713807061639272e-07,4.715963730639317e-10
1862,1.486417464668932e-07,2.2589932147099034e-09
1863,1.378515337435715e-07,1.4983863039219614e-09
1864,1.3808816845539695e-07,2.3973640850272204e-09
1865,9.225414704383539e-08,3.765475486972036e-09
1866,1.0363755720277368e-07,1.4596839292835284e-09
1867,1.2374669466908017e-07,1.94112459439566e-09
1868,1.1015918943702019e-07,4.939874287401835e-09
1869,1.2159963236335614e-07,4.883519366671862e-09
1870,1.536725093842506e-07,2.8670243956696595e-09
1871,6.266494367856978e-08,4.248470908407853e-09
1872,8.829115505371021e-08,6.047339518033823e-09
1873,8.200826018267549e-08,1.7958012854535355e-09
1874,9.499628728093512e-08,5.377148060148329e-09
1875,1.218685312665002e-07,2.8607636259891933e-09
1876,1.0520065596431039e-07,6.04601479992084e-09
1877,1.9667715378535178e-07,3.710889595609501e-09
1878,2.9349971697456567e-07,6.039088673581716e-10
1879,1.3501609119614955e-07,6.109325489944695e-09
1880,1.9574431320279473e-07,6.417846254436199e-10
1881,1.1922988063517437e-07,9.064259565150223e-09
1882,1.1713477610086898e-07,2.6621540527571597e-09
1883,1.2385904391010172e-07,1.2638677882037541e-09
1884,1.3335427606619987e-07,1.9805090900604227e-09
1885,1.0248560755599101e-07,2.5782542767416317e-09
1886,9.292987668274577e-08,1.2906927748801422e-09
1887,7.442974159221905e-08,0.0
1888,8.179393273799462e-08,1.268122939990235e-09
1889,7.580815619689929e-08,1.2530273485467092e-09
1890,6.554386655643896e-08,4.5880703680722945e-09
1891,8.350228242193225e-08,1.2748440081367107e-09
1892,5.140180192597654e-08,4.387958441043338e-09
1893,6.89742667425719e-08,1.2316833108982905e-09
1894,1.0649601733803138e-07,0.0
1895,6.861220569476245e-08,1.2037228991346183e-09
1896,7.607167251677538e-08,3.5382172747233653e-09
1897,6.817254760704827e-08,1.7480140668268973e-09
1898,5.4320205666869015e-08,5.6583548957434e-10
1899,6.909473171390346e-08,5.527578395003729e-10
1900,8.772879833696123e-08,6.748368974740515e-09
1901,6.985923667324201e-08,5.588738916095792e-10
1902,5.990546014800202e-08,3.437198747846537e-09
1903,4.158169653045718e-08,1.0800440541913758e-09
1904,5.8045952933127865e-08,5.374625189347171e-10
1905,5.212366521734069e-08,5.160759042333041e-10
1906,4.835533462532737e-08,1.0288369045596824e-09
1907,7.508551180812617e-08,5.142843373384665e-10
1908,7.367083521003792e-08,4.911389073214423e-10
1909,7.206288454852938e-08,5.500983557560346e-10
1910,5.4510337355040406e-08,5.344150677544235e-10
1911,4.735132996813718e-08,3.7242617878519013e-09
1912,7.501566834378082e-08,5.209421227725386e-10
1913,1.2727175668914015e-07,1.060597942803554e-09
1914,8.370929860390675e-08,0.0
1915,3.887651434109074e-08,0.0
1916,1.2086207812345151e-08,1.0987462051303964e-09
1917,4.934891073560266e-08,0.0
1918,3.79050408838566e-08,0.0
1919,5.7088659133341935e-08,8.287063479883727e-09
1920,5.3762844842708546e-08,2.2716695191604686e-09
1921,1.1207665906454167e-07,0.0
1922,1.1804696997685937e-07,0.0
1923,6.900366411599634e-08,1.0615948120573648e-09
1924,7.09039369439779e-08,0.0
1925,6.708888511397504e-08,1.4297631523163545e-08
1926,6.79914426982009e-08,1.1146138456652466e-09
1927,1.0814748030441024e-07,0.0
1928,8.798051664982154e-08,1.1426041224282812e-09
1929,8.800921280638363e-08,0.0
1930,1.0503603853351251e-07,6.302162347537887e-09
1931,7.299428173013212e-08,0.0
1932,9.425201463741928e-08,1.0959536611565568e-09
1933,9.520649668637304e-08,1.1470662197865522e-09
1934,9.585264137967897e-08,4.7926320689839486e-09
1935,9.574627135577884e-08,2.393656828303392e-09
1936,7.153581371710516e-08,1.2124714565686645e-09
1937,4.910535889024459e-08,5.0364472592434595e-09
1938,5.963998495062128e-08,0.0
1939,3.211750687626136e-08,0.0
1940,7.100191878883777e-08,2.5357829169792012e-09
1941,1.1215709783130023e-07,0.0
1942,6.371844740726829e-08,0.0
1943,6.677441199975931e-08,2.9032352077962287e-09
1944,8.675602458652065e-08,0.0
1945,7.842614380138002e-08,0.0
1946,8.909507087651036e-08,0.0
1947,7.152522862874378e-08,0.0
1948,9.45854274903013e-08,0.0
1949,6.282885278707795e-08,0.0
1950,4.147791021757996e-08,8.508289184305795e-09
1951,5.970384997500133e-08,1.0661401761424827e-09
1952,5.799642188719645e-08,0.0
1953,6.464296520292123e-08,1.0773827385790469e-09
1954,5.277169434769746e-08,1.9545072227344917e-09
1955,7.883910368988722e-08,1.8771215692936494e-09
1956,7.936238799466366e-08,3.488456634670456e-09
1957,8.39328593293942e-08,0.0
1958,5.4596806187134916e-08,8.272243445794913e-10
1959,4.2629114460623896e-08,1.5501495642666896e-09
1960,9.550750013076481e-08,6.920833350854139e-10
1961,6.114380157740129e-08,1.3896318540318475e-09
1962,6.278537156845232e-08,1.9025869768540815e-09
1963,8.729172185084622e-08,0.0
1964,4.623815813564747e-08,1.8251904432275978e-09
1965,8.59110838580257e-08,1.6416130677043839e-09
1966,7.366969256850098e-08,5.539074754423723e-10
1967,7.642020039000386e-08,3.944268467392931e-09
1968,1.3833560785769805e-07,0.0
1969,6.994306778196346e-08,2.7250546263957176e-09
1970,7.909806853945156e-08,1.8394900047624674e-09
1971,9.300499703712717e-08,0.0
1972,1.769900617176745e-07,1.0260293725750103e-09
1973,7.167164683963279e-08,5.513203782392395e-10
1974,5.569315963960264e-08,5.625571675160757e-10
1975,5.140332159925265e-08,1.7134440533084216e-09
1976,6.284879372486785e-08,1.7140580066410394e-09
1977,4.936496633689558e-08,5.876781838942691e-10
1978,7.36633321007929e-08,1.1881182704343018e-09
1979,4.915657725312883e-08,1.7555920051037788e-09
1980,5.855705387247667e-08,2.2740602734216964e-09
1981,6.768337890150633e-08,1.2651099057237047e-09
1982,6.642027328140898e-08,6.207502289967692e-10
1983,6.94684785251809e-08,6.315316047889041e-10
1984,6.958810372381663e-08,1.1598016991243298e-09
1985,5.5343134963692364e-08,0.0
1986,4.975422962516518e-08,1.1988970927134801e-09
1987,6.966331089763855e-08,0.0
1988,5.396898550280582e-08,0.0
1989,6.366221461107102e-08,2.1952488715726304e-09
1990,5.993515972413377e-08,0.0
1991,8.968041687040795e-08,5.861465202094962e-10
1992,7.052728356882199e-08,5.509944167592096e-10
1993,6.813224939783424e-08,0.0
