year,serez_VERB au_ADP
1800,7.860410988769218e-08
1801,1.7858869227893592e-07
1802,7.608656460433849e-08
1803,1.5407680109547073e-07
1804,1.1123329102247226e-07
1805,1.051864728651708e-07
1806,1.556101381083863e-07
1807,7.686778502602465e-08
1808,4.985362878073829e-08
1809,5.6475762733043666e-08
1810,8.190443878675069e-08
1811,7.52123057168319e-08
1812,5.601137331723294e-08
1813,1.2940837734731758e-07
1814,7.552024783308298e-08
1815,2.6972236000233352e-08
1816,1.0892738089296472e-07
1817,1.292204956371279e-07
1818,1.3590141634267638e-07
1819,1.1075623262968293e-07
1820,1.59010852485153e-07
1821,1.784929395398649e-07
1822,1.1529458276982041e-07
1823,1.4231069656034379e-07
1824,1.0779024250950897e-07
1825,9.5979331149465e-08
1826,9.160303449107232e-08
1827,1.0784209791836474e-07
1828,9.630916508740484e-08
1829,9.601956918459109e-08
1830,8.036363396968227e-08
1831,1.6058942264862708e-07
1832,1.0282776941039629e-07
1833,8.456049016558609e-08
1834,1.3815105148751172e-07
1835,1.194967893525245e-07
1836,1.0013917517426307e-07
1837,1.5168201628057432e-07
1838,9.405120948713375e-08
1839,1.0067724076634477e-07
1840,1.0255198645836572e-07
1841,1.1043343306482711e-07
1842,7.71450459069456e-08
1843,9.923610377882142e-08
1844,1.438003067733007e-07
1845,1.0714038012338278e-07
1846,1.4226438338482694e-07
1847,7.172987182002544e-08
1848,6.757986170669028e-08
1849,1.1647387054836145e-07
1850,6.517436190733861e-08
1851,6.44943867200709e-08
1852,8.984552835045179e-08
1853,9.077336216023468e-08
1854,9.300239156573298e-08
1855,9.97704177052583e-08
1856,8.645906035553708e-08
1857,6.150701636897793e-08
1858,1.1353328233099091e-07
1859,7.485494535330872e-08
1860,9.749401641556688e-08
1861,1.1176834391335433e-07
1862,1.5090074612089666e-07
1863,1.0438757414021893e-07
1864,8.678457419364349e-08
1865,1.0260920646487648e-07
1866,9.877194173668613e-08
1867,9.220342178650753e-08
1868,9.632754682797895e-08
1869,8.25314714347769e-08
1870,9.747883211730368e-08
1871,6.585129597169725e-08
1872,5.865918950576088e-08
1873,8.32054638522095e-08
1874,7.05003913026303e-08
1875,9.955456903298909e-08
1876,1.1789728660005494e-07
1877,8.782438953858218e-08
1878,5.737134145533673e-08
1879,7.636656818021947e-08
1880,8.407378260244514e-08
1881,7.94865897546515e-08
1882,6.988154410692005e-08
1883,7.709593319304986e-08
1884,6.073561564789998e-08
1885,8.701608322780885e-08
1886,5.6145136539953455e-08
1887,5.6801642500659e-08
1888,5.896771781976895e-08
1889,7.079604813498008e-08
1890,7.078737240817645e-08
1891,6.629188931128738e-08
1892,4.952124754709075e-08
1893,3.695049954899332e-08
1894,6.427570298228602e-08
1895,4.754705429377282e-08
1896,7.784078093209246e-08
1897,6.118049356018673e-08
1898,5.035935757291554e-08
1899,6.246163763989898e-08
1900,4.879590065343109e-08
1901,5.085752263767063e-08
1902,4.2228439411928775e-08
1903,3.888158772724637e-08
1904,4.5146851590516235e-08
1905,6.605771574186292e-08
1906,5.452835694086389e-08
1907,6.222840198688573e-08
1908,5.451641982290312e-08
1909,5.886052534265218e-08
1910,4.008112952647025e-08
1911,5.2671705219609066e-08
1912,5.782457535019603e-08
1913,6.151468312509678e-08
1914,4.68772043404897e-08
1915,2.9451904026700504e-08
1916,6.702352095544484e-08
1917,3.838248474608008e-08
1918,2.2972752589112133e-08
1919,4.9722380879302364e-08
1920,5.6034515694136644e-08
1921,5.9067428281878165e-08
1922,6.64014194740048e-08
1923,6.688047449188161e-08
1924,9.024137170854374e-08
