year,vastes_ADJ champs_NOUN
1800,1.131899196593622e-07
1801,2.0716288418043405e-07
1802,2.1707049313590687e-07
1803,2.574447819370107e-07
1804,3.8808059343864443e-07
1805,1.194008660831969e-07
1806,2.1900684998854558e-07
1807,1.5942949005420815e-07
1808,2.628645745517133e-07
1809,2.620475356707175e-07
1810,2.1295153374012443e-07
1811,2.0307321335621964e-07
1812,2.1337666566978442e-07
1813,1.322841143291953e-07
1814,1.4160046646338742e-07
1815,1.7531952778426785e-07
1816,1.3905622608945123e-07
1817,1.7281294617532694e-07
1818,2.360393125400151e-07
1819,1.552657522552181e-07
1820,2.2190319270976033e-07
1821,2.1004970562898961e-07
1822,1.814636476638043e-07
1823,1.680056840314137e-07
1824,1.1536924660049408e-07
1825,1.4617035049013793e-07
1826,2.510275578515575e-07
1827,1.852671829283281e-07
1828,1.5317742452225502e-07
1829,1.8775256194203394e-07
1830,2.2021723111720348e-07
1831,3.2897443702495366e-07
1832,2.3542146720956225e-07
1833,3.5561740219236526e-07
1834,2.0629313723929954e-07
1835,1.7319470657639613e-07
1836,1.7473949753821216e-07
1837,1.4611570975375798e-07
1838,1.6979716122023092e-07
1839,1.4542268900186173e-07
1840,1.738925021754767e-07
1841,1.7014453135288932e-07
1842,2.019187803625755e-07
1843,1.66574892546123e-07
1844,1.9155078234689427e-07
1845,2.4050783054008207e-07
1846,1.6158423932211008e-07
1847,1.8822350966729573e-07
1848,1.689496542667257e-07
1849,2.2959596890359535e-07
1850,1.4460562169915647e-07
1851,1.5994608304481517e-07
1852,1.7252945383461338e-07
1853,2.2753060591185204e-07
1854,1.1430461910322265e-07
1855,1.5390116914204555e-07
1856,1.2839429075484077e-07
1857,1.4839787354503642e-07
1858,1.7715106537252723e-07
1859,1.675325052019616e-07
1860,2.0048065607625176e-07
1861,1.6175755490621668e-07
1862,1.9608060597420263e-07
1863,1.773090332335414e-07
1864,1.8267913048930495e-07
1865,2.249871613457799e-07
1866,1.5569960964967322e-07
1867,1.4752546917407017e-07
