year,sommes_VERB au_ADP
1800,5.69093799640541e-07
1801,5.262413651507813e-07
1802,5.393194442149252e-07
1803,3.666637837795861e-07
1804,4.5482056520995684e-07
1805,4.008457494819595e-07
1806,6.858372785245592e-07
1807,5.636970854538959e-07
1808,5.642524456561659e-07
1809,3.4563166195766826e-07
1810,5.709909487450204e-07
1811,3.560049037787394e-07
1812,4.1608447531871207e-07
1813,2.904499183387088e-07
1814,5.034683567828324e-07
1815,4.42344656903515e-07
1816,5.353664960239257e-07
1817,4.950857714902668e-07
1818,6.234776037672418e-07
1819,4.347440949459269e-07
1820,6.372300163093314e-07
1821,7.89905186593387e-07
1822,7.649545068488806e-07
1823,4.970991653863166e-07
1824,6.366361162690737e-07
1825,4.156169097768725e-07
1826,4.756311682285741e-07
1827,5.659405815094942e-07
1828,7.154395120778645e-07
1829,5.529698796635785e-07
1830,6.199480253599177e-07
1831,6.252073490031762e-07
1832,8.740360044612316e-07
1833,7.610444185957022e-07
1834,7.112912498996593e-07
1835,6.935351848369464e-07
1836,7.318896564356692e-07
1837,7.243164645842626e-07
1838,7.277922691173444e-07
1839,6.753764978384424e-07
1840,6.356949029395764e-07
1841,6.016053930579801e-07
1842,6.104521048655442e-07
1843,6.822482419011067e-07
1844,7.716917025391012e-07
1845,6.439582875827909e-07
1846,5.854501523572253e-07
1847,6.525800699819229e-07
1848,7.377468591585057e-07
1849,9.024630003295897e-07
1850,7.291381507457118e-07
1851,8.693843369655951e-07
1852,6.920709552105109e-07
1853,8.205434482988494e-07
1854,8.235128348133003e-07
1855,8.220445693041256e-07
1856,7.78131550305261e-07
1857,8.44012902234681e-07
1858,8.338823818121455e-07
1859,8.819644108370994e-07
1860,9.895871926346445e-07
1861,9.403631793247769e-07
1862,8.724231292944751e-07
1863,9.265021390092443e-07
1864,9.445614068681607e-07
1865,9.653738288761815e-07
1866,9.736091897138976e-07
1867,1.169527536148962e-06
1868,9.64757418842055e-07
1869,1.0973267308145296e-06
1870,1.1043778158636997e-06
1871,1.1492113571875961e-06
1872,1.1526228718139464e-06
1873,9.805074796531699e-07
1874,9.971622603188735e-07
1875,1.0733584758781944e-06
1876,1.0006154980146675e-06
1877,1.0606959222059231e-06
1878,9.263961828764877e-07
1879,1.0092605862155324e-06
1880,1.0576610520729446e-06
1881,1.1713813137248508e-06
1882,1.0761757494037738e-06
1883,1.1753970738936914e-06
1884,1.179723199129512e-06
1885,1.1653709179881844e-06
1886,1.0938621244349633e-06
1887,1.0648676607161178e-06
1888,1.1641368473647162e-06
1889,1.162809326160641e-06
1890,1.1011369451807695e-06
1891,9.516710406387574e-07
1892,1.2455534488253761e-06
1893,1.1380753903722507e-06
1894,1.2124161230531172e-06
1895,1.2067322359143873e-06
1896,1.0927194580290234e-06
1897,1.1117369922430953e-06
1898,1.1865570286317961e-06
1899,1.0557674841038533e-06
1900,1.033019543683622e-06
1901,1.0378288379797596e-06
1902,9.329539238933648e-07
1903,1.071403744390409e-06
1904,1.0937362731056055e-06
1905,1.0460859130034805e-06
1906,1.0195773256782559e-06
1907,1.0270258599121007e-06
1908,1.1659637948469026e-06
1909,1.048487433763512e-06
1910,1.1399073400752968e-06
1911,1.0598184871923877e-06
1912,1.1189837323399843e-06
1913,1.1162793498442625e-06
1914,1.1819752216979396e-06
1915,1.4902664133842336e-06
1916,1.5558246104774298e-06
1917,1.511173309154401e-06
1918,1.492080286880082e-06
1919,1.389464273415797e-06
1920,1.1858114703500178e-06
1921,1.1593875797188957e-06
1922,1.1413666243242915e-06
1923,1.2590514870680636e-06
1924,1.2247043059687712e-06
1925,1.1383114042473608e-06
1926,1.37208962769364e-06
1927,1.1494851150928298e-06
1928,1.1163242561451625e-06
1929,1.1318652468617074e-06
1930,1.2037129408781766e-06
1931,1.1736111673599225e-06
1932,1.2000692777291988e-06
1933,1.2353903002804145e-06
1934,1.1813838227681117e-06
1935,1.1501521157697425e-06
1936,1.0803120176205994e-06
1937,1.0916498922597384e-06
1938,1.1227875802433118e-06
1939,1.0965834462695057e-06
1940,1.0422068044135813e-06
1941,1.295709694204561e-06
1942,1.2440268619684502e-06
1943,1.419682007508527e-06
1944,1.397736014041584e-06
1945,1.5641659274479025e-06
1946,1.5132239923332236e-06
1947,1.4603067484131316e-06
1948,1.5090180340848747e-06
1949,1.2094553767383331e-06
1950,1.4357738109538332e-06
1951,1.4307601077234722e-06
1952,1.3391901347858948e-06
1953,1.3133295624356833e-06
1954,1.2723842246487038e-06
1955,1.27644261738169e-06
1956,1.3334625919014798e-06
1957,1.1918465361304698e-06
1958,1.201129748551466e-06
1959,1.2277184850972844e-06
1960,1.2540549505501986e-06
1961,1.3611444273919915e-06
1962,1.2918565062136622e-06
1963,1.2382491831886e-06
1964,1.2952768884133548e-06
1965,1.2158880053902976e-06
1966,1.2169347201052005e-06
1967,1.1896900105057284e-06
1968,1.3393402014116873e-06
1969,1.2190077995910542e-06
1970,1.2618901337191346e-06
1971,1.1993020052614156e-06
1972,1.1070857226513908e-06
1973,1.1362712939444464e-06
1974,1.1628056881818338e-06
1975,1.0486277233212604e-06
1976,1.2129817150707822e-06
1977,1.1888729432030232e-06
1978,1.1988113328698091e-06
1979,1.139964410867833e-06
1980,1.2928032901982078e-06
1981,1.195528852804273e-06
1982,1.282469952457177e-06
1983,1.2131722542108037e-06
1984,1.273462316930818e-06
1985,1.2337909538473468e-06
1986,1.2294689213376842e-06
1987,1.1726657476174296e-06
1988,1.2095049441995798e-06
1989,1.27489079204679e-06
1990,1.2738945542878355e-06
1991,1.3200019566284027e-06
1992,1.2557162563098245e-06
1993,1.291189278163074e-06
1994,1.3546011814469239e-06
1995,1.3089796766507789e-06
1996,1.3291850109453662e-06
1997,1.2634546919798595e-06
1998,1.2916862033307552e-06
1999,1.2901678019261453e-06
2000,1.2675332072831225e-06
2001,1.3323265193321276e-06
2002,1.3590548633146682e-06
2003,1.3396656868280843e-06
2004,1.3024967984165414e-06
2005,1.300682924920693e-06
2006,1.3910232610214734e-06
2007,1.3832882359565701e-06
2008,1.4266680636865203e-06
2009,1.439994093743735e-06
2010,1.593807724020735e-06
2011,1.6752820783949574e-06
2012,1.7555731801621732e-06
2013,1.814883717088378e-06
2014,1.9958908978878753e-06
2015,1.8869706082114135e-06
2016,1.937945853569545e-06
2017,1.9023052573174937e-06
2018,1.9841152152366703e-06
2019,2.016045527852839e-06
