year,très_ADV eu_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,8.645007376628655e-09
1807,8.540865348294346e-09
1808,9.064295980465431e-09
1809,2.0331274441787173e-08
1810,2.3401267590372754e-09
1811,5.0141535368197765e-09
1812,1.600324850414836e-08
1813,1.4378708002027452e-08
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,4.670620334934483e-09
1818,3.5763532135746345e-09
1819,7.24573512300708e-09
1820,7.119888678630559e-09
1821,7.88919063410276e-09
1822,5.012807946513931e-09
1823,5.929612356680991e-09
1824,4.210556348027694e-09
1825,7.044354433105582e-09
1826,3.5231937367541377e-09
1827,1.3825909306319772e-08
1828,9.172301251858528e-10
1829,3.429270423183084e-09
1830,6.262101504006523e-09
1831,6.236482441579483e-09
1832,6.764984572527055e-09
1833,6.950177322551099e-09
1834,4.667265462998671e-09
1835,1.3613558280667348e-08
1836,1.1425274948351216e-08
1837,2.7831563720326358e-09
1838,2.5248647617104325e-09
1839,6.9914749545318955e-09
1840,5.732719632334238e-09
1841,2.5682194149112547e-09
1842,4.024959032733477e-09
1843,9.451057714215949e-09
1844,7.1351298203126134e-09
1845,8.37034175305007e-09
1846,5.854501106128396e-09
1847,5.3932236454556914e-09
1848,7.24069959545659e-09
1849,8.379414939696517e-10
1850,6.1100964288129944e-09
1851,3.8696632564949596e-09
1852,4.557382027314816e-09
1853,2.388772735173461e-09
1854,3.117398783558656e-09
1855,2.653468555990912e-09
1856,4.141751386299575e-09
1857,2.4407544874094356e-09
1858,2.936205500958522e-09
1859,1.5276520048956854e-09
1860,5.950338888283113e-09
1861,2.8295783494058924e-09
1862,4.066187636597718e-09
1863,3.995696662428827e-09
1864,2.3973640850272204e-09
1865,4.23615986733239e-09
1866,4.865612801552288e-09
1867,6.308654931785895e-09
1868,1.4819622196071691e-09
1869,2.441759683335931e-09
1870,2.2936195165357276e-09
1871,2.1242354542039266e-09
1872,3.0236697590169115e-09
1873,5.38740402289406e-09
1874,5.974609140757536e-09
1875,2.8607636259891933e-09
1876,1.209202959984168e-09
1877,1.2369631985365004e-09
1878,3.6234530931267273e-09
1879,1.832797580370027e-09
1880,7.701415505323439e-09
1881,1.1853263259808955e-08
1882,5.989846840748214e-09
1883,6.319338829996468e-09
1884,1.1222884843675729e-08
1885,1.2246707647989297e-08
1886,1.936039190075789e-08
1887,1.3057849523878673e-08
1888,1.2681229177857745e-08
1889,1.3783300722991498e-08
1890,1.3108773011527575e-08
1891,2.039750413018737e-08
1892,1.5044429702015805e-08
1893,7.390100087434348e-09
1894,1.2603078580752936e-08
1895,1.745398225949657e-08
1896,1.7101383420481397e-08
1897,1.2236098356765979e-08
1898,1.4711722617910539e-08
1899,1.1607914629507832e-08
1900,9.34389543516545e-09
1901,1.2854099118442264e-08
1902,1.4730851927158284e-08
1903,1.1340462791054051e-08
1904,1.2361637935498493e-08
1905,1.1353670004154992e-08
1906,9.773950260250075e-09
1907,1.2857107989372452e-08
1908,5.40252820258047e-09
1909,1.5402754349747028e-08
1910,1.336037680488289e-08
1911,1.170482277768059e-08
1912,1.2502610502451716e-08
1913,8.484783153850373e-09
1914,1.4063161857258422e-08
1915,1.6493066246070498e-08
1916,8.789969641043172e-09
1917,1.4256351654751143e-08
1918,1.2635013924011673e-08
1919,1.1970203106503874e-08
1920,1.1358347151713133e-08
1921,7.572747762196741e-09
1922,1.2542490324118916e-08
1923,5.307974060286824e-09
1924,1.675911143195208e-08
1925,6.598906754362588e-09
1926,1.0031524944054127e-08
1927,6.689535148041159e-09
1928,1.0283437212876834e-08
1929,3.342121912552898e-09
1930,8.402882833991043e-09
1931,1.2545892325022123e-08
1932,4.383814644626227e-09
1933,1.0323596200123575e-08
1934,3.5944740517379614e-09
1935,3.590485242455088e-09
1936,1.091224355320719e-08
1937,6.295559074054324e-09
1938,6.482607339819424e-09
1939,3.058810094103137e-09
1940,0.0
1941,0.0
1942,0.0
1943,5.806470415592457e-09
1944,0.0
1945,6.535512131478072e-09
1946,2.7842208538686464e-09
1947,3.5762612871081956e-09
1948,6.523132700664291e-09
