year,deux_DET eaux_NOUN,deux_DET chauds_ADJ
1800,3.8673223912155663e-07,0.0
1801,3.119349116786907e-07,0.0
1802,7.250602038766374e-07,0.0
1803,2.554944273924775e-07,0.0
1804,2.644880510160874e-07,0.0
1805,3.0703080255989335e-07,0.0
1806,1.556101381083863e-07,0.0
1807,1.9074599322266295e-07,0.0
1808,3.580396992219903e-07,0.0
1809,4.947276579514437e-07,0.0
1810,2.0593115834799391e-07,0.0
1811,2.1310152220621603e-07,0.0
1812,1.2802598803318688e-07,0.0
1813,3.077043686516845e-07,0.0
1814,9.125363931161701e-08,0.0
1815,1.4834729711310501e-07,0.0
1816,3.383701709935849e-07,0.0
1817,1.977229260319291e-07,0.0
1818,2.84916149784209e-07,0.0
1819,2.6291667154509923e-07,0.0
1820,1.96983592104516e-07,0.0
1821,2.1202200173320307e-07,0.0
1822,1.5539704634193185e-07,0.0
1823,1.9765373338032077e-07,0.0
1824,1.8779081756292726e-07,0.0
1825,2.606411271255382e-07,0.0
1826,3.805049288985174e-07,0.0
1827,2.562401846262219e-07,0.0
1828,1.742737225640667e-07,0.0
1829,2.734843072005333e-07,0.0
1830,2.2752301731543412e-07,0.0
1831,2.229542468423773e-07,0.0
1832,2.1783250758744543e-07,0.0
1833,2.6294836175111413e-07,0.0
1834,2.5016544213940506e-07,9.334530925997342e-10
1835,2.9269151013977535e-07,0.0
1836,2.1371985781115654e-07,0.0
1837,3.082345728655511e-07,0.0
1838,2.379685055675651e-07,0.0
1839,1.8177836125232716e-07,0.0
1840,1.9554944685751252e-07,0.0
1841,2.3370796498056734e-07,0.0
1842,1.9319803179485007e-07,0.0
1843,1.9374668625005143e-07,0.0
1844,1.877087925095111e-07,0.0
1845,2.2209307815046486e-07,3.9061593959388574e-09
1846,2.3944911009543546e-07,6.439951683034906e-09
1847,1.65032645327301e-07,6.47186837454683e-09
1848,1.5125016261663404e-07,8.045221711050488e-10
1849,1.5585712276333652e-07,0.0
1850,1.6904599853262425e-07,0.0
1851,1.5027193001060368e-07,0.0
1852,2.0833745395520964e-07,0.0
1853,2.538071157687227e-07,0.0
1854,1.8964175563240815e-07,0.0
1855,2.3668939874710304e-07,0.0
1856,1.8275478141926982e-07,0.0
1857,2.7580525463477557e-07,0.0
1858,2.025981833408963e-07,4.404308473482388e-09
1859,2.597008528226752e-07,0.0
1860,2.4716792201839866e-07,0.0
1861,2.1316155418560356e-07,0.0
1862,2.512000492060906e-07,0.0
1863,2.2625632700723486e-07,0.0
1864,3.1932889443808676e-07,0.0
1865,3.0406213258338255e-07,0.0
1866,3.0604706369175005e-07,0.0
1867,2.0964146330015865e-07,0.0
1868,3.7197252522602753e-07,0.0
1869,2.500361775403803e-07,0.0
1870,2.9645032917358094e-07,0.0
1871,3.313807326321694e-07,0.0
1872,2.3100835733202985e-07,0.0
1873,2.4722197355941944e-07,0.0
1874,2.4973866263877653e-07,0.0
1875,3.2269414429464405e-07,5.721527140956084e-10
1876,2.9867314310649817e-07,6.04601479992084e-10
1877,3.6861502650253897e-07,0.0
1878,2.6571990474622e-07,0.0
1879,3.048553307571922e-07,0.0
1880,2.7147488346201953e-07,0.0
