year,leurs_DET airs_NOUN,leurs_DET chers_ADJ
1800,1.886498623981936e-07,8.803660733747165e-08
1801,1.381085894536227e-07,3.095537337571841e-08
1802,7.832440473976021e-08,4.923248297927785e-08
1803,1.8918290400904425e-07,2.730474935042082e-08
1804,1.9033252973699177e-07,1.1370514130248921e-07
1805,1.421438877713399e-07,7.391481915419718e-08
1806,2.564685619432794e-07,9.509508203109363e-08
1807,1.5942949005420815e-07,3.701041606518629e-08
1808,1.4049658503267892e-07,4.078933102391602e-08
1809,1.0391540516963005e-07,9.262025146838937e-08
1810,1.0296557917399696e-07,5.148278958699848e-08
1811,1.0780430415024966e-07,6.016983888912364e-08
1812,2.667208214290895e-07,3.200649700829672e-08
1813,2.0705339420779012e-07,5.7514832008109806e-08
1814,1.5104050810066383e-07,6.922689976818219e-08
1815,1.537417375629957e-07,5.3944472000466703e-08
1816,1.0429217844887262e-07,4.1716869958463576e-08
1817,1.588010940523077e-07,3.2694341123296056e-08
1818,5.364529886975333e-08,8.225612369017199e-08
1819,8.591371281063687e-08,4.864993385922389e-08
1820,2.5038275097699625e-07,7.594548190326122e-08
1821,1.4200543052567127e-07,8.776724769177235e-08
1822,8.72228582693424e-08,4.0102463572111446e-08
1823,1.353928098524193e-07,8.103803139647425e-08
1824,1.5494847005470547e-07,3.452656116564867e-08
1825,1.6025906202088436e-07,6.33991930065747e-08
1826,1.5149733556540923e-07,8.191425493464521e-08
1827,9.770309539192112e-08,5.7147094167930845e-08
1828,9.997808092521154e-08,7.154394882080695e-08
1829,1.1830983304150777e-07,7.544394975411706e-08
1830,1.7012042263786498e-07,5.740259689801519e-08
1831,9.510636012066698e-08,1.0446107978623331e-07
1832,1.5694764599061273e-07,3.111892965534935e-08
1833,2.2588075054841283e-07,1.0077756451565278e-07
1834,1.7455573164681937e-07,5.0406468332653276e-08
1835,1.406734426723233e-07,6.579886502322552e-08
1836,1.0148332352244438e-07,8.871390422271475e-08
1837,1.0158520957759265e-07,4.383471363667013e-08
1838,9.405121303984743e-08,6.817134989844931e-08
1839,9.088917574118227e-08,6.571986688186371e-08
1840,8.981260979368244e-08,6.369688554386244e-08
1841,9.502411835171642e-08,8.924562422407689e-08
1842,1.09344717280635e-07,5.769108035735826e-08
1843,9.74640315121178e-08,4.371114314949409e-08
1844,1.1416207801318023e-07,3.732221642849254e-08
1845,4.185171054160719e-08,6.305657507255091e-08
1846,9.133021894314197e-08,4.3323311160747835e-08
1847,6.417936226910115e-08,6.795461615638487e-08
1848,7.964769821455775e-08,3.298540818263973e-08
1849,8.128032291665477e-08,3.016589289472904e-08
1850,4.8880770542325536e-08,5.363306954109248e-08
1851,4.6435958633850305e-08,4.837079004005318e-08
1852,1.6211258824228025e-07,5.2735419586724674e-08
1853,9.73424918448984e-08,5.434457839292861e-08
1854,9.248282384355377e-08,7.741540031247496e-08
1855,1.1356845419641104e-07,6.792879503336735e-08
1856,1.1027413204800496e-07,8.231730830310369e-08
1857,1.0007093553809909e-07,9.226052194444279e-08
1858,1.04235298392652e-07,8.906490478466367e-08
1859,1.2883198241553373e-07,7.434572779629889e-08
1860,9.566314140840859e-08,7.781212668644955e-08
1861,7.969978632615948e-08,7.309744126660078e-08
1862,7.861296413835817e-08,6.460720675116605e-08
1863,7.841554694465458e-08,1.0738434497170601e-07
1864,1.0212770273909655e-07,6.281093334337129e-08
1865,1.0119715088130476e-07,7.719224726088214e-08
1866,9.244664234131506e-08,1.1288221912764129e-07
1867,9.268870115874961e-08,8.395363693125546e-08
1868,1.0620729096189052e-07,6.57003269566303e-08
1869,1.8215526154108375e-07,9.71820343087515e-08
1870,9.518521082441112e-08,9.977245030157178e-08
1871,6.266494922968491e-08,1.2957836759142083e-07
1872,9.494322972258828e-08,9.01053577306854e-08
1873,7.72194583831265e-08,1.0834668273673742e-07
1874,1.0276327522262818e-07,5.675878611555163e-08
1875,7.895707676564001e-08,9.211658402730194e-08
1876,8.94810217033637e-08,6.650616057868319e-08
1877,7.792867950939808e-08,9.58646444448874e-08
1878,1.0266450534146543e-07,9.722933103084586e-08
1879,1.1118971743329098e-07,8.308682530877576e-08
1880,8.086486347202992e-08,1.1359588114601138e-07
1881,1.0737661404469634e-07,6.275256936305595e-08
1882,1.118104702158007e-07,6.855046463805081e-08
1883,1.1438003311159406e-07,9.22623506482978e-08
1884,1.181703774832954e-07,6.865764845542799e-08
1885,8.572695131547903e-08,7.541393642895855e-08
1886,9.873799999837729e-08,8.97031509072832e-08
1887,9.989254978748363e-08,7.76942030711325e-08
1888,7.735549889531512e-08,7.355113251783507e-08
1889,8.833842990441099e-08,7.643466631845897e-08
1890,8.061895417910137e-08,9.24168475080478e-08
1891,8.732681422429778e-08,7.521579692415514e-08
1892,1.0029619978979554e-07,7.396844714513406e-08
1893,9.9766346517427e-08,9.176040549618847e-08
1894,9.830401559440816e-08,8.570093257276312e-08
1895,9.328852534906673e-08,8.125129369318529e-08
1896,1.0083919566028499e-07,8.432751741338507e-08
1897,9.905413378419325e-08,7.80779608744453e-08
1898,9.73237049839426e-08,1.2108879066108358e-07
1899,8.954677177541726e-08,9.617986407306489e-08
1900,5.5544270072260815e-08,7.734669082992696e-08
1901,6.482937253693422e-08,7.656572620362567e-08
1902,7.46363142400952e-08,6.383368927886934e-08
1903,9.342380824506336e-08,9.882403184668931e-08
1904,7.954445280233813e-08,5.2671325967423854e-08
1905,5.728442398211797e-08,5.728442431518488e-08
1906,1.0751345680404256e-07,6.84176552634419e-08
1907,7.611408170404843e-08,6.994267209847749e-08
1908,8.74227243929937e-08,6.581261402516247e-08
1909,9.131632561221181e-08,1.0066799988051045e-07
1910,1.1115833142838483e-07,9.672912426594849e-08
1911,8.086969005560718e-08,1.090676704507132e-07
1912,8.439262089154909e-08,7.189001394181105e-08
1913,1.198475674257793e-07,9.65144124620565e-08
1914,1.0112083170810138e-07,7.433385462718434e-08
1915,6.832842192050492e-08,2.226564069784942e-07
1916,9.998590799753515e-08,1.9997181355257965e-07
1917,6.68951898319392e-08,1.6120644374950643e-07
1918,8.155327257952649e-08,1.2635014456918725e-07
1919,1.2798909510003398e-07,1.3351380051540573e-07
1920,1.0979736009275598e-07,9.313845117375763e-08
1921,8.405749696294151e-08,5.603833092004962e-08
1922,1.2690049133734504e-07,5.82856891639949e-08
1923,9.554353530560888e-08,8.068120349591368e-08
1924,1.0055467192238154e-07,7.219309594574952e-08
1925,8.908524051776112e-08,4.9491799103407175e-08
1926,1.0811754602713108e-07,6.018914755490101e-08
1927,1.0703256236865855e-07,5.2401357919507063e-08
1928,9.940655920637198e-08,4.913197670930458e-08
1929,1.2254447256943024e-07,5.681607362362229e-08
1930,9.348207452575252e-08,5.882018072611572e-08
1931,1.1633463614657558e-07,5.018356930008849e-08
1932,8.110057425625428e-08,3.507051715700982e-08
1933,5.7353312543639845e-08,4.01473165823063e-08
1934,7.308763727564838e-08,4.4331848414458364e-08
1935,8.138433482685059e-08,5.8644592293433107e-08
1936,8.123559069872499e-08,2.5461901032031165e-08
1937,6.547381470323188e-08,4.5328025777280345e-08
1938,7.649476430060531e-08,6.093650739558143e-08
1939,6.117620365841958e-08,4.282334131744392e-08
1940,6.085878911932241e-08,3.550096194793184e-08
1941,1.6233264865661567e-07,4.132103725851266e-08
1942,7.58552971547033e-08,5.76500234217292e-08
1943,9.580676185727555e-08,4.645176332473966e-08
1944,1.0603514510876266e-07,6.105053529381621e-08
1945,9.149717072887142e-08,5.010559434026618e-08
1946,9.744773166175946e-08,5.150808402021312e-08
1947,7.390940259810463e-08,4.7683485604466114e-08
1948,7.610321417494958e-08,3.044128504825494e-08
1949,5.006674186347482e-08,4.319483515313749e-08
1950,6.70027759941405e-08,3.93508372553697e-08
1951,8.742349344448286e-08,2.6653504292539765e-08
1952,5.588746121443222e-08,4.74516177462192e-08
1953,4.201792791480585e-08,4.3095308654983455e-08
1954,4.788542540268281e-08,3.615838295445428e-08
1955,7.414630021074231e-08,3.472674947602172e-08
1956,4.534993758298356e-08,3.575667983923836e-08
1957,6.714628852932947e-08,3.1806135336598373e-08
1958,6.038737820901474e-08,2.6471179026543723e-08
1959,9.998464456373313e-08,2.712761748568937e-08
1960,8.304999910002664e-08,2.906750040665429e-08
1961,7.087122311233429e-08,4.0994138528205326e-08
1962,6.468795565872654e-08,3.107558727011295e-08
1963,6.595373935880389e-08,3.297687101166957e-08
1964,8.517555327713922e-08,3.589541280879516e-08
1965,6.730613089089843e-08,3.1737850236801535e-08
1966,9.637989828448212e-08,2.3818021332999706e-08
1967,8.677390361810922e-08,5.22615558606887e-08
1968,1.0420084683993025e-07,4.1321026600371624e-08
1969,6.358461177025099e-08,4.360087524357681e-08
1970,8.921526339911168e-08,5.334521091526767e-08
1971,9.40326732035146e-08,3.4427263040370804e-08
1972,8.259536166121961e-08,3.4884998001416534e-08
1973,6.615844849733321e-08,3.9695066789136035e-08
1974,5.5130603415776136e-08,2.925297337696975e-08
