year,aviez_VERB eu_VERB
1800,2.4524482000742864e-07
1801,3.3336556271024165e-07
1802,2.528759353026544e-07
1803,1.969842600146876e-07
1804,1.3100809326260787e-07
1805,2.6723051860244595e-07
1806,2.305335300434308e-07
1807,1.679703558465917e-07
1808,2.01680592226694e-07
1809,2.191259653727684e-07
1810,3.603795164508483e-07
1811,1.3036799373367103e-07
1812,2.453831484672264e-07
1813,2.041776525629757e-07
1814,2.0453401816666883e-07
1815,1.5643897199879575e-07
1816,2.595716352971067e-07
1817,2.880215674849751e-07
1818,2.062363648747123e-07
1819,2.4014437371988606e-07
1820,5.767109882981458e-07
1821,4.2404400346640614e-07
1822,2.2958660395033803e-07
1823,2.984571381148271e-07
1824,2.0800148092803283e-07
1825,2.2101662011664303e-07
1826,2.01702846425178e-07
1827,1.769716391208931e-07
1828,2.568244212852733e-07
1829,1.4660130887023115e-07
1830,2.327414421188223e-07
1831,2.5881402621052985e-07
1832,2.773643643649848e-07
1833,2.1545548634094303e-07
1834,1.5121939611617563e-07
1835,2.3294310835808574e-07
1836,1.7272327568207402e-07
1837,3.179756049576099e-07
1838,1.666410724965317e-07
1839,1.922655741282142e-07
1840,2.2357606610512448e-07
1841,1.9004824025614653e-07
1842,2.2808100652582652e-07
1843,2.0201635209105007e-07
1844,2.1460274979290261e-07
1845,2.3771771395786345e-07
1846,1.709514378944732e-07
1847,1.6125738966366043e-07
1848,1.7860392631519062e-07
1849,1.6423653903530067e-07
1850,1.5818361021047167e-07
1851,1.9154833807988325e-07
1852,1.5560203792119864e-07
1853,1.8035234461422078e-07
1854,2.0159177438472398e-07
1855,1.931725108761384e-07
1856,2.2106597441506892e-07
1857,1.6206610098379315e-07
1858,2.7551396897251834e-07
1859,1.6804172275897145e-07
1860,2.0688871416041366e-07
1861,1.7543385411045165e-07
1862,1.9653239746730833e-07
1863,2.1227138802260015e-07
1864,2.3638008883608563e-07
1865,2.2686990064357815e-07
1866,1.6494428223268187e-07
1867,1.6984840556233394e-07
1868,1.9067914536208264e-07
1869,1.8264361756337166e-07
1870,1.9725128197478625e-07
1871,1.8162212711558823e-07
1872,1.8202491958163591e-07
1873,1.7958014097985142e-07
1874,2.359970636689468e-07
1875,2.1284080276018358e-07
1876,1.650562069244188e-07
1877,1.9667714923343738e-07
1878,1.3406777554791915e-07
1879,1.6128618085531343e-07
1880,1.9510252968757413e-07
1881,1.6803743108084745e-07
1882,2.1363786117944983e-07
1883,2.1991299092860572e-07
1884,1.2147123129579995e-07
1885,1.3987029490181158e-07
1886,1.4068551479340385e-07
1887,1.325371670191089e-07
1888,1.6866034968643362e-07
1889,1.7103823779507366e-07
1890,9.962667490981403e-08
1891,1.1282369172249673e-07
1892,1.2662394510698505e-07
1893,1.570396221950432e-07
1894,1.0964678409663975e-07
1895,1.1254809351157746e-07
1896,1.0673622341528244e-07
1897,1.1420358703162492e-07
1898,1.2448380459773034e-07
1899,1.4537531001224124e-07
1900,1.0278284889864153e-07
1901,1.1456914705831878e-07
1902,8.691202424415678e-08
1903,1.1556471690710168e-07
1904,1.6553845227917918e-07
1905,1.2643859292893467e-07
1906,1.4455159202952927e-07
1907,1.0028544750184665e-07
1908,1.1492650742184196e-07
1909,1.0891947255231571e-07
1910,1.2184663944481144e-07
1911,1.43650098038961e-07
1912,1.4065437881072285e-07
1913,1.0818099127618552e-07
1914,8.571831955350717e-08
1915,1.1780761610680202e-07
1916,1.3075079152713442e-07
1917,1.1295416868506436e-07
1918,8.614782132099208e-08
1919,9.760319130691641e-08
1920,1.1888403861348706e-07
1921,7.421292735898533e-08
1922,1.328028389480096e-07
1923,1.0828266994167279e-07
1924,1.46964524105897e-07
1925,1.4737558728938893e-07
1926,1.3263904463656218e-07
1927,1.4605484466301277e-07
1928,1.3596988424069423e-07
1929,1.4259720160225697e-07
1930,1.2709359964446776e-07
1931,1.3572373802617221e-07
1932,1.2713061892100086e-07
1933,1.6403046743107552e-07
1934,9.70508011732818e-08
1935,1.3643844454236387e-07
1936,1.0184760412812466e-07
1937,1.2213384081860568e-07
1938,1.0242519721259669e-07
1939,1.0858775567612611e-07
1940,8.114505334333444e-08
1941,9.149658097840074e-08
1942,1.5777901296587515e-07
1943,1.219358836124229e-07
1944,1.5101974781828176e-07
1945,1.4160276862185128e-07
1946,1.3642682006320683e-07
1947,1.776209757053948e-07
1948,1.44596114637352e-07
1949,9.718838356320703e-08
1950,1.3719616731577844e-07
1951,1.6418559312114667e-07
1952,1.1072044259208269e-07
1953,1.0666089167443715e-07
1954,1.4365627976076212e-07
1955,1.4078412391427264e-07
1956,1.3866615233837365e-07
1957,1.404770983981507e-07
1958,1.5551817966752424e-07
1959,1.4106360879395652e-07
1960,1.3980083224396367e-07
1961,1.3479429128437914e-07
1962,1.420598181312016e-07
1963,1.131559344003108e-07
1964,1.703511145478842e-07
